,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,2 ktoe,1056 ktoe,0 ktoe,35 ktoe,0 ktoe,669 ktoe,13 ktoe,186 ktoe,0 ktoe,0 ktoe,1961 ktoe,Production
1,1,49 ktoe,0 ktoe,1226 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,84 ktoe,0 ktoe,0 ktoe,1359 ktoe,Imports
2,2,0 ktoe,-888 ktoe,-17 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,-4 ktoe,0 ktoe,-910 ktoe,Exports
3,3,0 ktoe,0 ktoe,-35 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-35 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-6 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-6 ktoe,International aviation bunkers
5,5,0 ktoe,16 ktoe,-132 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-116 ktoe,Stock changes
6,6,51 ktoe,184 ktoe,1036 ktoe,35 ktoe,0 ktoe,669 ktoe,13 ktoe,269 ktoe,-4 ktoe,0 ktoe,2253 ktoe,TPES
7,7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers
8,8,0 ktoe,-5 ktoe,-4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-9 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-669 ktoe,0 ktoe,0 ktoe,669 ktoe,0 ktoe,0 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-179 ktoe,168 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-11 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-7 ktoe,0 ktoe,0 ktoe,-7 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-21 ktoe,-25 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-20 ktoe,0 ktoe,-66 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-172 ktoe,0 ktoe,-174 ktoe,Losses
19,19,51 ktoe,0 ktoe,1178 ktoe,10 ktoe,0 ktoe,0 ktoe,13 ktoe,261 ktoe,473 ktoe,0 ktoe,1986 ktoe,Total final consumption
20,20,47 ktoe,0 ktoe,108 ktoe,10 ktoe,0 ktoe,0 ktoe,1 ktoe,10 ktoe,109 ktoe,0 ktoe,285 ktoe,Industry
21,21,0 ktoe,0 ktoe,747 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,81 ktoe,0 ktoe,0 ktoe,827 ktoe,Transport
22,22,0 ktoe,0 ktoe,93 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,137 ktoe,257 ktoe,0 ktoe,494 ktoe,Residential
23,23,4 ktoe,0 ktoe,47 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,22 ktoe,99 ktoe,0 ktoe,177 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,55 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,12 ktoe,7 ktoe,0 ktoe,74 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,31 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,31 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,98 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,98 ktoe,Non-energy use
