,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,292031 ktoe,17566 ktoe,0 ktoe,70879 ktoe,0 ktoe,1292 ktoe,1939 ktoe,5146 ktoe,0 ktoe,0 ktoe,388853 ktoe,Production
1,1,163 ktoe,16294 ktoe,27401 ktoe,5399 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,49257 ktoe,Imports
2,2,-251899 ktoe,-11668 ktoe,-1778 ktoe,-43394 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-308739 ktoe,Exports
3,3,0 ktoe,0 ktoe,-546 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-546 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-4095 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4095 ktoe,International aviation bunkers
5,5,3655 ktoe,230 ktoe,-505 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3381 ktoe,Stock changes
6,6,43951 ktoe,22422 ktoe,20478 ktoe,32884 ktoe,0 ktoe,1292 ktoe,1939 ktoe,5146 ktoe,0 ktoe,0 ktoe,128112 ktoe,TPES
7,7,0 ktoe,-365 ktoe,4245 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3881 ktoe,Transfers
8,8,263 ktoe,2081 ktoe,557 ktoe,-1508 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1393 ktoe,Statistical differences
9,9,-39356 ktoe,0 ktoe,-1199 ktoe,-9921 ktoe,0 ktoe,-1292 ktoe,-1584 ktoe,-326 ktoe,20889 ktoe,0 ktoe,-32788 ktoe,Electricity plants
10,10,-504 ktoe,0 ktoe,-23 ktoe,-2098 ktoe,0 ktoe,0 ktoe,0 ktoe,-575 ktoe,1146 ktoe,0 ktoe,-2055 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,1 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-24197 ktoe,22853 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1344 ktoe,Oil refineries
14,14,-1064 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1064 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,132 ktoe,0 ktoe,-119 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,13 ktoe,Other transformation
17,17,-894 ktoe,-59 ktoe,-3872 ktoe,-6092 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2427 ktoe,0 ktoe,-13344 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1408 ktoe,0 ktoe,-1408 ktoe,Losses
19,19,2397 ktoe,15 ktoe,43039 ktoe,13146 ktoe,0 ktoe,0 ktoe,355 ktoe,4245 ktoe,18200 ktoe,0 ktoe,81396 ktoe,Total final consumption
20,20,2388 ktoe,15 ktoe,3600 ktoe,7238 ktoe,0 ktoe,0 ktoe,0 ktoe,2850 ktoe,6646 ktoe,0 ktoe,22738 ktoe,Industry
21,21,0 ktoe,0 ktoe,31716 ktoe,285 ktoe,0 ktoe,0 ktoe,0 ktoe,161 ktoe,524 ktoe,0 ktoe,32686 ktoe,Transport
22,22,1 ktoe,0 ktoe,403 ktoe,3564 ktoe,0 ktoe,0 ktoe,346 ktoe,1176 ktoe,5089 ktoe,0 ktoe,10578 ktoe,Residential
23,23,8 ktoe,0 ktoe,790 ktoe,1255 ktoe,0 ktoe,0 ktoe,10 ktoe,58 ktoe,5789 ktoe,0 ktoe,7909 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,2247 ktoe,54 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,151 ktoe,0 ktoe,2452 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,4282 ktoe,751 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5032 ktoe,Non-energy use
