,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,458 ktoe,1732 ktoe,0 ktoe,125 ktoe,0 ktoe,35 ktoe,16 ktoe,1584 ktoe,0 ktoe,0 ktoe,3950 ktoe,Production
1,1,486 ktoe,18783 ktoe,1236 ktoe,15786 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,515 ktoe,0 ktoe,36807 ktoe,Imports
2,2,-136 ktoe,-1629 ktoe,-12982 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-86 ktoe,-293 ktoe,0 ktoe,-15126 ktoe,Exports
3,3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-129 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-129 ktoe,International aviation bunkers
5,5,27 ktoe,31 ktoe,-239 ktoe,193 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,13 ktoe,Stock changes
6,6,835 ktoe,18917 ktoe,-12114 ktoe,16104 ktoe,0 ktoe,35 ktoe,16 ktoe,1498 ktoe,222 ktoe,0 ktoe,25513 ktoe,TPES
7,7,0 ktoe,-74 ktoe,81 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,Transfers
8,8,0 ktoe,10 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,10 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,0 ktoe,-2579 ktoe,0 ktoe,-35 ktoe,-16 ktoe,-1 ktoe,1205 ktoe,0 ktoe,-1426 ktoe,Electricity plants
10,10,-34 ktoe,0 ktoe,-121 ktoe,-6844 ktoe,0 ktoe,0 ktoe,0 ktoe,-136 ktoe,1763 ktoe,3764 ktoe,-1609 ktoe,CHP plants
11,11,-69 ktoe,0 ktoe,-106 ktoe,-1952 ktoe,0 ktoe,0 ktoe,0 ktoe,-642 ktoe,0 ktoe,2287 ktoe,-482 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-18853 ktoe,18574 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-279 ktoe,Oil refineries
14,14,-7 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,-7 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,0 ktoe,0 ktoe,-4 ktoe,Other transformation
17,17,-9 ktoe,0 ktoe,-904 ktoe,-227 ktoe,0 ktoe,0 ktoe,0 ktoe,-18 ktoe,-368 ktoe,-523 ktoe,-2049 ktoe,Energy industry own use
18,18,-21 ktoe,0 ktoe,-1 ktoe,-46 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-247 ktoe,-467 ktoe,-782 ktoe,Losses
19,19,695 ktoe,0 ktoe,5409 ktoe,4455 ktoe,0 ktoe,0 ktoe,0 ktoe,696 ktoe,2575 ktoe,5061 ktoe,18891 ktoe,Total final consumption
20,20,492 ktoe,0 ktoe,156 ktoe,907 ktoe,0 ktoe,0 ktoe,0 ktoe,68 ktoe,1080 ktoe,1418 ktoe,4121 ktoe,Industry
21,21,6 ktoe,0 ktoe,3379 ktoe,448 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,105 ktoe,0 ktoe,3941 ktoe,Transport
22,22,129 ktoe,0 ktoe,59 ktoe,1616 ktoe,0 ktoe,0 ktoe,0 ktoe,466 ktoe,567 ktoe,2331 ktoe,5168 ktoe,Residential
23,23,30 ktoe,0 ktoe,44 ktoe,50 ktoe,0 ktoe,0 ktoe,0 ktoe,105 ktoe,688 ktoe,1140 ktoe,2056 ktoe,Commercial and public services
24,24,2 ktoe,0 ktoe,656 ktoe,99 ktoe,0 ktoe,0 ktoe,0 ktoe,55 ktoe,135 ktoe,172 ktoe,1120 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,1 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,36 ktoe,0 ktoe,1114 ktoe,1334 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2484 ktoe,Non-energy use
