,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,2874 ktoe,0 ktoe,15312 ktoe,0 ktoe,202 ktoe,0 ktoe,955 ktoe,0 ktoe,0 ktoe,19344 ktoe,Production
1,1,0 ktoe,0 ktoe,1017 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1017 ktoe,Imports
2,2,0 ktoe,0 ktoe,-305 ktoe,-12356 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-12661 ktoe,Exports
3,3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-74 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-74 ktoe,International aviation bunkers
5,5,0 ktoe,1 ktoe,-15 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-14 ktoe,Stock changes
6,6,0 ktoe,2875 ktoe,623 ktoe,2957 ktoe,0 ktoe,202 ktoe,0 ktoe,955 ktoe,0 ktoe,0 ktoe,7612 ktoe,TPES
7,7,0 ktoe,-252 ktoe,275 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,23 ktoe,Transfers
8,8,0 ktoe,-8 ktoe,90 ktoe,-104 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,0 ktoe,-24 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,-48 ktoe,-1335 ktoe,0 ktoe,-202 ktoe,0 ktoe,-63 ktoe,659 ktoe,0 ktoe,-990 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-2615 ktoe,2523 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-93 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,0 ktoe,0 ktoe,-4 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-122 ktoe,-273 ktoe,0 ktoe,0 ktoe,0 ktoe,-34 ktoe,-14 ktoe,0 ktoe,-442 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,-100 ktoe,-12 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-75 ktoe,0 ktoe,-187 ktoe,Losses
19,19,0 ktoe,0 ktoe,3241 ktoe,1233 ktoe,0 ktoe,0 ktoe,0 ktoe,854 ktoe,569 ktoe,0 ktoe,5896 ktoe,Total final consumption
20,20,0 ktoe,0 ktoe,93 ktoe,655 ktoe,0 ktoe,0 ktoe,0 ktoe,558 ktoe,154 ktoe,0 ktoe,1460 ktoe,Industry
21,21,0 ktoe,0 ktoe,1713 ktoe,478 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2191 ktoe,Transport
22,22,0 ktoe,0 ktoe,428 ktoe,65 ktoe,0 ktoe,0 ktoe,0 ktoe,296 ktoe,210 ktoe,0 ktoe,999 ktoe,Residential
23,23,0 ktoe,0 ktoe,6 ktoe,35 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,128 ktoe,0 ktoe,168 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,540 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,77 ktoe,0 ktoe,616 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,423 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,423 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,38 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,38 ktoe,Non-energy use
