,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,3165 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,477 ktoe,0 ktoe,725 ktoe,0 ktoe,0 ktoe,4367 ktoe,Production
1,1,958 ktoe,947 ktoe,895 ktoe,177 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,333 ktoe,0 ktoe,3311 ktoe,Imports
2,2,-313 ktoe,0 ktoe,-237 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-162 ktoe,-517 ktoe,0 ktoe,-1229 ktoe,Exports
3,3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-6 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-6 ktoe,International aviation bunkers
5,5,-195 ktoe,-2 ktoe,-71 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-267 ktoe,Stock changes
6,6,3615 ktoe,945 ktoe,581 ktoe,177 ktoe,0 ktoe,477 ktoe,0 ktoe,563 ktoe,-184 ktoe,0 ktoe,6176 ktoe,TPES
7,7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers
8,8,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,Statistical differences
9,9,-2658 ktoe,0 ktoe,-13 ktoe,-10 ktoe,0 ktoe,-477 ktoe,0 ktoe,0 ktoe,1325 ktoe,0 ktoe,-1834 ktoe,Electricity plants
10,10,-84 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,19 ktoe,38 ktoe,-27 ktoe,CHP plants
11,11,-65 ktoe,0 ktoe,-28 ktoe,-35 ktoe,0 ktoe,0 ktoe,0 ktoe,-13 ktoe,0 ktoe,96 ktoe,-45 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-945 ktoe,921 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-25 ktoe,Oil refineries
14,14,-263 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-263 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-49 ktoe,0 ktoe,0 ktoe,-49 ktoe,Other transformation
17,17,-158 ktoe,0 ktoe,-143 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-123 ktoe,-1 ktoe,-425 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-120 ktoe,-9 ktoe,-129 ktoe,Losses
19,19,386 ktoe,0 ktoe,1318 ktoe,132 ktoe,0 ktoe,0 ktoe,0 ktoe,501 ktoe,918 ktoe,125 ktoe,3381 ktoe,Total final consumption
20,20,220 ktoe,0 ktoe,101 ktoe,73 ktoe,0 ktoe,0 ktoe,0 ktoe,19 ktoe,344 ktoe,1 ktoe,756 ktoe,Industry
21,21,0 ktoe,0 ktoe,1018 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,8 ktoe,0 ktoe,1026 ktoe,Transport
22,22,55 ktoe,0 ktoe,78 ktoe,33 ktoe,0 ktoe,0 ktoe,0 ktoe,445 ktoe,406 ktoe,97 ktoe,1114 ktoe,Residential
23,23,111 ktoe,0 ktoe,0 ktoe,26 ktoe,0 ktoe,0 ktoe,0 ktoe,38 ktoe,155 ktoe,28 ktoe,358 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,11 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,0 ktoe,16 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,42 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,42 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,69 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,69 ktoe,Non-energy use
