,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,4788 ktoe,27 ktoe,0 ktoe,234 ktoe,3708 ktoe,351 ktoe,288 ktoe,1194 ktoe,0 ktoe,48 ktoe,10636 ktoe,Production
1,1,1008 ktoe,6572 ktoe,1885 ktoe,2226 ktoe,0 ktoe,0 ktoe,0 ktoe,93 ktoe,288 ktoe,0 ktoe,12072 ktoe,Imports
2,2,-37 ktoe,0 ktoe,-4471 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-102 ktoe,-820 ktoe,0 ktoe,-5429 ktoe,Exports
3,3,0 ktoe,0 ktoe,-91 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-91 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-159 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-159 ktoe,International aviation bunkers
5,5,168 ktoe,-41 ktoe,-166 ktoe,-62 ktoe,0 ktoe,0 ktoe,0 ktoe,-5 ktoe,0 ktoe,0 ktoe,-106 ktoe,Stock changes
6,6,5926 ktoe,6559 ktoe,-3002 ktoe,2398 ktoe,3708 ktoe,351 ktoe,288 ktoe,1180 ktoe,-531 ktoe,48 ktoe,16923 ktoe,TPES
7,7,0 ktoe,192 ktoe,-184 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,Transfers
8,8,88 ktoe,-43 ktoe,0 ktoe,-34 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,12 ktoe,Statistical differences
9,9,-4427 ktoe,0 ktoe,-13 ktoe,-2 ktoe,-3692 ktoe,-351 ktoe,-235 ktoe,-1 ktoe,3259 ktoe,-5 ktoe,-5469 ktoe,Electricity plants
10,10,-1077 ktoe,0 ktoe,-166 ktoe,-783 ktoe,-16 ktoe,0 ktoe,0 ktoe,-19 ktoe,445 ktoe,1074 ktoe,-543 ktoe,CHP plants
11,11,-5 ktoe,0 ktoe,-4 ktoe,-146 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,145 ktoe,-11 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-6735 ktoe,6536 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-199 ktoe,Oil refineries
14,14,-82 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-82 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,28 ktoe,0 ktoe,-33 ktoe,0 ktoe,0 ktoe,0 ktoe,-20 ktoe,0 ktoe,0 ktoe,-25 ktoe,Other transformation
17,17,-1 ktoe,0 ktoe,-325 ktoe,-26 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-469 ktoe,-225 ktoe,-1046 ktoe,Energy industry own use
18,18,-5 ktoe,0 ktoe,0 ktoe,-11 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-335 ktoe,-129 ktoe,-480 ktoe,Losses
19,19,417 ktoe,0 ktoe,2842 ktoe,1363 ktoe,0 ktoe,0 ktoe,52 ktoe,1139 ktoe,2367 ktoe,907 ktoe,9087 ktoe,Total final consumption
20,20,164 ktoe,0 ktoe,209 ktoe,760 ktoe,0 ktoe,0 ktoe,0 ktoe,248 ktoe,732 ktoe,476 ktoe,2589 ktoe,Industry
21,21,0 ktoe,0 ktoe,2250 ktoe,253 ktoe,0 ktoe,0 ktoe,0 ktoe,101 ktoe,24 ktoe,0 ktoe,2627 ktoe,Transport
22,22,189 ktoe,0 ktoe,24 ktoe,45 ktoe,0 ktoe,0 ktoe,9 ktoe,750 ktoe,906 ktoe,318 ktoe,2241 ktoe,Residential
23,23,5 ktoe,0 ktoe,25 ktoe,78 ktoe,0 ktoe,0 ktoe,44 ktoe,27 ktoe,684 ktoe,103 ktoe,965 ktoe,Commercial and public services
24,24,7 ktoe,0 ktoe,123 ktoe,20 ktoe,0 ktoe,0 ktoe,0 ktoe,12 ktoe,22 ktoe,10 ktoe,194 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,53 ktoe,0 ktoe,210 ktoe,207 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,470 ktoe,Non-energy use
