,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,4437 ktoe,0 ktoe,300 ktoe,0 ktoe,331 ktoe,0 ktoe,4178 ktoe,0 ktoe,0 ktoe,9247 ktoe,Production
1,1,0 ktoe,1785 ktoe,284 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2068 ktoe,Imports
2,2,0 ktoe,-3981 ktoe,-1192 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5173 ktoe,Exports
3,3,0 ktoe,0 ktoe,-52 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-52 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-66 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-66 ktoe,International aviation bunkers
5,5,0 ktoe,127 ktoe,190 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,317 ktoe,Stock changes
6,6,0 ktoe,2368 ktoe,-837 ktoe,300 ktoe,0 ktoe,331 ktoe,0 ktoe,4178 ktoe,0 ktoe,0 ktoe,6341 ktoe,TPES
7,7,0 ktoe,0 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,Transfers
8,8,0 ktoe,-193 ktoe,-90 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-282 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,-190 ktoe,-111 ktoe,0 ktoe,-331 ktoe,0 ktoe,-17 ktoe,451 ktoe,0 ktoe,-198 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-2175 ktoe,2164 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-11 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-153 ktoe,0 ktoe,0 ktoe,-153 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-61 ktoe,-129 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-46 ktoe,0 ktoe,-236 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,-34 ktoe,-60 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-42 ktoe,0 ktoe,-137 ktoe,Losses
19,19,0 ktoe,0 ktoe,951 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4009 ktoe,363 ktoe,0 ktoe,5322 ktoe,Total final consumption
20,20,0 ktoe,0 ktoe,91 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,216 ktoe,0 ktoe,306 ktoe,Industry
21,21,0 ktoe,0 ktoe,709 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,709 ktoe,Transport
22,22,0 ktoe,0 ktoe,128 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3645 ktoe,71 ktoe,0 ktoe,3845 ktoe,Residential
23,23,0 ktoe,0 ktoe,3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,363 ktoe,72 ktoe,0 ktoe,439 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,0 ktoe,3 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,19 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,19 ktoe,Non-energy use
