,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,236 ktoe,721 ktoe,0 ktoe,1547 ktoe,0 ktoe,2175 ktoe,9 ktoe,5513 ktoe,0 ktoe,0 ktoe,10200 ktoe,Production
1,1,3335 ktoe,10221 ktoe,6944 ktoe,1225 ktoe,0 ktoe,0 ktoe,0 ktoe,21 ktoe,116 ktoe,0 ktoe,21862 ktoe,Imports
2,2,0 ktoe,0 ktoe,-1122 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1122 ktoe,Exports
3,3,0 ktoe,0 ktoe,-817 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-817 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-439 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-439 ktoe,International aviation bunkers
5,5,-32 ktoe,-87 ktoe,-55 ktoe,15 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-158 ktoe,Stock changes
6,6,3539 ktoe,10855 ktoe,4511 ktoe,2787 ktoe,0 ktoe,2175 ktoe,9 ktoe,5534 ktoe,116 ktoe,0 ktoe,29526 ktoe,TPES
7,7,0 ktoe,897 ktoe,-864 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,34 ktoe,Transfers
8,8,345 ktoe,162 ktoe,1011 ktoe,-137 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,74 ktoe,0 ktoe,1455 ktoe,Statistical differences
9,9,-3320 ktoe,0 ktoe,-2361 ktoe,-750 ktoe,0 ktoe,-2175 ktoe,-7 ktoe,0 ktoe,4798 ktoe,0 ktoe,-3814 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,-112 ktoe,-7 ktoe,0 ktoe,0 ktoe,0 ktoe,-733 ktoe,423 ktoe,0 ktoe,-428 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,12 ktoe,0 ktoe,-76 ktoe,65 ktoe,0 ktoe,0 ktoe,0 ktoe,-7 ktoe,0 ktoe,0 ktoe,-5 ktoe,Gas works
13,13,0 ktoe,-11915 ktoe,10346 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1569 ktoe,Oil refineries
14,14,-168 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-168 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-275 ktoe,0 ktoe,0 ktoe,-275 ktoe,Other transformation
17,17,-114 ktoe,0 ktoe,-815 ktoe,-512 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-214 ktoe,0 ktoe,-1656 ktoe,Energy industry own use
18,18,-24 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-551 ktoe,0 ktoe,-575 ktoe,Losses
19,19,270 ktoe,0 ktoe,11641 ktoe,1446 ktoe,0 ktoe,0 ktoe,2 ktoe,4520 ktoe,4646 ktoe,0 ktoe,22526 ktoe,Total final consumption
20,20,239 ktoe,0 ktoe,3157 ktoe,152 ktoe,0 ktoe,0 ktoe,0 ktoe,1498 ktoe,3146 ktoe,0 ktoe,8193 ktoe,Industry
21,21,0 ktoe,0 ktoe,6836 ktoe,20 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,36 ktoe,0 ktoe,6893 ktoe,Transport
22,22,10 ktoe,0 ktoe,957 ktoe,369 ktoe,0 ktoe,0 ktoe,0 ktoe,3022 ktoe,765 ktoe,0 ktoe,5123 ktoe,Residential
23,23,14 ktoe,0 ktoe,326 ktoe,132 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,684 ktoe,0 ktoe,1155 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Agriculture / forestry
25,25,7 ktoe,0 ktoe,146 ktoe,5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,14 ktoe,0 ktoe,173 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,219 ktoe,768 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,987 ktoe,Non-energy use
