,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,1451683 ktoe,186423 ktoe,0 ktoe,57945 ktoe,16189 ktoe,41725 ktoe,7574 ktoe,155145 ktoe,0 ktoe,0 ktoe,1916683 ktoe,Production
1,1,35642 ktoe,163160 ktoe,60430 ktoe,5607 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,1308 ktoe,0 ktoe,266153 ktoe,Imports
2,2,-45144 ktoe,-3884 ktoe,-19009 ktoe,-2176 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,-1599 ktoe,0 ktoe,-71815 ktoe,Exports
3,3,0 ktoe,0 ktoe,-15015 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-15015 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-8926 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-8926 ktoe,International aviation bunkers
5,5,29195 ktoe,-5244 ktoe,756 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,24708 ktoe,Stock changes
6,6,1471376 ktoe,340455 ktoe,18236 ktoe,61376 ktoe,16189 ktoe,41725 ktoe,7574 ktoe,155148 ktoe,-292 ktoe,0 ktoe,2111787 ktoe,TPES
7,7,0 ktoe,-105 ktoe,124 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,19 ktoe,Transfers
8,8,15785 ktoe,-33 ktoe,481 ktoe,-148 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,485 ktoe,0 ktoe,16570 ktoe,Statistical differences
9,9,-388248 ktoe,-159 ktoe,-6772 ktoe,-6370 ktoe,-16189 ktoe,-41725 ktoe,-601 ktoe,-3337 ktoe,187256 ktoe,0 ktoe,-276145 ktoe,Electricity plants
10,10,-325728 ktoe,0 ktoe,0 ktoe,-2839 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,98277 ktoe,57199 ktoe,-173092 ktoe,CHP plants
11,11,-2085 ktoe,-6 ktoe,-2821 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-479 ktoe,0 ktoe,4567 ktoe,-824 ktoe,Heat plants
12,12,-3480 ktoe,0 ktoe,-424 ktoe,-12 ktoe,0 ktoe,0 ktoe,0 ktoe,-13 ktoe,0 ktoe,0 ktoe,-3929 ktoe,Gas works
13,13,0 ktoe,-328326 ktoe,321494 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-6832 ktoe,Oil refineries
14,14,-111520 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-111520 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,-51722 ktoe,-5695 ktoe,-16770 ktoe,-7444 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-33592 ktoe,-9301 ktoe,-124524 ktoe,Energy industry own use
18,18,0 ktoe,-1984 ktoe,-19 ktoe,-930 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-18159 ktoe,-759 ktoe,-21851 ktoe,Losses
19,19,604378 ktoe,4147 ktoe,313529 ktoe,43631 ktoe,0 ktoe,0 ktoe,6973 ktoe,151319 ktoe,233975 ktoe,51707 ktoe,1409659 ktoe,Total final consumption
20,20,478524 ktoe,2429 ktoe,46808 ktoe,17155 ktoe,0 ktoe,0 ktoe,118 ktoe,0 ktoe,158619 ktoe,35025 ktoe,738678 ktoe,Industry
21,21,1 ktoe,0 ktoe,154891 ktoe,1964 ktoe,0 ktoe,0 ktoe,0 ktoe,1022 ktoe,3903 ktoe,0 ktoe,161781 ktoe,Transport
22,22,52550 ktoe,0 ktoe,22656 ktoe,12319 ktoe,0 ktoe,0 ktoe,5247 ktoe,150293 ktoe,35803 ktoe,13779 ktoe,292647 ktoe,Residential
23,23,16003 ktoe,0 ktoe,11422 ktoe,4447 ktoe,0 ktoe,0 ktoe,1229 ktoe,0 ktoe,14424 ktoe,1140 ktoe,48664 ktoe,Commercial and public services
24,24,10296 ktoe,0 ktoe,14307 ktoe,0 ktoe,0 ktoe,0 ktoe,359 ktoe,0 ktoe,7558 ktoe,19 ktoe,32540 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,19175 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,20 ktoe,3 ktoe,13669 ktoe,1744 ktoe,34611 ktoe,Non-specified
27,27,27829 ktoe,1718 ktoe,63445 ktoe,7747 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,100739 ktoe,Non-energy use
