,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,55572 ktoe,50902 ktoe,0 ktoe,11366 ktoe,0 ktoe,4322 ktoe,5 ktoe,5498 ktoe,0 ktoe,0 ktoe,127665 ktoe,Production
1,1,0 ktoe,0 ktoe,4189 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,4191 ktoe,Imports
2,2,-49500 ktoe,-33844 ktoe,-4469 ktoe,-1605 ktoe,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,-118 ktoe,0 ktoe,-89539 ktoe,Exports
3,3,0 ktoe,0 ktoe,-324 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-324 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-981 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-981 ktoe,International aviation bunkers
5,5,-1374 ktoe,-112 ktoe,-840 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2326 ktoe,Stock changes
6,6,4697 ktoe,16946 ktoe,-2425 ktoe,9762 ktoe,0 ktoe,4322 ktoe,5 ktoe,5495 ktoe,-116 ktoe,0 ktoe,38686 ktoe,TPES
7,7,0 ktoe,-489 ktoe,576 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,87 ktoe,Transfers
8,8,-338 ktoe,-218 ktoe,-433 ktoe,-1570 ktoe,0 ktoe,0 ktoe,0 ktoe,-255 ktoe,-359 ktoe,0 ktoe,-3173 ktoe,Statistical differences
9,9,-1339 ktoe,-228 ktoe,-355 ktoe,-3003 ktoe,0 ktoe,-4322 ktoe,-5 ktoe,-269 ktoe,6362 ktoe,0 ktoe,-3158 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-15681 ktoe,15527 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-154 ktoe,Oil refineries
14,14,-359 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-359 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-53 ktoe,0 ktoe,0 ktoe,-53 ktoe,Other transformation
17,17,-27 ktoe,-317 ktoe,-541 ktoe,-1483 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-626 ktoe,0 ktoe,-2994 ktoe,Energy industry own use
18,18,-29 ktoe,0 ktoe,-356 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-452 ktoe,0 ktoe,-838 ktoe,Losses
19,19,2605 ktoe,14 ktoe,11992 ktoe,3705 ktoe,0 ktoe,0 ktoe,0 ktoe,4919 ktoe,4809 ktoe,0 ktoe,28044 ktoe,Total final consumption
20,20,2542 ktoe,14 ktoe,521 ktoe,1186 ktoe,0 ktoe,0 ktoe,0 ktoe,1415 ktoe,1567 ktoe,0 ktoe,7244 ktoe,Industry
21,21,0 ktoe,0 ktoe,8489 ktoe,614 ktoe,0 ktoe,0 ktoe,0 ktoe,32 ktoe,7 ktoe,0 ktoe,9142 ktoe,Transport
22,22,63 ktoe,0 ktoe,390 ktoe,939 ktoe,0 ktoe,0 ktoe,0 ktoe,3014 ktoe,1792 ktoe,0 ktoe,6197 ktoe,Residential
23,23,0 ktoe,0 ktoe,54 ktoe,357 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1062 ktoe,0 ktoe,1474 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,8 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,442 ktoe,47 ktoe,0 ktoe,497 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,2405 ktoe,610 ktoe,0 ktoe,0 ktoe,0 ktoe,15 ktoe,334 ktoe,0 ktoe,3364 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,125 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,125 ktoe,Non-energy use
