,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,706 ktoe,0 ktoe,2007 ktoe,0 ktoe,433 ktoe,30 ktoe,1427 ktoe,0 ktoe,0 ktoe,4603 ktoe,Production
1,1,691 ktoe,3173 ktoe,1429 ktoe,711 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,1202 ktoe,0 ktoe,7213 ktoe,Imports
2,2,0 ktoe,0 ktoe,-1597 ktoe,-210 ktoe,0 ktoe,0 ktoe,0 ktoe,-189 ktoe,-587 ktoe,0 ktoe,-2583 ktoe,Exports
3,3,0 ktoe,0 ktoe,-23 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-23 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-102 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-102 ktoe,International aviation bunkers
5,5,11 ktoe,-164 ktoe,145 ktoe,62 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,55 ktoe,Stock changes
6,6,703 ktoe,3714 ktoe,-148 ktoe,2570 ktoe,0 ktoe,433 ktoe,30 ktoe,1246 ktoe,615 ktoe,0 ktoe,9163 ktoe,TPES
7,7,0 ktoe,-90 ktoe,91 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,Transfers
8,8,0 ktoe,9 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,9 ktoe,Statistical differences
9,9,-554 ktoe,0 ktoe,-56 ktoe,-22 ktoe,0 ktoe,-433 ktoe,-17 ktoe,0 ktoe,697 ktoe,0 ktoe,-385 ktoe,Electricity plants
10,10,-4 ktoe,0 ktoe,-121 ktoe,-588 ktoe,0 ktoe,0 ktoe,0 ktoe,-26 ktoe,269 ktoe,216 ktoe,-254 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,-28 ktoe,-62 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,72 ktoe,-18 ktoe,Heat plants
12,12,3 ktoe,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-3695 ktoe,3679 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-15 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,62 ktoe,0 ktoe,-62 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,0 ktoe,0 ktoe,-4 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-511 ktoe,-187 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-72 ktoe,-14 ktoe,-784 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,-49 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-157 ktoe,-36 ktoe,-242 ktoe,Losses
19,19,148 ktoe,0 ktoe,2906 ktoe,1598 ktoe,0 ktoe,0 ktoe,13 ktoe,1215 ktoe,1353 ktoe,238 ktoe,7471 ktoe,Total final consumption
20,20,138 ktoe,0 ktoe,285 ktoe,480 ktoe,0 ktoe,0 ktoe,0 ktoe,48 ktoe,288 ktoe,48 ktoe,1288 ktoe,Industry
21,21,0 ktoe,0 ktoe,1892 ktoe,1 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,22 ktoe,0 ktoe,1919 ktoe,Transport
22,22,6 ktoe,0 ktoe,206 ktoe,544 ktoe,0 ktoe,0 ktoe,4 ktoe,1158 ktoe,562 ktoe,147 ktoe,2628 ktoe,Residential
23,23,3 ktoe,0 ktoe,89 ktoe,141 ktoe,0 ktoe,0 ktoe,9 ktoe,4 ktoe,474 ktoe,43 ktoe,763 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,191 ktoe,17 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,1 ktoe,216 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,33 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,33 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,210 ktoe,414 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,625 ktoe,Non-energy use
