,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,15579 ktoe,0 ktoe,8268 ktoe,0 ktoe,2 ktoe,635 ktoe,2623 ktoe,0 ktoe,0 ktoe,27107 ktoe,Production
1,1,4779 ktoe,2109 ktoe,5972 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,436 ktoe,897 ktoe,4 ktoe,14196 ktoe,Imports
2,2,-111 ktoe,-9771 ktoe,-4584 ktoe,-4049 ktoe,0 ktoe,0 ktoe,0 ktoe,-63 ktoe,-978 ktoe,0 ktoe,-19557 ktoe,Exports
3,3,0 ktoe,0 ktoe,-1048 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1048 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-877 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-877 ktoe,International aviation bunkers
5,5,-16 ktoe,-53 ktoe,213 ktoe,-157 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-13 ktoe,Stock changes
6,6,4652 ktoe,7864 ktoe,-325 ktoe,4062 ktoe,0 ktoe,2 ktoe,635 ktoe,2995 ktoe,-82 ktoe,4 ktoe,19807 ktoe,TPES
7,7,0 ktoe,0 ktoe,4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,Transfers
8,8,8 ktoe,145 ktoe,23 ktoe,25 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,-5 ktoe,194 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,-23 ktoe,0 ktoe,0 ktoe,-2 ktoe,-617 ktoe,0 ktoe,626 ktoe,0 ktoe,-17 ktoe,Electricity plants
10,10,-4396 ktoe,0 ktoe,-283 ktoe,-1613 ktoe,0 ktoe,0 ktoe,0 ktoe,-1379 ktoe,2755 ktoe,2339 ktoe,-2579 ktoe,CHP plants
11,11,-2 ktoe,0 ktoe,-36 ktoe,-157 ktoe,0 ktoe,0 ktoe,-8 ktoe,-433 ktoe,0 ktoe,654 ktoe,17 ktoe,Heat plants
12,12,11 ktoe,0 ktoe,0 ktoe,-11 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-8009 ktoe,7803 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-206 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-340 ktoe,-675 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-251 ktoe,-57 ktoe,-1322 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-167 ktoe,-589 ktoe,-760 ktoe,Losses
19,19,271 ktoe,0 ktoe,6823 ktoe,1628 ktoe,0 ktoe,0 ktoe,10 ktoe,1183 ktoe,2878 ktoe,2345 ktoe,15138 ktoe,Total final consumption
20,20,217 ktoe,0 ktoe,748 ktoe,715 ktoe,0 ktoe,0 ktoe,0 ktoe,147 ktoe,851 ktoe,127 ktoe,2805 ktoe,Industry
21,21,0 ktoe,0 ktoe,4684 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,31 ktoe,0 ktoe,4720 ktoe,Transport
22,22,8 ktoe,0 ktoe,515 ktoe,626 ktoe,0 ktoe,0 ktoe,9 ktoe,918 ktoe,890 ktoe,1479 ktoe,4445 ktoe,Residential
23,23,1 ktoe,0 ktoe,80 ktoe,229 ktoe,0 ktoe,0 ktoe,1 ktoe,57 ktoe,945 ktoe,692 ktoe,2006 ktoe,Commercial and public services
24,24,45 ktoe,0 ktoe,327 ktoe,45 ktoe,0 ktoe,0 ktoe,0 ktoe,55 ktoe,162 ktoe,47 ktoe,681 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,164 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,164 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,13 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,13 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,305 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,305 ktoe,Non-energy use
