,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,28081 ktoe,0 ktoe,596 ktoe,0 ktoe,1361 ktoe,13 ktoe,556 ktoe,0 ktoe,0 ktoe,30607 ktoe,Production
1,1,0 ktoe,0 ktoe,5938 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,0 ktoe,5945 ktoe,Imports
2,2,0 ktoe,-19297 ktoe,-2511 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-35 ktoe,0 ktoe,-21843 ktoe,Exports
3,3,0 ktoe,0 ktoe,-304 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-304 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-244 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-244 ktoe,International aviation bunkers
5,5,0 ktoe,34 ktoe,-30 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,Stock changes
6,6,0 ktoe,8818 ktoe,2849 ktoe,596 ktoe,0 ktoe,1361 ktoe,13 ktoe,556 ktoe,-28 ktoe,0 ktoe,14166 ktoe,TPES
7,7,0 ktoe,-184 ktoe,200 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,16 ktoe,Transfers
8,8,0 ktoe,112 ktoe,-16 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,39 ktoe,0 ktoe,132 ktoe,Statistical differences
9,9,0 ktoe,-332 ktoe,-1670 ktoe,-554 ktoe,0 ktoe,-1361 ktoe,-11 ktoe,-76 ktoe,2349 ktoe,0 ktoe,-1655 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-8219 ktoe,8220 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,-103 ktoe,-382 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-39 ktoe,0 ktoe,-524 ktoe,Energy industry own use
18,18,0 ktoe,-92 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-301 ktoe,0 ktoe,-393 ktoe,Losses
19,19,0 ktoe,0 ktoe,9200 ktoe,40 ktoe,0 ktoe,0 ktoe,2 ktoe,480 ktoe,2020 ktoe,0 ktoe,11743 ktoe,Total final consumption
20,20,0 ktoe,0 ktoe,1036 ktoe,40 ktoe,0 ktoe,0 ktoe,0 ktoe,255 ktoe,806 ktoe,0 ktoe,2137 ktoe,Industry
21,21,0 ktoe,0 ktoe,5663 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,19 ktoe,1 ktoe,0 ktoe,5682 ktoe,Transport
22,22,0 ktoe,0 ktoe,899 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,206 ktoe,611 ktoe,0 ktoe,1717 ktoe,Residential
23,23,0 ktoe,0 ktoe,367 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,427 ktoe,0 ktoe,796 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,118 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,118 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,759 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,175 ktoe,0 ktoe,934 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,359 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,359 ktoe,Non-energy use
