,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,262 ktoe,1218 ktoe,0 ktoe,915 ktoe,114576 ktoe,4953 ktoe,590 ktoe,11914 ktoe,0 ktoe,1 ktoe,134429 ktoe,Production
1,1,13115 ktoe,82973 ktoe,36144 ktoe,37909 ktoe,0 ktoe,0 ktoe,0 ktoe,314 ktoe,927 ktoe,0 ktoe,171383 ktoe,Imports
2,2,-670 ktoe,-12 ktoe,-26292 ktoe,-778 ktoe,0 ktoe,0 ktoe,0 ktoe,-9 ktoe,-5812 ktoe,0 ktoe,-33573 ktoe,Exports
3,3,0 ktoe,0 ktoe,-2712 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2712 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-5896 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5896 ktoe,International aviation bunkers
5,5,788 ktoe,238 ktoe,217 ktoe,441 ktoe,0 ktoe,0 ktoe,0 ktoe,-6 ktoe,0 ktoe,0 ktoe,1678 ktoe,Stock changes
6,6,13495 ktoe,84417 ktoe,1460 ktoe,38487 ktoe,114576 ktoe,4953 ktoe,590 ktoe,12213 ktoe,-4885 ktoe,1 ktoe,265308 ktoe,TPES
7,7,0 ktoe,2327 ktoe,-1976 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,351 ktoe,Transfers
8,8,444 ktoe,1 ktoe,-623 ktoe,-13 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,19 ktoe,0 ktoe,-171 ktoe,Statistical differences
9,9,-6204 ktoe,0 ktoe,-1428 ktoe,-447 ktoe,-114576 ktoe,-4953 ktoe,-391 ktoe,-1394 ktoe,46402 ktoe,0 ktoe,-82990 ktoe,Electricity plants
10,10,-177 ktoe,0 ktoe,-498 ktoe,-5181 ktoe,0 ktoe,0 ktoe,0 ktoe,-1498 ktoe,2103 ktoe,3197 ktoe,-2054 ktoe,CHP plants
11,11,-234 ktoe,0 ktoe,-261 ktoe,0 ktoe,0 ktoe,0 ktoe,-137 ktoe,-292 ktoe,-2 ktoe,772 ktoe,-154 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-88253 ktoe,87221 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1031 ktoe,Oil refineries
14,14,-2575 ktoe,0 ktoe,-95 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2670 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,1507 ktoe,-1566 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-59 ktoe,Other transformation
17,17,-1420 ktoe,0 ktoe,-4289 ktoe,-257 ktoe,0 ktoe,0 ktoe,0 ktoe,-30 ktoe,-4289 ktoe,0 ktoe,-10285 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,-587 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2718 ktoe,-636 ktoe,-3940 ktoe,Losses
19,19,3329 ktoe,0 ktoe,77947 ktoe,32004 ktoe,0 ktoe,0 ktoe,62 ktoe,8998 ktoe,36631 ktoe,3334 ktoe,162304 ktoe,Total final consumption
20,20,2818 ktoe,0 ktoe,3962 ktoe,12445 ktoe,0 ktoe,0 ktoe,0 ktoe,1273 ktoe,11401 ktoe,1392 ktoe,33294 ktoe,Industry
21,21,0 ktoe,0 ktoe,42655 ktoe,24 ktoe,0 ktoe,0 ktoe,0 ktoe,1427 ktoe,862 ktoe,0 ktoe,44968 ktoe,Transport
22,22,206 ktoe,0 ktoe,7569 ktoe,12940 ktoe,0 ktoe,0 ktoe,37 ktoe,5823 ktoe,12174 ktoe,1238 ktoe,39987 ktoe,Residential
23,23,141 ktoe,0 ktoe,3241 ktoe,5222 ktoe,0 ktoe,0 ktoe,16 ktoe,373 ktoe,11455 ktoe,703 ktoe,21151 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,3130 ktoe,243 ktoe,0 ktoe,0 ktoe,5 ktoe,102 ktoe,594 ktoe,0 ktoe,4074 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,328 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,0 ktoe,10 ktoe,0 ktoe,340 ktoe,Fishing
26,26,50 ktoe,0 ktoe,814 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,134 ktoe,0 ktoe,998 ktoe,Non-specified
27,27,114 ktoe,0 ktoe,16248 ktoe,1129 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,17491 ktoe,Non-energy use
