,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,121 ktoe,39 ktoe,0 ktoe,6 ktoe,0 ktoe,802 ktoe,21 ktoe,388 ktoe,0 ktoe,0 ktoe,1376 ktoe,Production
1,1,165 ktoe,43 ktoe,1540 ktoe,1885 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,114 ktoe,0 ktoe,3748 ktoe,Imports
2,2,-1 ktoe,-115 ktoe,-20 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,-121 ktoe,0 ktoe,-259 ktoe,Exports
3,3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-73 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-73 ktoe,International aviation bunkers
5,5,-24 ktoe,0 ktoe,24 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Stock changes
6,6,262 ktoe,-33 ktoe,1470 ktoe,1891 ktoe,0 ktoe,802 ktoe,21 ktoe,386 ktoe,-7 ktoe,0 ktoe,4793 ktoe,TPES
7,7,0 ktoe,104 ktoe,-52 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,52 ktoe,Transfers
8,8,0 ktoe,-45 ktoe,-10 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-55 ktoe,Statistical differences
9,9,-11 ktoe,0 ktoe,0 ktoe,-436 ktoe,0 ktoe,-802 ktoe,-1 ktoe,0 ktoe,995 ktoe,0 ktoe,-255 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-26 ktoe,27 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-19 ktoe,0 ktoe,-21 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,-114 ktoe,0 ktoe,0 ktoe,-2 ktoe,0 ktoe,-67 ktoe,0 ktoe,-183 ktoe,Losses
19,19,250 ktoe,0 ktoe,1435 ktoe,1341 ktoe,0 ktoe,0 ktoe,18 ktoe,386 ktoe,902 ktoe,0 ktoe,4333 ktoe,Total final consumption
20,20,248 ktoe,0 ktoe,82 ktoe,96 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,250 ktoe,0 ktoe,678 ktoe,Industry
21,21,0 ktoe,0 ktoe,1191 ktoe,231 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,26 ktoe,0 ktoe,1448 ktoe,Transport
22,22,1 ktoe,0 ktoe,18 ktoe,660 ktoe,0 ktoe,0 ktoe,6 ktoe,381 ktoe,208 ktoe,0 ktoe,1273 ktoe,Residential
23,23,1 ktoe,0 ktoe,11 ktoe,160 ktoe,0 ktoe,0 ktoe,11 ktoe,4 ktoe,248 ktoe,0 ktoe,435 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,14 ktoe,9 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,5 ktoe,0 ktoe,28 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,166 ktoe,0 ktoe,166 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,119 ktoe,186 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,305 ktoe,Non-energy use
