,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,54365 ktoe,5059 ktoe,0 ktoe,14859 ktoe,36617 ktoe,1820 ktoe,4068 ktoe,19928 ktoe,0 ktoe,0 ktoe,136718 ktoe,Production
1,1,32668 ktoe,109446 ktoe,29107 ktoe,72579 ktoe,0 ktoe,0 ktoe,0 ktoe,857 ktoe,3951 ktoe,0 ktoe,248609 ktoe,Imports
2,2,-784 ktoe,-707 ktoe,-28238 ktoe,-13134 ktoe,0 ktoe,0 ktoe,0 ktoe,-458 ktoe,-5375 ktoe,-5 ktoe,-48701 ktoe,Exports
3,3,0 ktoe,0 ktoe,-3039 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3039 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-8185 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-8185 ktoe,International aviation bunkers
5,5,-139 ktoe,47 ktoe,1068 ktoe,2192 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,3168 ktoe,Stock changes
6,6,86110 ktoe,113846 ktoe,-9287 ktoe,76495 ktoe,36617 ktoe,1820 ktoe,4068 ktoe,20328 ktoe,-1423 ktoe,-5 ktoe,328569 ktoe,TPES
7,7,0 ktoe,3922 ktoe,-3321 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,601 ktoe,Transfers
8,8,-52 ktoe,-141 ktoe,-284 ktoe,-3641 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4119 ktoe,Statistical differences
9,9,-64987 ktoe,0 ktoe,-1277 ktoe,-5081 ktoe,-36617 ktoe,-1820 ktoe,-3679 ktoe,-4267 ktoe,46489 ktoe,0 ktoe,-71240 ktoe,Electricity plants
10,10,-6399 ktoe,0 ktoe,-664 ktoe,-11444 ktoe,0 ktoe,0 ktoe,0 ktoe,-3589 ktoe,7996 ktoe,8314 ktoe,-5786 ktoe,CHP plants
11,11,-694 ktoe,0 ktoe,-160 ktoe,-2279 ktoe,0 ktoe,0 ktoe,-10 ktoe,-706 ktoe,0 ktoe,2868 ktoe,-981 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-123639 ktoe,120898 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2741 ktoe,Oil refineries
14,14,-5083 ktoe,23 ktoe,-1080 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-6140 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,5990 ktoe,-6132 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-142 ktoe,Other transformation
17,17,-966 ktoe,0 ktoe,-6738 ktoe,-470 ktoe,0 ktoe,0 ktoe,0 ktoe,-79 ktoe,-5025 ktoe,-126 ktoe,-13405 ktoe,Energy industry own use
18,18,-832 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-27 ktoe,-2520 ktoe,-847 ktoe,-4227 ktoe,Losses
19,19,7097 ktoe,0 ktoe,91954 ktoe,53580 ktoe,0 ktoe,0 ktoe,379 ktoe,11660 ktoe,45516 ktoe,10203 ktoe,220389 ktoe,Total final consumption
20,20,5852 ktoe,0 ktoe,4544 ktoe,20268 ktoe,0 ktoe,0 ktoe,0 ktoe,2496 ktoe,20577 ktoe,3619 ktoe,57355 ktoe,Industry
21,21,0 ktoe,0 ktoe,48777 ktoe,686 ktoe,0 ktoe,0 ktoe,0 ktoe,3766 ktoe,1053 ktoe,0 ktoe,54281 ktoe,Transport
22,22,718 ktoe,0 ktoe,11183 ktoe,21072 ktoe,0 ktoe,0 ktoe,317 ktoe,4660 ktoe,12046 ktoe,4389 ktoe,54385 ktoe,Residential
23,23,199 ktoe,0 ktoe,6505 ktoe,9255 ktoe,0 ktoe,0 ktoe,62 ktoe,739 ktoe,11841 ktoe,2195 ktoe,30794 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,2 ktoe,0 ktoe,193 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,195 ktoe,Non-specified
27,27,327 ktoe,0 ktoe,20752 ktoe,2300 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,23379 ktoe,Non-energy use
