,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,8170 ktoe,87 ktoe,0 ktoe,26 ktoe,0 ktoe,504 ktoe,268 ktoe,1013 ktoe,0 ktoe,0 ktoe,10068 ktoe,Production
1,1,239 ktoe,22232 ktoe,6013 ktoe,2721 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,528 ktoe,0 ktoe,31737 ktoe,Imports
2,2,-14 ktoe,-1054 ktoe,-6014 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-167 ktoe,0 ktoe,-7248 ktoe,Exports
3,3,0 ktoe,0 ktoe,-3068 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3068 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-933 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-933 ktoe,International aviation bunkers
5,5,32 ktoe,-28 ktoe,-335 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-331 ktoe,Stock changes
6,6,8427 ktoe,21237 ktoe,-4336 ktoe,2747 ktoe,0 ktoe,504 ktoe,268 ktoe,1017 ktoe,361 ktoe,0 ktoe,30226 ktoe,TPES
7,7,0 ktoe,817 ktoe,-817 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers
8,8,-29 ktoe,-34 ktoe,647 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,7 ktoe,0 ktoe,588 ktoe,Statistical differences
9,9,-6119 ktoe,0 ktoe,-1986 ktoe,-1871 ktoe,0 ktoe,-504 ktoe,-146 ktoe,-23 ktoe,4423 ktoe,0 ktoe,-6227 ktoe,Electricity plants
10,10,-1859 ktoe,0 ktoe,-100 ktoe,-18 ktoe,0 ktoe,0 ktoe,0 ktoe,-9 ktoe,752 ktoe,56 ktoe,-1179 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-22020 ktoe,22440 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,420 ktoe,Oil refineries
14,14,-19 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-19 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-1364 ktoe,-30 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-588 ktoe,0 ktoe,-1982 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,-8 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-439 ktoe,0 ktoe,-447 ktoe,Losses
19,19,401 ktoe,0 ktoe,14483 ktoe,818 ktoe,0 ktoe,0 ktoe,122 ktoe,983 ktoe,4516 ktoe,56 ktoe,21379 ktoe,Total final consumption
20,20,396 ktoe,0 ktoe,1938 ktoe,445 ktoe,0 ktoe,0 ktoe,0 ktoe,219 ktoe,1217 ktoe,0 ktoe,4215 ktoe,Industry
21,21,0 ktoe,0 ktoe,7440 ktoe,14 ktoe,0 ktoe,0 ktoe,0 ktoe,46 ktoe,19 ktoe,0 ktoe,7520 ktoe,Transport
22,22,1 ktoe,0 ktoe,2958 ktoe,139 ktoe,0 ktoe,0 ktoe,108 ktoe,702 ktoe,1520 ktoe,56 ktoe,5484 ktoe,Residential
23,23,0 ktoe,0 ktoe,451 ktoe,90 ktoe,0 ktoe,0 ktoe,6 ktoe,6 ktoe,1527 ktoe,0 ktoe,2079 ktoe,Commercial and public services
24,24,4 ktoe,0 ktoe,919 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,11 ktoe,234 ktoe,0 ktoe,1173 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,777 ktoe,130 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,907 ktoe,Non-energy use
