,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,1593 ktoe,1090 ktoe,0 ktoe,2235 ktoe,4119 ktoe,16 ktoe,150 ktoe,2666 ktoe,0 ktoe,0 ktoe,11869 ktoe,Production
1,1,1411 ktoe,5988 ktoe,2571 ktoe,7913 ktoe,0 ktoe,0 ktoe,0 ktoe,117 ktoe,851 ktoe,0 ktoe,18851 ktoe,Imports
2,2,-279 ktoe,-17 ktoe,-2766 ktoe,-186 ktoe,0 ktoe,0 ktoe,0 ktoe,-82 ktoe,-404 ktoe,0 ktoe,-3734 ktoe,Exports
3,3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-235 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-235 ktoe,International aviation bunkers
5,5,-6 ktoe,-114 ktoe,31 ktoe,-146 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,0 ktoe,0 ktoe,-237 ktoe,Stock changes
6,6,2720 ktoe,6947 ktoe,-400 ktoe,9815 ktoe,4119 ktoe,16 ktoe,150 ktoe,2699 ktoe,447 ktoe,0 ktoe,26514 ktoe,TPES
7,7,0 ktoe,1192 ktoe,-1196 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,Transfers
8,8,-28 ktoe,-1 ktoe,-19 ktoe,22 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,-24 ktoe,Statistical differences
9,9,-1582 ktoe,0 ktoe,-110 ktoe,-1002 ktoe,0 ktoe,-16 ktoe,-46 ktoe,-600 ktoe,1217 ktoe,0 ktoe,-2139 ktoe,Electricity plants
10,10,-164 ktoe,0 ktoe,-3 ktoe,-1594 ktoe,-4119 ktoe,0 ktoe,0 ktoe,-177 ktoe,1997 ktoe,902 ktoe,-3159 ktoe,CHP plants
11,11,-95 ktoe,0 ktoe,-6 ktoe,-356 ktoe,0 ktoe,0 ktoe,-6 ktoe,-5 ktoe,0 ktoe,364 ktoe,-103 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-8560 ktoe,8557 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,Oil refineries
14,14,-346 ktoe,0 ktoe,0 ktoe,-34 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-379 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,426 ktoe,-414 ktoe,-168 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-156 ktoe,Other transformation
17,17,-89 ktoe,0 ktoe,-351 ktoe,-56 ktoe,0 ktoe,0 ktoe,0 ktoe,-9 ktoe,-392 ktoe,-75 ktoe,-972 ktoe,Energy industry own use
18,18,-6 ktoe,0 ktoe,0 ktoe,-169 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-327 ktoe,-102 ktoe,-603 ktoe,Losses
19,19,412 ktoe,3 ktoe,6058 ktoe,6459 ktoe,0 ktoe,0 ktoe,98 ktoe,1908 ktoe,2941 ktoe,1090 ktoe,18970 ktoe,Total final consumption
20,20,260 ktoe,0 ktoe,138 ktoe,971 ktoe,0 ktoe,0 ktoe,1 ktoe,117 ktoe,841 ktoe,301 ktoe,2629 ktoe,Industry
21,21,0 ktoe,0 ktoe,3825 ktoe,28 ktoe,0 ktoe,0 ktoe,0 ktoe,175 ktoe,95 ktoe,0 ktoe,4123 ktoe,Transport
22,22,149 ktoe,0 ktoe,132 ktoe,3260 ktoe,0 ktoe,0 ktoe,5 ktoe,1568 ktoe,963 ktoe,570 ktoe,6646 ktoe,Residential
23,23,3 ktoe,0 ktoe,21 ktoe,1715 ktoe,0 ktoe,0 ktoe,78 ktoe,35 ktoe,976 ktoe,219 ktoe,3048 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,275 ktoe,123 ktoe,0 ktoe,0 ktoe,13 ktoe,14 ktoe,65 ktoe,0 ktoe,491 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,1 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,0 ktoe,3 ktoe,1667 ktoe,362 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2032 ktoe,Non-energy use
