,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,135001 ktoe,0 ktoe,6078 ktoe,0 ktoe,292 ktoe,0 ktoe,41 ktoe,0 ktoe,0 ktoe,141412 ktoe,Production
1,1,0 ktoe,0 ktoe,9179 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,622 ktoe,0 ktoe,9801 ktoe,Imports
2,2,0 ktoe,-109063 ktoe,-55 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-109118 ktoe,Exports
3,3,0 ktoe,0 ktoe,-157 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-157 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-842 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-842 ktoe,International aviation bunkers
5,5,0 ktoe,0 ktoe,-95 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-95 ktoe,Stock changes
6,6,0 ktoe,25938 ktoe,8030 ktoe,6078 ktoe,0 ktoe,292 ktoe,0 ktoe,41 ktoe,622 ktoe,0 ktoe,41001 ktoe,TPES
7,7,0 ktoe,6069 ktoe,-5516 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,553 ktoe,Transfers
8,8,0 ktoe,1 ktoe,106 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,107 ktoe,Statistical differences
9,9,0 ktoe,-3272 ktoe,-9859 ktoe,-4768 ktoe,0 ktoe,-292 ktoe,0 ktoe,0 ktoe,4635 ktoe,0 ktoe,-13556 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-28684 ktoe,26803 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1881 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-18 ktoe,0 ktoe,0 ktoe,-18 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-1372 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-132 ktoe,0 ktoe,-1504 ktoe,Energy industry own use
18,18,0 ktoe,-53 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1785 ktoe,0 ktoe,-1838 ktoe,Losses
19,19,0 ktoe,0 ktoe,18192 ktoe,1310 ktoe,0 ktoe,0 ktoe,0 ktoe,23 ktoe,3340 ktoe,0 ktoe,22864 ktoe,Total final consumption
20,20,0 ktoe,0 ktoe,2762 ktoe,575 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,712 ktoe,0 ktoe,4049 ktoe,Industry
21,21,0 ktoe,0 ktoe,10953 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,10953 ktoe,Transport
22,22,0 ktoe,0 ktoe,3851 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1631 ktoe,0 ktoe,5482 ktoe,Residential
23,23,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,188 ktoe,0 ktoe,188 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,23 ktoe,808 ktoe,0 ktoe,831 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,626 ktoe,735 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1360 ktoe,Non-energy use
