,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,982 ktoe,0 ktoe,0 ktoe,132 ktoe,0 ktoe,61 ktoe,453 ktoe,404 ktoe,0 ktoe,0 ktoe,2033 ktoe,Production
1,1,1215 ktoe,2762 ktoe,5078 ktoe,3592 ktoe,0 ktoe,0 ktoe,0 ktoe,106 ktoe,245 ktoe,0 ktoe,12999 ktoe,Imports
2,2,-12 ktoe,-11 ktoe,-1253 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-61 ktoe,0 ktoe,-1336 ktoe,Exports
3,3,0 ktoe,0 ktoe,-128 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-128 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-723 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-723 ktoe,International aviation bunkers
5,5,-188 ktoe,53 ktoe,52 ktoe,8 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,-73 ktoe,Stock changes
6,6,1998 ktoe,2805 ktoe,3026 ktoe,3732 ktoe,0 ktoe,61 ktoe,453 ktoe,512 ktoe,185 ktoe,0 ktoe,12771 ktoe,TPES
7,7,0 ktoe,-33 ktoe,26 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-8 ktoe,Transfers
8,8,19 ktoe,0 ktoe,16 ktoe,-20 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,-53 ktoe,0 ktoe,-37 ktoe,Statistical differences
9,9,-1484 ktoe,0 ktoe,-54 ktoe,-1711 ktoe,0 ktoe,-61 ktoe,-442 ktoe,-144 ktoe,2041 ktoe,0 ktoe,-1855 ktoe,Electricity plants
10,10,-7 ktoe,0 ktoe,-5 ktoe,-258 ktoe,0 ktoe,0 ktoe,0 ktoe,-8 ktoe,178 ktoe,0 ktoe,-100 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-2826 ktoe,2732 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-94 ktoe,Oil refineries
14,14,-5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,55 ktoe,0 ktoe,-54 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,-13 ktoe,0 ktoe,-109 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-101 ktoe,0 ktoe,-223 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,-76 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-174 ktoe,0 ktoe,-250 ktoe,Losses
19,19,508 ktoe,0 ktoe,5631 ktoe,1613 ktoe,0 ktoe,0 ktoe,11 ktoe,361 ktoe,2075 ktoe,0 ktoe,10199 ktoe,Total final consumption
20,20,107 ktoe,0 ktoe,425 ktoe,678 ktoe,0 ktoe,0 ktoe,0 ktoe,213 ktoe,808 ktoe,0 ktoe,2231 ktoe,Industry
21,21,0 ktoe,0 ktoe,3648 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,90 ktoe,3 ktoe,0 ktoe,3742 ktoe,Transport
22,22,400 ktoe,0 ktoe,926 ktoe,535 ktoe,0 ktoe,0 ktoe,11 ktoe,26 ktoe,662 ktoe,0 ktoe,2560 ktoe,Residential
23,23,0 ktoe,0 ktoe,222 ktoe,400 ktoe,0 ktoe,0 ktoe,0 ktoe,33 ktoe,554 ktoe,0 ktoe,1209 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,173 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,48 ktoe,0 ktoe,221 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,23 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,23 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,214 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,214 ktoe,Non-energy use
