,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,29 ktoe,25 ktoe,0 ktoe,12 ktoe,0 ktoe,2 ktoe,485 ktoe,3 ktoe,0 ktoe,0 ktoe,557 ktoe,Production
1,1,4356 ktoe,10565 ktoe,1927 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,0 ktoe,0 ktoe,16851 ktoe,Imports
2,2,0 ktoe,0 ktoe,-1796 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-84 ktoe,0 ktoe,-1880 ktoe,Exports
3,3,0 ktoe,0 ktoe,-93 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-93 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-761 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-761 ktoe,International aviation bunkers
5,5,415 ktoe,538 ktoe,317 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1271 ktoe,Stock changes
6,6,4800 ktoe,11129 ktoe,-406 ktoe,12 ktoe,0 ktoe,2 ktoe,485 ktoe,6 ktoe,-84 ktoe,0 ktoe,15945 ktoe,TPES
7,7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers
8,8,134 ktoe,0 ktoe,477 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,93 ktoe,0 ktoe,705 ktoe,Statistical differences
9,9,-4919 ktoe,0 ktoe,-2426 ktoe,-4 ktoe,0 ktoe,-2 ktoe,0 ktoe,0 ktoe,2797 ktoe,0 ktoe,-4554 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-11108 ktoe,9935 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1173 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-480 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-145 ktoe,0 ktoe,-625 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-99 ktoe,0 ktoe,-99 ktoe,Losses
19,19,16 ktoe,21 ktoe,7100 ktoe,8 ktoe,0 ktoe,0 ktoe,485 ktoe,6 ktoe,2562 ktoe,0 ktoe,10198 ktoe,Total final consumption
20,20,16 ktoe,0 ktoe,853 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,762 ktoe,0 ktoe,1631 ktoe,Industry
21,21,0 ktoe,0 ktoe,3973 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3973 ktoe,Transport
22,22,0 ktoe,0 ktoe,624 ktoe,0 ktoe,0 ktoe,0 ktoe,485 ktoe,3 ktoe,743 ktoe,0 ktoe,1855 ktoe,Residential
23,23,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,737 ktoe,0 ktoe,737 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,123 ktoe,0 ktoe,123 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,524 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,197 ktoe,0 ktoe,725 ktoe,Non-specified
27,27,0 ktoe,21 ktoe,1126 ktoe,8 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1155 ktoe,Non-energy use
