,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,659 ktoe,700 ktoe,0 ktoe,2695 ktoe,73593 ktoe,8033 ktoe,3810 ktoe,7176 ktoe,0 ktoe,0 ktoe,96666 ktoe,Production
1,1,116789 ktoe,209042 ktoe,51330 ktoe,67978 ktoe,0 ktoe,0 ktoe,0 ktoe,128 ktoe,0 ktoe,0 ktoe,445267 ktoe,Imports
2,2,-1465 ktoe,0 ktoe,-4677 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-6142 ktoe,Exports
3,3,0 ktoe,0 ktoe,-5510 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5510 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-7162 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-7162 ktoe,International aviation bunkers
5,5,5 ktoe,687 ktoe,556 ktoe,-168 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1080 ktoe,Stock changes
6,6,115988 ktoe,210429 ktoe,34538 ktoe,70505 ktoe,73593 ktoe,8033 ktoe,3810 ktoe,7304 ktoe,0 ktoe,0 ktoe,524199 ktoe,TPES
7,7,0 ktoe,-1680 ktoe,1527 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-154 ktoe,Transfers
8,8,-10513 ktoe,-891 ktoe,-7872 ktoe,53 ktoe,0 ktoe,0 ktoe,0 ktoe,-127 ktoe,2661 ktoe,0 ktoe,-16689 ktoe,Statistical differences
9,9,-59340 ktoe,-5814 ktoe,-20415 ktoe,-47596 ktoe,-73593 ktoe,-8033 ktoe,-3109 ktoe,-2260 ktoe,92755 ktoe,0 ktoe,-127405 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,-12 ktoe,0 ktoe,-30 ktoe,-341 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,-99 ktoe,601 ktoe,114 ktoe,Heat plants
12,12,-59 ktoe,0 ktoe,-1969 ktoe,2418 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,390 ktoe,Gas works
13,13,0 ktoe,-207340 ktoe,206015 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1325 ktoe,Oil refineries
14,14,-21042 ktoe,0 ktoe,-499 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-21541 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,6688 ktoe,-6950 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-21 ktoe,0 ktoe,0 ktoe,-282 ktoe,Other transformation
17,17,-3161 ktoe,-2 ktoe,-10011 ktoe,-450 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5038 ktoe,-6 ktoe,-18668 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4201 ktoe,0 ktoe,-4201 ktoe,Losses
19,19,21861 ktoe,1389 ktoe,194334 ktoe,24589 ktoe,0 ktoe,0 ktoe,701 ktoe,4892 ktoe,86077 ktoe,595 ktoe,334438 ktoe,Total final consumption
20,20,21410 ktoe,32 ktoe,33199 ktoe,9334 ktoe,0 ktoe,0 ktoe,1 ktoe,2807 ktoe,34748 ktoe,0 ktoe,101531 ktoe,Industry
21,21,1 ktoe,0 ktoe,81306 ktoe,73 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1599 ktoe,0 ktoe,82979 ktoe,Transport
22,22,0 ktoe,0 ktoe,16033 ktoe,8956 ktoe,0 ktoe,0 ktoe,611 ktoe,14 ktoe,22940 ktoe,31 ktoe,48585 ktoe,Residential
23,23,5 ktoe,0 ktoe,22053 ktoe,5875 ktoe,0 ktoe,0 ktoe,71 ktoe,983 ktoe,26513 ktoe,563 ktoe,56064 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,3810 ktoe,0 ktoe,0 ktoe,0 ktoe,10 ktoe,0 ktoe,248 ktoe,0 ktoe,4069 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,2068 ktoe,1 ktoe,0 ktoe,0 ktoe,5 ktoe,0 ktoe,28 ktoe,0 ktoe,2103 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,1088 ktoe,0 ktoe,0 ktoe,1090 ktoe,Non-specified
27,27,446 ktoe,1358 ktoe,35865 ktoe,350 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,38018 ktoe,Non-energy use
