,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,1 ktoe,0 ktoe,162 ktoe,0 ktoe,5 ktoe,120 ktoe,5 ktoe,0 ktoe,0 ktoe,293 ktoe,Production
1,1,0 ktoe,3633 ktoe,923 ktoe,2924 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,33 ktoe,0 ktoe,7514 ktoe,Imports
2,2,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-12 ktoe,0 ktoe,-12 ktoe,Exports
3,3,0 ktoe,0 ktoe,-38 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-38 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-331 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-331 ktoe,International aviation bunkers
5,5,0 ktoe,12 ktoe,20 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,32 ktoe,Stock changes
6,6,0 ktoe,3646 ktoe,575 ktoe,3086 ktoe,0 ktoe,5 ktoe,120 ktoe,6 ktoe,21 ktoe,0 ktoe,7459 ktoe,TPES
7,7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers
8,8,0 ktoe,1 ktoe,15 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,17 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,-351 ktoe,-3086 ktoe,0 ktoe,-5 ktoe,0 ktoe,-2 ktoe,1227 ktoe,0 ktoe,-2217 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-3647 ktoe,3466 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-182 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-163 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-55 ktoe,0 ktoe,-217 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-174 ktoe,0 ktoe,-174 ktoe,Losses
19,19,0 ktoe,0 ktoe,3542 ktoe,0 ktoe,0 ktoe,0 ktoe,120 ktoe,4 ktoe,1020 ktoe,0 ktoe,4686 ktoe,Total final consumption
20,20,0 ktoe,0 ktoe,845 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,245 ktoe,0 ktoe,1090 ktoe,Industry
21,21,0 ktoe,0 ktoe,1730 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1730 ktoe,Transport
22,22,0 ktoe,0 ktoe,554 ktoe,0 ktoe,0 ktoe,0 ktoe,105 ktoe,3 ktoe,420 ktoe,0 ktoe,1083 ktoe,Residential
23,23,0 ktoe,0 ktoe,188 ktoe,0 ktoe,0 ktoe,0 ktoe,15 ktoe,0 ktoe,202 ktoe,0 ktoe,405 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,152 ktoe,0 ktoe,152 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,142 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,143 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,82 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,82 ktoe,Non-energy use
