,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,38245 ktoe,61732 ktoe,0 ktoe,14009 ktoe,0 ktoe,693 ktoe,0 ktoe,21 ktoe,0 ktoe,0 ktoe,114700 ktoe,Production
1,1,821 ktoe,3306 ktoe,2210 ktoe,9772 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,450 ktoe,0 ktoe,16559 ktoe,Imports
2,2,-10870 ktoe,-51440 ktoe,-3166 ktoe,-14495 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-637 ktoe,0 ktoe,-80608 ktoe,Exports
3,3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-151 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-151 ktoe,International aviation bunkers
5,5,-347 ktoe,317 ktoe,-128 ktoe,451 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,293 ktoe,Stock changes
6,6,27848 ktoe,13916 ktoe,-1235 ktoe,9737 ktoe,0 ktoe,693 ktoe,0 ktoe,21 ktoe,-187 ktoe,0 ktoe,50793 ktoe,TPES
7,7,0 ktoe,-821 ktoe,821 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers
8,8,-241 ktoe,-3127 ktoe,-69 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3437 ktoe,Statistical differences
9,9,0 ktoe,-4 ktoe,0 ktoe,0 ktoe,0 ktoe,-693 ktoe,0 ktoe,0 ktoe,694 ktoe,0 ktoe,-3 ktoe,Electricity plants
10,10,-18411 ktoe,0 ktoe,-334 ktoe,-1841 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5062 ktoe,8760 ktoe,-6765 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-9648 ktoe,8956 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-692 ktoe,Oil refineries
14,14,-1930 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1930 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,-524 ktoe,0 ktoe,-737 ktoe,-6658 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1263 ktoe,0 ktoe,-9181 ktoe,Energy industry own use
18,18,-599 ktoe,-316 ktoe,-144 ktoe,-304 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-588 ktoe,-1133 ktoe,-3083 ktoe,Losses
19,19,6143 ktoe,0 ktoe,7258 ktoe,934 ktoe,0 ktoe,0 ktoe,0 ktoe,21 ktoe,3719 ktoe,7627 ktoe,25700 ktoe,Total final consumption
20,20,5766 ktoe,0 ktoe,2173 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2239 ktoe,3729 ktoe,13907 ktoe,Industry
21,21,0 ktoe,0 ktoe,3139 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,159 ktoe,0 ktoe,3299 ktoe,Transport
22,22,1 ktoe,0 ktoe,233 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,503 ktoe,1853 ktoe,2590 ktoe,Residential
23,23,0 ktoe,0 ktoe,132 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,132 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,496 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,468 ktoe,0 ktoe,964 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,578 ktoe,934 ktoe,0 ktoe,0 ktoe,0 ktoe,21 ktoe,349 ktoe,2044 ktoe,3926 ktoe,Non-specified
27,27,376 ktoe,0 ktoe,506 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,882 ktoe,Non-energy use
