,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,671 ktoe,146 ktoe,0 ktoe,22 ktoe,0 ktoe,988 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,1829 ktoe,Production
1,1,397 ktoe,251 ktoe,1376 ktoe,217 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,28 ktoe,0 ktoe,2269 ktoe,Imports
2,2,-143 ktoe,-7 ktoe,-66 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-17 ktoe,0 ktoe,-233 ktoe,Exports
3,3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-106 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-106 ktoe,International aviation bunkers
5,5,-20 ktoe,-1 ktoe,119 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,98 ktoe,Stock changes
6,6,905 ktoe,389 ktoe,1324 ktoe,239 ktoe,0 ktoe,988 ktoe,0 ktoe,1 ktoe,11 ktoe,0 ktoe,3858 ktoe,TPES
7,7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers
8,8,-2 ktoe,0 ktoe,0 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-11 ktoe,83 ktoe,68 ktoe,Statistical differences
9,9,-9 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-988 ktoe,0 ktoe,0 ktoe,991 ktoe,0 ktoe,-7 ktoe,Electricity plants
10,10,-388 ktoe,0 ktoe,-9 ktoe,-58 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,150 ktoe,193 ktoe,-112 ktoe,CHP plants
11,11,-3 ktoe,0 ktoe,-10 ktoe,-45 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,44 ktoe,-15 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-389 ktoe,389 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-39 ktoe,-19 ktoe,-61 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,-1 ktoe,-4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-228 ktoe,-21 ktoe,-255 ktoe,Losses
19,19,502 ktoe,0 ktoe,1694 ktoe,127 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,874 ktoe,279 ktoe,3477 ktoe,Total final consumption
20,20,105 ktoe,0 ktoe,131 ktoe,22 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,147 ktoe,24 ktoe,429 ktoe,Industry
21,21,0 ktoe,0 ktoe,1132 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,0 ktoe,1136 ktoe,Transport
22,22,256 ktoe,0 ktoe,296 ktoe,81 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,628 ktoe,169 ktoe,1431 ktoe,Residential
23,23,124 ktoe,0 ktoe,10 ktoe,23 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,67 ktoe,85 ktoe,309 ktoe,Commercial and public services
24,24,2 ktoe,0 ktoe,100 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,20 ktoe,0 ktoe,122 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,2 ktoe,0 ktoe,22 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,9 ktoe,1 ktoe,33 ktoe,Non-specified
27,27,14 ktoe,0 ktoe,3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,17 ktoe,Non-energy use
