,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,28 ktoe,84 ktoe,0 ktoe,0 ktoe,0 ktoe,34 ktoe,63 ktoe,1279 ktoe,0 ktoe,259 ktoe,1747 ktoe,Production
1,1,210 ktoe,8156 ktoe,1314 ktoe,2151 ktoe,0 ktoe,0 ktoe,0 ktoe,163 ktoe,733 ktoe,0 ktoe,12727 ktoe,Imports
2,2,-6 ktoe,-64 ktoe,-7007 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,-230 ktoe,-77 ktoe,0 ktoe,-7385 ktoe,Exports
3,3,0 ktoe,0 ktoe,-11 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-11 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-77 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-77 ktoe,International aviation bunkers
5,5,-5 ktoe,28 ktoe,57 ktoe,-85 ktoe,0 ktoe,0 ktoe,0 ktoe,-15 ktoe,0 ktoe,0 ktoe,-21 ktoe,Stock changes
6,6,227 ktoe,8203 ktoe,-5724 ktoe,2065 ktoe,0 ktoe,34 ktoe,63 ktoe,1198 ktoe,655 ktoe,259 ktoe,6980 ktoe,TPES
7,7,0 ktoe,0 ktoe,-5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5 ktoe,Transfers
8,8,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-34 ktoe,-61 ktoe,0 ktoe,116 ktoe,-63 ktoe,-42 ktoe,Electricity plants
10,10,-1 ktoe,0 ktoe,-36 ktoe,-520 ktoe,0 ktoe,0 ktoe,0 ktoe,-189 ktoe,202 ktoe,373 ktoe,-170 ktoe,CHP plants
11,11,-5 ktoe,0 ktoe,-13 ktoe,-143 ktoe,0 ktoe,0 ktoe,-2 ktoe,-303 ktoe,0 ktoe,403 ktoe,-63 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-8203 ktoe,8099 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-104 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-487 ktoe,-6 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-110 ktoe,-7 ktoe,-610 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-70 ktoe,-125 ktoe,-196 ktoe,Losses
19,19,220 ktoe,0 ktoe,1833 ktoe,1396 ktoe,0 ktoe,0 ktoe,0 ktoe,705 ktoe,794 ktoe,839 ktoe,5788 ktoe,Total final consumption
20,20,119 ktoe,0 ktoe,40 ktoe,298 ktoe,0 ktoe,0 ktoe,0 ktoe,84 ktoe,268 ktoe,225 ktoe,1034 ktoe,Industry
21,21,0 ktoe,0 ktoe,1546 ktoe,30 ktoe,0 ktoe,0 ktoe,0 ktoe,63 ktoe,5 ktoe,0 ktoe,1644 ktoe,Transport
22,22,57 ktoe,0 ktoe,46 ktoe,120 ktoe,0 ktoe,0 ktoe,0 ktoe,508 ktoe,228 ktoe,440 ktoe,1400 ktoe,Residential
23,23,42 ktoe,0 ktoe,5 ktoe,54 ktoe,0 ktoe,0 ktoe,0 ktoe,38 ktoe,277 ktoe,170 ktoe,586 ktoe,Commercial and public services
24,24,2 ktoe,0 ktoe,49 ktoe,21 ktoe,0 ktoe,0 ktoe,0 ktoe,12 ktoe,15 ktoe,4 ktoe,103 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,Fishing
26,26,0 ktoe,0 ktoe,11 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,11 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,134 ktoe,874 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1007 ktoe,Non-energy use
