,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,8 ktoe,6 ktoe,94 ktoe,0 ktoe,0 ktoe,108 ktoe,Production
1,1,78 ktoe,0 ktoe,3174 ktoe,1176 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,550 ktoe,0 ktoe,4978 ktoe,Imports
2,2,0 ktoe,0 ktoe,-15 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,-269 ktoe,0 ktoe,-286 ktoe,Exports
3,3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-432 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-432 ktoe,International aviation bunkers
5,5,0 ktoe,0 ktoe,20 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,20 ktoe,Stock changes
6,6,78 ktoe,0 ktoe,2746 ktoe,1176 ktoe,0 ktoe,8 ktoe,6 ktoe,93 ktoe,280 ktoe,0 ktoe,4388 ktoe,TPES
7,7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers
8,8,0 ktoe,0 ktoe,-23 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,1 ktoe,0 ktoe,-24 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,0 ktoe,-421 ktoe,0 ktoe,-8 ktoe,-6 ktoe,-29 ktoe,249 ktoe,0 ktoe,-215 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,-123 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,38 ktoe,73 ktoe,-14 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,2 ktoe,-1 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-30 ktoe,0 ktoe,-30 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-10 ktoe,-3 ktoe,-13 ktoe,Losses
19,19,78 ktoe,0 ktoe,2722 ktoe,631 ktoe,0 ktoe,0 ktoe,0 ktoe,59 ktoe,529 ktoe,73 ktoe,4091 ktoe,Total final consumption
20,20,77 ktoe,0 ktoe,29 ktoe,329 ktoe,0 ktoe,0 ktoe,0 ktoe,40 ktoe,295 ktoe,12 ktoe,781 ktoe,Industry
21,21,0 ktoe,0 ktoe,2357 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,8 ktoe,0 ktoe,2366 ktoe,Transport
22,22,1 ktoe,0 ktoe,233 ktoe,204 ktoe,0 ktoe,0 ktoe,0 ktoe,16 ktoe,73 ktoe,0 ktoe,526 ktoe,Residential
23,23,0 ktoe,0 ktoe,58 ktoe,98 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,151 ktoe,61 ktoe,367 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,17 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,3 ktoe,0 ktoe,22 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,28 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,28 ktoe,Non-energy use
