,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,568 ktoe,35409 ktoe,0 ktoe,54584 ktoe,0 ktoe,554 ktoe,0 ktoe,1114 ktoe,0 ktoe,0 ktoe,92229 ktoe,Production
1,1,6822 ktoe,8112 ktoe,7733 ktoe,3313 ktoe,0 ktoe,0 ktoe,0 ktoe,8 ktoe,0 ktoe,0 ktoe,25989 ktoe,Imports
2,2,-71 ktoe,-17262 ktoe,-9534 ktoe,-24130 ktoe,0 ktoe,0 ktoe,0 ktoe,-79 ktoe,-200 ktoe,0 ktoe,-51276 ktoe,Exports
3,3,0 ktoe,0 ktoe,-90 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-90 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-1721 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1721 ktoe,International aviation bunkers
5,5,-274 ktoe,103 ktoe,352 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,182 ktoe,Stock changes
6,6,7045 ktoe,26363 ktoe,-3260 ktoe,33767 ktoe,0 ktoe,554 ktoe,0 ktoe,1043 ktoe,-199 ktoe,0 ktoe,65313 ktoe,TPES
7,7,0 ktoe,-2013 ktoe,2090 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,77 ktoe,Transfers
8,8,28 ktoe,-366 ktoe,27 ktoe,53 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,674 ktoe,0 ktoe,416 ktoe,Statistical differences
9,9,-5743 ktoe,0 ktoe,-822 ktoe,-13713 ktoe,0 ktoe,-554 ktoe,0 ktoe,0 ktoe,7724 ktoe,0 ktoe,-13108 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-24974 ktoe,23528 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1446 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,990 ktoe,0 ktoe,-820 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,170 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,-574 ktoe,0 ktoe,0 ktoe,0 ktoe,-424 ktoe,0 ktoe,0 ktoe,-998 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-887 ktoe,-8498 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-309 ktoe,0 ktoe,-9694 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,-897 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-618 ktoe,0 ktoe,-1515 ktoe,Losses
19,19,1330 ktoe,0 ktoe,20676 ktoe,9317 ktoe,0 ktoe,0 ktoe,0 ktoe,619 ktoe,7272 ktoe,0 ktoe,39214 ktoe,Total final consumption
20,20,1330 ktoe,0 ktoe,5134 ktoe,7059 ktoe,0 ktoe,0 ktoe,0 ktoe,380 ktoe,3475 ktoe,0 ktoe,17379 ktoe,Industry
21,21,0 ktoe,0 ktoe,12980 ktoe,120 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,5 ktoe,0 ktoe,13111 ktoe,Transport
22,22,0 ktoe,0 ktoe,844 ktoe,5 ktoe,0 ktoe,0 ktoe,0 ktoe,233 ktoe,1515 ktoe,0 ktoe,2597 ktoe,Residential
23,23,0 ktoe,0 ktoe,765 ktoe,24 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2277 ktoe,0 ktoe,3066 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,19 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,19 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,234 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,234 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,699 ktoe,2110 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2809 ktoe,Non-energy use
