,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,8528 ktoe,179101 ktoe,0 ktoe,42983 ktoe,2715 ktoe,2351 ktoe,6498 ktoe,8690 ktoe,0 ktoe,0 ktoe,250867 ktoe,Production
1,1,3591 ktoe,471 ktoe,24165 ktoe,9349 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,24 ktoe,0 ktoe,37599 ktoe,Imports
2,2,-7 ktoe,-93568 ktoe,-5827 ktoe,-1227 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-125 ktoe,0 ktoe,-100754 ktoe,Exports
3,3,0 ktoe,0 ktoe,-872 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-872 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-3321 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3321 ktoe,International aviation bunkers
5,5,-231 ktoe,-234 ktoe,-412 ktoe,141 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-736 ktoe,Stock changes
6,6,11881 ktoe,85770 ktoe,13733 ktoe,51245 ktoe,2715 ktoe,2351 ktoe,6498 ktoe,8690 ktoe,-101 ktoe,0 ktoe,182783 ktoe,TPES
7,7,0 ktoe,-7800 ktoe,9481 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1681 ktoe,Transfers
8,8,129 ktoe,-4287 ktoe,729 ktoe,1555 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-154 ktoe,0 ktoe,-2028 ktoe,Statistical differences
9,9,-8213 ktoe,0 ktoe,-12353 ktoe,-23210 ktoe,-2715 ktoe,-2351 ktoe,-6390 ktoe,-1126 ktoe,21841 ktoe,0 ktoe,-34518 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,-398 ktoe,-3172 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,968 ktoe,0 ktoe,-2602 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,-1016 ktoe,766 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-250 ktoe,Gas works
13,13,0 ktoe,-73749 ktoe,69600 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4149 ktoe,Oil refineries
14,14,-796 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-796 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,66 ktoe,-6 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,60 ktoe,Other transformation
17,17,-336 ktoe,0 ktoe,-6258 ktoe,-15037 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1558 ktoe,0 ktoe,-23189 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3483 ktoe,0 ktoe,-3483 ktoe,Losses
19,19,2666 ktoe,0 ktoe,73511 ktoe,12148 ktoe,0 ktoe,0 ktoe,109 ktoe,7564 ktoe,17513 ktoe,0 ktoe,113511 ktoe,Total final consumption
20,20,2538 ktoe,0 ktoe,7904 ktoe,10578 ktoe,0 ktoe,0 ktoe,5 ktoe,1277 ktoe,10101 ktoe,0 ktoe,32402 ktoe,Industry
21,21,0 ktoe,0 ktoe,49138 ktoe,14 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,94 ktoe,0 ktoe,49245 ktoe,Transport
22,22,0 ktoe,0 ktoe,6818 ktoe,661 ktoe,0 ktoe,0 ktoe,62 ktoe,6287 ktoe,3941 ktoe,0 ktoe,17769 ktoe,Residential
23,23,0 ktoe,0 ktoe,1569 ktoe,181 ktoe,0 ktoe,0 ktoe,42 ktoe,0 ktoe,1737 ktoe,0 ktoe,3528 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,2637 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,671 ktoe,0 ktoe,3308 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,970 ktoe,0 ktoe,970 ktoe,Non-specified
27,27,128 ktoe,0 ktoe,5444 ktoe,715 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6287 ktoe,Non-energy use
