,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,1254 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,87 ktoe,10 ktoe,201 ktoe,0 ktoe,0 ktoe,1552 ktoe,Production
1,1,155 ktoe,1084 ktoe,187 ktoe,86 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,214 ktoe,0 ktoe,1726 ktoe,Imports
2,2,-1 ktoe,0 ktoe,-261 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,-263 ktoe,Exports
3,3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-7 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-7 ktoe,International aviation bunkers
5,5,41 ktoe,-10 ktoe,46 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-8 ktoe,0 ktoe,0 ktoe,68 ktoe,Stock changes
6,6,1450 ktoe,1073 ktoe,-35 ktoe,86 ktoe,0 ktoe,87 ktoe,10 ktoe,192 ktoe,214 ktoe,0 ktoe,3076 ktoe,TPES
7,7,0 ktoe,46 ktoe,-45 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,Transfers
8,8,9 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,9 ktoe,Statistical differences
9,9,-1267 ktoe,0 ktoe,-114 ktoe,0 ktoe,0 ktoe,-87 ktoe,0 ktoe,0 ktoe,558 ktoe,0 ktoe,-909 ktoe,Electricity plants
10,10,-7 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,-4 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,-40 ktoe,-36 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,70 ktoe,-6 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-1120 ktoe,1051 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-69 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-15 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-63 ktoe,-3 ktoe,-81 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,-130 ktoe,-7 ktoe,-138 ktoe,Losses
19,19,185 ktoe,0 ktoe,802 ktoe,49 ktoe,0 ktoe,0 ktoe,9 ktoe,192 ktoe,580 ktoe,62 ktoe,1879 ktoe,Total final consumption
20,20,172 ktoe,0 ktoe,239 ktoe,46 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,211 ktoe,9 ktoe,681 ktoe,Industry
21,21,0 ktoe,0 ktoe,390 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,0 ktoe,393 ktoe,Transport
22,22,5 ktoe,0 ktoe,46 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,182 ktoe,261 ktoe,39 ktoe,533 ktoe,Residential
23,23,7 ktoe,0 ktoe,89 ktoe,2 ktoe,0 ktoe,0 ktoe,2 ktoe,5 ktoe,103 ktoe,14 ktoe,222 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,12 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,1 ktoe,3 ktoe,0 ktoe,23 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,27 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,27 ktoe,Non-energy use
