,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,1773 ktoe,110526 ktoe,0 ktoe,92871 ktoe,0 ktoe,10772 ktoe,84 ktoe,1310 ktoe,0 ktoe,38 ktoe,217375 ktoe,Production
1,1,474 ktoe,1000 ktoe,4757 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,118 ktoe,486 ktoe,0 ktoe,6835 ktoe,Imports
2,2,-1609 ktoe,-88083 ktoe,-16163 ktoe,-85928 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,-1258 ktoe,0 ktoe,-193042 ktoe,Exports
3,3,0 ktoe,0 ktoe,-490 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-490 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-356 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-356 ktoe,International aviation bunkers
5,5,-77 ktoe,948 ktoe,94 ktoe,25 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,990 ktoe,Stock changes
6,6,561 ktoe,24392 ktoe,-12159 ktoe,6968 ktoe,0 ktoe,10772 ktoe,84 ktoe,1427 ktoe,-772 ktoe,38 ktoe,31311 ktoe,TPES
7,7,0 ktoe,-7986 ktoe,8504 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,518 ktoe,Transfers
8,8,-10 ktoe,-1036 ktoe,-2511 ktoe,-1885 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,0 ktoe,-5445 ktoe,Statistical differences
9,9,-7 ktoe,0 ktoe,-3 ktoe,-548 ktoe,0 ktoe,-10772 ktoe,-84 ktoe,-24 ktoe,11250 ktoe,-32 ktoe,-220 ktoe,Electricity plants
10,10,-18 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-75 ktoe,12 ktoe,66 ktoe,-15 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,-33 ktoe,-15 ktoe,0 ktoe,0 ktoe,0 ktoe,-191 ktoe,-73 ktoe,277 ktoe,-35 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-15418 ktoe,15349 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-70 ktoe,Oil refineries
14,14,-50 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-50 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,48 ktoe,-54 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-6 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-883 ktoe,-3821 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-536 ktoe,-5 ktoe,-5245 ktoe,Energy industry own use
18,18,-5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-8 ktoe,-652 ktoe,-47 ktoe,-711 ktoe,Losses
19,19,471 ktoe,0 ktoe,8209 ktoe,699 ktoe,0 ktoe,0 ktoe,0 ktoe,1129 ktoe,9225 ktoe,298 ktoe,20030 ktoe,Total final consumption
20,20,431 ktoe,0 ktoe,905 ktoe,211 ktoe,0 ktoe,0 ktoe,0 ktoe,366 ktoe,3550 ktoe,28 ktoe,5490 ktoe,Industry
21,21,0 ktoe,0 ktoe,4448 ktoe,51 ktoe,0 ktoe,0 ktoe,0 ktoe,95 ktoe,57 ktoe,0 ktoe,4651 ktoe,Transport
22,22,0 ktoe,0 ktoe,167 ktoe,3 ktoe,0 ktoe,0 ktoe,0 ktoe,637 ktoe,3122 ktoe,65 ktoe,3994 ktoe,Residential
23,23,0 ktoe,0 ktoe,239 ktoe,18 ktoe,0 ktoe,0 ktoe,0 ktoe,27 ktoe,2312 ktoe,205 ktoe,2801 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,145 ktoe,15 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,166 ktoe,0 ktoe,330 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,447 ktoe,1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,17 ktoe,0 ktoe,465 ktoe,Fishing
26,26,0 ktoe,0 ktoe,84 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,84 ktoe,Non-specified
27,27,40 ktoe,0 ktoe,1775 ktoe,400 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2215 ktoe,Non-energy use
