,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,57819 ktoe,701 ktoe,0 ktoe,3907 ktoe,0 ktoe,175 ktoe,439 ktoe,8273 ktoe,0 ktoe,16 ktoe,71331 ktoe,Production
1,1,6121 ktoe,25204 ktoe,4952 ktoe,10043 ktoe,0 ktoe,0 ktoe,0 ktoe,194 ktoe,843 ktoe,0 ktoe,47358 ktoe,Imports
2,2,-9356 ktoe,-214 ktoe,-5716 ktoe,-3 ktoe,0 ktoe,0 ktoe,0 ktoe,-46 ktoe,-1087 ktoe,0 ktoe,-16422 ktoe,Exports
3,3,0 ktoe,0 ktoe,-144 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-144 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-538 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-538 ktoe,International aviation bunkers
5,5,-3825 ktoe,-26 ktoe,121 ktoe,-267 ktoe,0 ktoe,0 ktoe,0 ktoe,-6 ktoe,0 ktoe,0 ktoe,-4003 ktoe,Stock changes
6,6,50760 ktoe,25665 ktoe,-1324 ktoe,13680 ktoe,0 ktoe,175 ktoe,439 ktoe,8415 ktoe,-244 ktoe,16 ktoe,97582 ktoe,TPES
7,7,0 ktoe,49 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,49 ktoe,Transfers
8,8,1708 ktoe,377 ktoe,-195 ktoe,89 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1979 ktoe,Statistical differences
9,9,-2532 ktoe,0 ktoe,-5 ktoe,0 ktoe,0 ktoe,-175 ktoe,-408 ktoe,-238 ktoe,1659 ktoe,-17 ktoe,-1717 ktoe,Electricity plants
10,10,-31493 ktoe,0 ktoe,-394 ktoe,-1239 ktoe,0 ktoe,0 ktoe,0 ktoe,-2360 ktoe,12246 ktoe,4645 ktoe,-18596 ktoe,CHP plants
11,11,-3040 ktoe,0 ktoe,-32 ktoe,-241 ktoe,0 ktoe,0 ktoe,0 ktoe,-44 ktoe,0 ktoe,2720 ktoe,-637 ktoe,Heat plants
12,12,2 ktoe,0 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,Gas works
13,13,0 ktoe,-27465 ktoe,26039 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1426 ktoe,Oil refineries
14,14,-1240 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1240 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,-143 ktoe,1374 ktoe,-993 ktoe,-407 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-168 ktoe,Other transformation
17,17,-1001 ktoe,0 ktoe,-1246 ktoe,-999 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,-2220 ktoe,-724 ktoe,-6194 ktoe,Energy industry own use
18,18,-30 ktoe,0 ktoe,0 ktoe,-114 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-936 ktoe,-657 ktoe,-1737 ktoe,Losses
19,19,12990 ktoe,0 ktoe,21847 ktoe,10769 ktoe,0 ktoe,0 ktoe,31 ktoe,5770 ktoe,10505 ktoe,5984 ktoe,67895 ktoe,Total final consumption
20,20,3826 ktoe,0 ktoe,829 ktoe,3152 ktoe,0 ktoe,0 ktoe,0 ktoe,1446 ktoe,3845 ktoe,629 ktoe,13728 ktoe,Industry
21,21,0 ktoe,0 ktoe,15097 ktoe,258 ktoe,0 ktoe,0 ktoe,0 ktoe,807 ktoe,275 ktoe,0 ktoe,16438 ktoe,Transport
22,22,7187 ktoe,0 ktoe,638 ktoe,3377 ktoe,0 ktoe,0 ktoe,23 ktoe,2791 ktoe,2435 ktoe,4299 ktoe,20751 ktoe,Residential
23,23,815 ktoe,0 ktoe,529 ktoe,1932 ktoe,0 ktoe,0 ktoe,8 ktoe,219 ktoe,3816 ktoe,1031 ktoe,8349 ktoe,Commercial and public services
24,24,1087 ktoe,0 ktoe,1844 ktoe,43 ktoe,0 ktoe,0 ktoe,0 ktoe,506 ktoe,134 ktoe,24 ktoe,3638 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,Non-specified
27,27,75 ktoe,0 ktoe,2909 ktoe,2006 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4990 ktoe,Non-energy use
