,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,162959 ktoe,490038 ktoe,0 ktoe,521997 ktoe,42052 ktoe,15223 ktoe,418 ktoe,6582 ktoe,0 ktoe,0 ktoe,1239269 ktoe,Production
1,1,14212 ktoe,2706 ktoe,37 ktoe,5989 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,488 ktoe,0 ktoe,23432 ktoe,Imports
2,2,-65026 ktoe,-259870 ktoe,-94309 ktoe,-155008 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1588 ktoe,0 ktoe,-575801 ktoe,Exports
3,3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-5494 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5494 ktoe,International aviation bunkers
5,5,-1194 ktoe,-697 ktoe,-19 ktoe,-6914 ktoe,0 ktoe,0 ktoe,0 ktoe,97 ktoe,0 ktoe,0 ktoe,-8727 ktoe,Stock changes
6,6,110952 ktoe,232177 ktoe,-99785 ktoe,366065 ktoe,42052 ktoe,15223 ktoe,418 ktoe,6679 ktoe,-1100 ktoe,0 ktoe,672680 ktoe,TPES
7,7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers
8,8,-1893 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1893 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,-458 ktoe,-2183 ktoe,-41700 ktoe,-15223 ktoe,-418 ktoe,0 ktoe,29632 ktoe,0 ktoe,-30349 ktoe,Electricity plants
10,10,-60418 ktoe,-11 ktoe,-5685 ktoe,-151213 ktoe,-352 ktoe,0 ktoe,0 ktoe,-1276 ktoe,57505 ktoe,64202 ktoe,-97249 ktoe,CHP plants
11,11,-15351 ktoe,-691 ktoe,-7118 ktoe,-60667 ktoe,0 ktoe,0 ktoe,0 ktoe,-2517 ktoe,0 ktoe,82575 ktoe,-3769 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-228320 ktoe,227224 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1096 ktoe,Oil refineries
14,14,-17293 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-17293 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,-608 ktoe,-1419 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2026 ktoe,Other transformation
17,17,-1285 ktoe,-589 ktoe,-14082 ktoe,-13994 ktoe,0 ktoe,0 ktoe,0 ktoe,-100 ktoe,-16750 ktoe,-17890 ktoe,-64690 ktoe,Energy industry own use
18,18,0 ktoe,-2526 ktoe,0 ktoe,-5417 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-9016 ktoe,-10275 ktoe,-27233 ktoe,Losses
19,19,14713 ktoe,40 ktoe,99489 ktoe,131172 ktoe,0 ktoe,0 ktoe,0 ktoe,2786 ktoe,60270 ktoe,118612 ktoe,427082 ktoe,Total final consumption
20,20,9809 ktoe,12 ktoe,12649 ktoe,26849 ktoe,0 ktoe,0 ktoe,0 ktoe,372 ktoe,30333 ktoe,44594 ktoe,124618 ktoe,Industry
21,21,0 ktoe,8 ktoe,50103 ktoe,34953 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7450 ktoe,0 ktoe,92514 ktoe,Transport
22,22,2568 ktoe,0 ktoe,6814 ktoe,38822 ktoe,0 ktoe,0 ktoe,0 ktoe,1292 ktoe,9968 ktoe,52987 ktoe,112452 ktoe,Residential
23,23,1973 ktoe,0 ktoe,2051 ktoe,5503 ktoe,0 ktoe,0 ktoe,0 ktoe,616 ktoe,11104 ktoe,18028 ktoe,39274 ktoe,Commercial and public services
24,24,84 ktoe,20 ktoe,4258 ktoe,946 ktoe,0 ktoe,0 ktoe,0 ktoe,380 ktoe,1391 ktoe,2960 ktoe,10040 ktoe,Agriculture / forestry
25,25,7 ktoe,0 ktoe,757 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,23 ktoe,42 ktoe,831 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,125 ktoe,0 ktoe,0 ktoe,125 ktoe,Non-specified
27,27,272 ktoe,0 ktoe,22857 ktoe,24100 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,47229 ktoe,Non-energy use
