,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,531688 ktoe,0 ktoe,61009 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,592697 ktoe,Production
1,1,0 ktoe,0 ktoe,10384 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,0 ktoe,0 ktoe,10390 ktoe,Imports
2,2,0 ktoe,-358409 ktoe,-56584 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-414992 ktoe,Exports
3,3,0 ktoe,0 ktoe,-3071 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3071 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-2140 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2140 ktoe,International aviation bunkers
5,5,0 ktoe,-4134 ktoe,-2022 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-6156 ktoe,Stock changes
6,6,0 ktoe,169145 ktoe,-53433 ktoe,61009 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,0 ktoe,0 ktoe,176728 ktoe,TPES
7,7,0 ktoe,-48414 ktoe,51015 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2601 ktoe,Transfers
8,8,0 ktoe,1597 ktoe,1412 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-67 ktoe,0 ktoe,2942 ktoe,Statistical differences
9,9,0 ktoe,-22252 ktoe,-16681 ktoe,-29673 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,21503 ktoe,0 ktoe,-47104 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-95852 ktoe,94557 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1295 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,-14 ktoe,-4621 ktoe,-2440 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1324 ktoe,0 ktoe,-8399 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2021 ktoe,0 ktoe,-2021 ktoe,Losses
19,19,0 ktoe,4209 ktoe,72249 ktoe,28896 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,18091 ktoe,0 ktoe,123452 ktoe,Total final consumption
20,20,0 ktoe,4209 ktoe,12539 ktoe,24411 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2779 ktoe,0 ktoe,43938 ktoe,Industry
21,21,0 ktoe,0 ktoe,37039 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,37039 ktoe,Transport
22,22,0 ktoe,0 ktoe,1893 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7 ktoe,9395 ktoe,0 ktoe,11294 ktoe,Residential
23,23,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5545 ktoe,0 ktoe,5545 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,326 ktoe,0 ktoe,326 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,46 ktoe,0 ktoe,46 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,20778 ktoe,4485 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,25264 ktoe,Non-energy use
