,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,8224 ktoe,676 ktoe,0 ktoe,214 ktoe,0 ktoe,822 ktoe,6 ktoe,807 ktoe,0 ktoe,0 ktoe,10750 ktoe,Production
1,1,945 ktoe,2660 ktoe,1284 ktoe,1787 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,763 ktoe,0 ktoe,7440 ktoe,Imports
2,2,-92 ktoe,-1 ktoe,-237 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,-757 ktoe,0 ktoe,-1091 ktoe,Exports
3,3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-49 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-49 ktoe,International aviation bunkers
5,5,-109 ktoe,-77 ktoe,-33 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,-217 ktoe,Stock changes
6,6,8968 ktoe,3258 ktoe,965 ktoe,2002 ktoe,0 ktoe,822 ktoe,6 ktoe,805 ktoe,6 ktoe,0 ktoe,16833 ktoe,TPES
7,7,0 ktoe,-28 ktoe,30 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,Transfers
8,8,-402 ktoe,8 ktoe,13 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-381 ktoe,Statistical differences
9,9,-2964 ktoe,0 ktoe,-18 ktoe,-17 ktoe,0 ktoe,-822 ktoe,0 ktoe,0 ktoe,1805 ktoe,0 ktoe,-2017 ktoe,Electricity plants
10,10,-3887 ktoe,0 ktoe,-33 ktoe,-99 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1362 ktoe,81 ktoe,-2577 ktoe,CHP plants
11,11,-122 ktoe,0 ktoe,-349 ktoe,-389 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,747 ktoe,-114 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-3275 ktoe,3043 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-232 ktoe,Oil refineries
14,14,-346 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-346 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,38 ktoe,-38 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-38 ktoe,-45 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-322 ktoe,-20 ktoe,-424 ktoe,Energy industry own use
18,18,-76 ktoe,0 ktoe,0 ktoe,-31 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-508 ktoe,-81 ktoe,-696 ktoe,Losses
19,19,1172 ktoe,0 ktoe,3576 ktoe,1420 ktoe,0 ktoe,0 ktoe,6 ktoe,804 ktoe,2344 ktoe,727 ktoe,10048 ktoe,Total final consumption
20,20,642 ktoe,0 ktoe,338 ktoe,1002 ktoe,0 ktoe,0 ktoe,0 ktoe,22 ktoe,608 ktoe,296 ktoe,2907 ktoe,Industry
21,21,1 ktoe,0 ktoe,2281 ktoe,4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,23 ktoe,0 ktoe,2309 ktoe,Transport
22,22,438 ktoe,0 ktoe,33 ktoe,183 ktoe,0 ktoe,0 ktoe,0 ktoe,668 ktoe,1212 ktoe,362 ktoe,2895 ktoe,Residential
23,23,73 ktoe,0 ktoe,92 ktoe,88 ktoe,0 ktoe,0 ktoe,3 ktoe,113 ktoe,483 ktoe,69 ktoe,920 ktoe,Commercial and public services
24,24,1 ktoe,0 ktoe,51 ktoe,11 ktoe,0 ktoe,0 ktoe,4 ktoe,0 ktoe,18 ktoe,0 ktoe,85 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,18 ktoe,0 ktoe,781 ktoe,132 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,931 ktoe,Non-energy use
