,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,615 ktoe,0 ktoe,0 ktoe,621 ktoe,Production
1,1,407 ktoe,49438 ktoe,115188 ktoe,8508 ktoe,0 ktoe,0 ktoe,0 ktoe,63 ktoe,0 ktoe,0 ktoe,173605 ktoe,Imports
2,2,0 ktoe,-754 ktoe,-90469 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-91222 ktoe,Exports
3,3,0 ktoe,0 ktoe,-43484 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-43484 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-7379 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-7379 ktoe,International aviation bunkers
5,5,0 ktoe,-20 ktoe,-1258 ktoe,37 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1241 ktoe,Stock changes
6,6,407 ktoe,48664 ktoe,-27401 ktoe,8545 ktoe,0 ktoe,0 ktoe,6 ktoe,678 ktoe,0 ktoe,0 ktoe,30899 ktoe,TPES
7,7,0 ktoe,6678 ktoe,-6800 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-122 ktoe,Transfers
8,8,0 ktoe,-3863 ktoe,302 ktoe,14 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3547 ktoe,Statistical differences
9,9,-243 ktoe,0 ktoe,-200 ktoe,-7343 ktoe,0 ktoe,0 ktoe,-6 ktoe,-678 ktoe,4335 ktoe,0 ktoe,-4135 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-51480 ktoe,49339 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2140 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-1920 ktoe,-10 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-173 ktoe,0 ktoe,-2104 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-76 ktoe,0 ktoe,-76 ktoe,Losses
19,19,163 ktoe,0 ktoe,13320 ktoe,1206 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4085 ktoe,0 ktoe,18775 ktoe,Total final consumption
20,20,163 ktoe,0 ktoe,3590 ktoe,1057 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1621 ktoe,0 ktoe,6431 ktoe,Industry
21,21,0 ktoe,0 ktoe,2369 ktoe,13 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,210 ktoe,0 ktoe,2593 ktoe,Transport
22,22,0 ktoe,0 ktoe,28 ktoe,54 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,621 ktoe,0 ktoe,703 ktoe,Residential
23,23,0 ktoe,0 ktoe,81 ktoe,81 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1609 ktoe,0 ktoe,1772 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,24 ktoe,0 ktoe,26 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,7251 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7251 ktoe,Non-energy use
