,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,1201 ktoe,0 ktoe,0 ktoe,2 ktoe,1619 ktoe,306 ktoe,44 ktoe,682 ktoe,0 ktoe,0 ktoe,3854 ktoe,Production
1,1,258 ktoe,0 ktoe,3328 ktoe,736 ktoe,0 ktoe,0 ktoe,0 ktoe,36 ktoe,605 ktoe,0 ktoe,4962 ktoe,Imports
2,2,-1 ktoe,0 ktoe,-726 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-723 ktoe,0 ktoe,-1450 ktoe,Exports
3,3,0 ktoe,0 ktoe,-32 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-32 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-24 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-24 ktoe,International aviation bunkers
5,5,8 ktoe,0 ktoe,8 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,16 ktoe,Stock changes
6,6,1465 ktoe,0 ktoe,2554 ktoe,738 ktoe,1619 ktoe,306 ktoe,44 ktoe,719 ktoe,-118 ktoe,0 ktoe,7327 ktoe,TPES
7,7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers
8,8,-10 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-10 ktoe,Statistical differences
9,9,-180 ktoe,0 ktoe,-2 ktoe,-2 ktoe,-1619 ktoe,-306 ktoe,-6 ktoe,-2 ktoe,912 ktoe,0 ktoe,-1205 ktoe,Electricity plants
10,10,-1217 ktoe,0 ktoe,-2 ktoe,-101 ktoe,0 ktoe,0 ktoe,0 ktoe,-75 ktoe,456 ktoe,177 ktoe,-762 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,-4 ktoe,-49 ktoe,0 ktoe,0 ktoe,-2 ktoe,-8 ktoe,0 ktoe,55 ktoe,-8 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-105 ktoe,-7 ktoe,-114 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-71 ktoe,-35 ktoe,-106 ktoe,Losses
19,19,58 ktoe,0 ktoe,2546 ktoe,583 ktoe,0 ktoe,0 ktoe,37 ktoe,633 ktoe,1075 ktoe,191 ktoe,5122 ktoe,Total final consumption
20,20,53 ktoe,0 ktoe,114 ktoe,425 ktoe,0 ktoe,0 ktoe,0 ktoe,81 ktoe,504 ktoe,58 ktoe,1235 ktoe,Industry
21,21,0 ktoe,0 ktoe,1833 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,37 ktoe,14 ktoe,0 ktoe,1884 ktoe,Transport
22,22,1 ktoe,0 ktoe,252 ktoe,113 ktoe,0 ktoe,0 ktoe,19 ktoe,513 ktoe,276 ktoe,89 ktoe,1265 ktoe,Residential
23,23,0 ktoe,0 ktoe,152 ktoe,39 ktoe,0 ktoe,0 ktoe,15 ktoe,2 ktoe,280 ktoe,43 ktoe,531 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,65 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,0 ktoe,0 ktoe,68 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,16 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,16 ktoe,Non-specified
27,27,4 ktoe,0 ktoe,113 ktoe,5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,123 ktoe,Non-energy use
