,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,145388 ktoe,132 ktoe,0 ktoe,736 ktoe,3698 ktoe,75 ktoe,999 ktoe,6958 ktoe,0 ktoe,0 ktoe,157986 ktoe,Production
1,1,428 ktoe,16681 ktoe,9721 ktoe,3526 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,737 ktoe,0 ktoe,31092 ktoe,Imports
2,2,-47589 ktoe,0 ktoe,-3973 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-228 ktoe,-1307 ktoe,0 ktoe,-53096 ktoe,Exports
3,3,0 ktoe,0 ktoe,-1985 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1985 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-2018 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2018 ktoe,International aviation bunkers
5,5,0 ktoe,206 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,206 ktoe,Stock changes
6,6,98228 ktoe,17019 ktoe,1746 ktoe,4261 ktoe,3698 ktoe,75 ktoe,999 ktoe,6730 ktoe,-570 ktoe,0 ktoe,132186 ktoe,TPES
7,7,0 ktoe,-5070 ktoe,5427 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,357 ktoe,Transfers
8,8,-1968 ktoe,1602 ktoe,796 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-187 ktoe,0 ktoe,243 ktoe,Statistical differences
9,9,-56897 ktoe,0 ktoe,-45 ktoe,0 ktoe,-3698 ktoe,-75 ktoe,-840 ktoe,-89 ktoe,21549 ktoe,0 ktoe,-40095 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-7 ktoe,3 ktoe,0 ktoe,-3 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,-1356 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1356 ktoe,Gas works
13,13,0 ktoe,-18621 ktoe,18265 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-356 ktoe,Oil refineries
14,14,-1469 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1469 ktoe,Coal transformation
15,15,-5073 ktoe,5070 ktoe,0 ktoe,-2596 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2598 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1044 ktoe,0 ktoe,0 ktoe,-1044 ktoe,Other transformation
17,17,-13091 ktoe,0 ktoe,-884 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,0 ktoe,-2232 ktoe,0 ktoe,-16208 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1843 ktoe,0 ktoe,-1843 ktoe,Losses
19,19,18375 ktoe,0 ktoe,25306 ktoe,1665 ktoe,0 ktoe,0 ktoe,157 ktoe,5591 ktoe,16721 ktoe,0 ktoe,67814 ktoe,Total final consumption
20,20,8533 ktoe,0 ktoe,2102 ktoe,1664 ktoe,0 ktoe,0 ktoe,0 ktoe,1566 ktoe,10040 ktoe,0 ktoe,23904 ktoe,Industry
21,21,0 ktoe,0 ktoe,17925 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,323 ktoe,0 ktoe,18248 ktoe,Transport
22,22,5351 ktoe,0 ktoe,627 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4025 ktoe,3323 ktoe,0 ktoe,13325 ktoe,Residential
23,23,2664 ktoe,0 ktoe,151 ktoe,1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2415 ktoe,0 ktoe,5231 ktoe,Commercial and public services
24,24,522 ktoe,0 ktoe,1146 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,489 ktoe,0 ktoe,2158 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,62 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,62 ktoe,Fishing
26,26,123 ktoe,0 ktoe,767 ktoe,0 ktoe,0 ktoe,0 ktoe,157 ktoe,0 ktoe,131 ktoe,0 ktoe,1178 ktoe,Non-specified
27,27,1182 ktoe,0 ktoe,2525 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3707 ktoe,Non-energy use
