,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,1128 ktoe,122 ktoe,0 ktoe,24 ktoe,15123 ktoe,1615 ktoe,7594 ktoe,8024 ktoe,0 ktoe,0 ktoe,33629 ktoe,Production
1,1,11152 ktoe,70501 ktoe,19748 ktoe,30126 ktoe,0 ktoe,0 ktoe,0 ktoe,873 ktoe,2043 ktoe,0 ktoe,134443 ktoe,Imports
2,2,-237 ktoe,-4032 ktoe,-23053 ktoe,-2507 ktoe,0 ktoe,0 ktoe,0 ktoe,-1459 ktoe,-1255 ktoe,0 ktoe,-32543 ktoe,Exports
3,3,0 ktoe,0 ktoe,-6616 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-6616 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-4467 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4467 ktoe,International aviation bunkers
5,5,607 ktoe,126 ktoe,1108 ktoe,-376 ktoe,0 ktoe,0 ktoe,0 ktoe,103 ktoe,0 ktoe,0 ktoe,1567 ktoe,Stock changes
6,6,12649 ktoe,66718 ktoe,-13279 ktoe,27266 ktoe,15123 ktoe,1615 ktoe,7594 ktoe,7540 ktoe,788 ktoe,0 ktoe,126014 ktoe,TPES
7,7,0 ktoe,1300 ktoe,-1083 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,217 ktoe,Transfers
8,8,-90 ktoe,0 ktoe,-821 ktoe,-191 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,-126 ktoe,0 ktoe,-1228 ktoe,Statistical differences
9,9,-10621 ktoe,0 ktoe,-2719 ktoe,-6558 ktoe,-15123 ktoe,-1615 ktoe,-7266 ktoe,-1715 ktoe,20755 ktoe,0 ktoe,-24862 ktoe,Electricity plants
10,10,-27 ktoe,0 ktoe,-488 ktoe,-3371 ktoe,0 ktoe,0 ktoe,0 ktoe,-274 ktoe,2756 ktoe,0 ktoe,-1404 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,7 ktoe,0 ktoe,0 ktoe,0 ktoe,-7 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-68094 ktoe,66182 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1912 ktoe,Oil refineries
14,14,-825 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-825 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,76 ktoe,-79 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-105 ktoe,0 ktoe,0 ktoe,-108 ktoe,Other transformation
17,17,-160 ktoe,0 ktoe,-4921 ktoe,-3114 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1676 ktoe,0 ktoe,-9871 ktoe,Energy industry own use
18,18,-39 ktoe,0 ktoe,0 ktoe,-117 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2328 ktoe,0 ktoe,-2483 ktoe,Losses
19,19,887 ktoe,0 ktoe,42791 ktoe,13923 ktoe,0 ktoe,0 ktoe,328 ktoe,5440 ktoe,20169 ktoe,0 ktoe,83538 ktoe,Total final consumption
20,20,716 ktoe,0 ktoe,2841 ktoe,6885 ktoe,0 ktoe,0 ktoe,3 ktoe,1436 ktoe,6831 ktoe,0 ktoe,18711 ktoe,Industry
21,21,0 ktoe,0 ktoe,29634 ktoe,373 ktoe,0 ktoe,0 ktoe,0 ktoe,1258 ktoe,455 ktoe,0 ktoe,31720 ktoe,Transport
22,22,79 ktoe,0 ktoe,2631 ktoe,3747 ktoe,0 ktoe,0 ktoe,257 ktoe,2535 ktoe,6020 ktoe,0 ktoe,15269 ktoe,Residential
23,23,0 ktoe,0 ktoe,1275 ktoe,2405 ktoe,0 ktoe,0 ktoe,55 ktoe,136 ktoe,6240 ktoe,0 ktoe,10110 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,1738 ktoe,76 ktoe,0 ktoe,0 ktoe,6 ktoe,71 ktoe,497 ktoe,0 ktoe,2387 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,239 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,0 ktoe,0 ktoe,244 ktoe,Fishing
26,26,38 ktoe,0 ktoe,31 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,1 ktoe,127 ktoe,0 ktoe,203 ktoe,Non-specified
27,27,53 ktoe,0 ktoe,4403 ktoe,437 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4893 ktoe,Non-energy use
