,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,186 ktoe,0 ktoe,0 ktoe,0 ktoe,17316 ktoe,5276 ktoe,860 ktoe,10755 ktoe,0 ktoe,222 ktoe,34616 ktoe,Production
1,1,1845 ktoe,17657 ktoe,6693 ktoe,955 ktoe,0 ktoe,0 ktoe,0 ktoe,769 ktoe,1090 ktoe,0 ktoe,29009 ktoe,Imports
2,2,-18 ktoe,-655 ktoe,-9365 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-114 ktoe,-1950 ktoe,0 ktoe,-12102 ktoe,Exports
3,3,0 ktoe,0 ktoe,-1582 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1582 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-795 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-795 ktoe,International aviation bunkers
5,5,204 ktoe,-287 ktoe,223 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,8 ktoe,0 ktoe,0 ktoe,148 ktoe,Stock changes
6,6,2217 ktoe,16715 ktoe,-4826 ktoe,955 ktoe,17316 ktoe,5276 ktoe,860 ktoe,11418 ktoe,-860 ktoe,222 ktoe,49294 ktoe,TPES
7,7,0 ktoe,1355 ktoe,-1139 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,216 ktoe,Transfers
8,8,-121 ktoe,275 ktoe,-1152 ktoe,-9 ktoe,0 ktoe,0 ktoe,0 ktoe,74 ktoe,0 ktoe,0 ktoe,-932 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,-7 ktoe,0 ktoe,-17316 ktoe,-5276 ktoe,-849 ktoe,0 ktoe,11842 ktoe,0 ktoe,-11606 ktoe,Electricity plants
10,10,-605 ktoe,0 ktoe,-105 ktoe,-322 ktoe,0 ktoe,0 ktoe,0 ktoe,-4438 ktoe,1316 ktoe,3142 ktoe,-1010 ktoe,CHP plants
11,11,-44 ktoe,0 ktoe,-58 ktoe,-11 ktoe,0 ktoe,0 ktoe,0 ktoe,-1042 ktoe,-125 ktoe,1177 ktoe,-103 ktoe,Heat plants
12,12,8 ktoe,0 ktoe,0 ktoe,-8 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-18344 ktoe,17698 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-646 ktoe,Oil refineries
14,14,-566 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-566 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,-89 ktoe,0 ktoe,-664 ktoe,-16 ktoe,0 ktoe,0 ktoe,0 ktoe,-16 ktoe,-563 ktoe,0 ktoe,-1348 ktoe,Energy industry own use
18,18,-23 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-860 ktoe,-86 ktoe,-968 ktoe,Losses
19,19,777 ktoe,0 ktoe,9749 ktoe,590 ktoe,0 ktoe,0 ktoe,11 ktoe,5997 ktoe,10749 ktoe,4456 ktoe,32329 ktoe,Total final consumption
20,20,757 ktoe,0 ktoe,878 ktoe,280 ktoe,0 ktoe,0 ktoe,0 ktoe,4174 ktoe,4472 ktoe,458 ktoe,11020 ktoe,Industry
21,21,0 ktoe,0 ktoe,6473 ktoe,53 ktoe,0 ktoe,0 ktoe,0 ktoe,688 ktoe,236 ktoe,0 ktoe,7451 ktoe,Transport
22,22,3 ktoe,0 ktoe,43 ktoe,33 ktoe,0 ktoe,0 ktoe,11 ktoe,1004 ktoe,3741 ktoe,2644 ktoe,7479 ktoe,Residential
23,23,2 ktoe,0 ktoe,283 ktoe,106 ktoe,0 ktoe,0 ktoe,0 ktoe,29 ktoe,2193 ktoe,1347 ktoe,3960 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,96 ktoe,24 ktoe,0 ktoe,0 ktoe,0 ktoe,102 ktoe,107 ktoe,7 ktoe,336 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,19 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,19 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,14 ktoe,0 ktoe,1957 ktoe,94 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2065 ktoe,Non-energy use
