,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,8525 ktoe,0 ktoe,5227 ktoe,0 ktoe,278 ktoe,0 ktoe,6 ktoe,0 ktoe,0 ktoe,14037 ktoe,Production
1,1,1 ktoe,0 ktoe,3894 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3895 ktoe,Imports
2,2,0 ktoe,0 ktoe,-851 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-851 ktoe,Exports
3,3,0 ktoe,0 ktoe,-460 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-460 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-14 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-14 ktoe,International aviation bunkers
5,5,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Stock changes
6,6,1 ktoe,8525 ktoe,2569 ktoe,5227 ktoe,0 ktoe,278 ktoe,0 ktoe,6 ktoe,0 ktoe,0 ktoe,16606 ktoe,TPES
7,7,0 ktoe,-239 ktoe,269 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,30 ktoe,Transfers
8,8,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,-3353 ktoe,-4278 ktoe,0 ktoe,-278 ktoe,0 ktoe,0 ktoe,3016 ktoe,0 ktoe,-4893 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-8286 ktoe,8222 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-64 ktoe,Oil refineries
14,14,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,-1 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-258 ktoe,-78 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-345 ktoe,0 ktoe,-681 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-485 ktoe,0 ktoe,-485 ktoe,Losses
19,19,0 ktoe,0 ktoe,7449 ktoe,873 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,2187 ktoe,0 ktoe,10515 ktoe,Total final consumption
20,20,0 ktoe,0 ktoe,1346 ktoe,308 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,736 ktoe,0 ktoe,2390 ktoe,Industry
21,21,0 ktoe,0 ktoe,3522 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3522 ktoe,Transport
22,22,0 ktoe,0 ktoe,1363 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1000 ktoe,0 ktoe,2363 ktoe,Residential
23,23,0 ktoe,0 ktoe,276 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,227 ktoe,0 ktoe,503 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,398 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,398 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,142 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,224 ktoe,0 ktoe,372 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,401 ktoe,565 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,966 ktoe,Non-energy use
