,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,5320 ktoe,17490 ktoe,0 ktoe,24728 ktoe,0 ktoe,476 ktoe,5 ktoe,22572 ktoe,0 ktoe,0 ktoe,70591 ktoe,Production
1,1,10726 ktoe,42743 ktoe,2041 ktoe,8237 ktoe,0 ktoe,0 ktoe,0 ktoe,66 ktoe,627 ktoe,0 ktoe,64440 ktoe,Imports
2,2,-13 ktoe,-1564 ktoe,-11232 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-34 ktoe,-139 ktoe,0 ktoe,-12982 ktoe,Exports
3,3,0 ktoe,0 ktoe,-1378 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1378 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-3340 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3340 ktoe,International aviation bunkers
5,5,329 ktoe,-25 ktoe,211 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,9 ktoe,0 ktoe,0 ktoe,524 ktoe,Stock changes
6,6,16362 ktoe,58643 ktoe,-13698 ktoe,32965 ktoe,0 ktoe,476 ktoe,5 ktoe,22613 ktoe,488 ktoe,0 ktoe,117855 ktoe,TPES
7,7,0 ktoe,-4460 ktoe,4617 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,158 ktoe,Transfers
8,8,-215 ktoe,2 ktoe,1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-212 ktoe,Statistical differences
9,9,-6922 ktoe,0 ktoe,-264 ktoe,-22684 ktoe,0 ktoe,-476 ktoe,-3 ktoe,-2306 ktoe,13716 ktoe,0 ktoe,-18938 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-53590 ktoe,53579 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-12 ktoe,Oil refineries
14,14,-13 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-13 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5887 ktoe,0 ktoe,0 ktoe,-5887 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-802 ktoe,-5694 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-494 ktoe,0 ktoe,-6991 ktoe,Energy industry own use
18,18,0 ktoe,-188 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-870 ktoe,0 ktoe,-1058 ktoe,Losses
19,19,9211 ktoe,407 ktoe,43433 ktoe,4588 ktoe,0 ktoe,0 ktoe,2 ktoe,14421 ktoe,12839 ktoe,0 ktoe,84901 ktoe,Total final consumption
20,20,9211 ktoe,0 ktoe,2794 ktoe,1989 ktoe,0 ktoe,0 ktoe,0 ktoe,7014 ktoe,5471 ktoe,0 ktoe,26479 ktoe,Industry
21,21,0 ktoe,0 ktoe,17793 ktoe,1463 ktoe,0 ktoe,0 ktoe,0 ktoe,654 ktoe,6 ktoe,0 ktoe,19917 ktoe,Transport
22,22,0 ktoe,0 ktoe,1667 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6753 ktoe,2866 ktoe,0 ktoe,11286 ktoe,Residential
23,23,0 ktoe,0 ktoe,1203 ktoe,1 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,4399 ktoe,0 ktoe,5604 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,3444 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,29 ktoe,0 ktoe,3473 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,68 ktoe,0 ktoe,68 ktoe,Non-specified
27,27,0 ktoe,407 ktoe,16532 ktoe,1135 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,18074 ktoe,Non-energy use
