,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,3551 ktoe,0 ktoe,1993 ktoe,0 ktoe,12 ktoe,4 ktoe,1122 ktoe,0 ktoe,0 ktoe,6682 ktoe,Production
1,1,0 ktoe,1120 ktoe,3192 ktoe,1098 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,12 ktoe,0 ktoe,5422 ktoe,Imports
2,2,0 ktoe,-2908 ktoe,-735 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-12 ktoe,0 ktoe,-3655 ktoe,Exports
3,3,0 ktoe,0 ktoe,-17 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-17 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-220 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-220 ktoe,International aviation bunkers
5,5,0 ktoe,116 ktoe,-13 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,104 ktoe,Stock changes
6,6,0 ktoe,1880 ktoe,2207 ktoe,3092 ktoe,0 ktoe,12 ktoe,4 ktoe,1122 ktoe,0 ktoe,0 ktoe,8316 ktoe,TPES
7,7,0 ktoe,-72 ktoe,77 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,Transfers
8,8,0 ktoe,43 ktoe,19 ktoe,218 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,80 ktoe,0 ktoe,360 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,-51 ktoe,-2467 ktoe,0 ktoe,-12 ktoe,-4 ktoe,0 ktoe,1089 ktoe,0 ktoe,-1445 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-1851 ktoe,1814 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-37 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-227 ktoe,0 ktoe,0 ktoe,-227 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-71 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-56 ktoe,0 ktoe,-128 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-147 ktoe,0 ktoe,-147 ktoe,Losses
19,19,0 ktoe,0 ktoe,3995 ktoe,842 ktoe,0 ktoe,0 ktoe,0 ktoe,894 ktoe,965 ktoe,0 ktoe,6697 ktoe,Total final consumption
20,20,0 ktoe,0 ktoe,958 ktoe,623 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,434 ktoe,0 ktoe,2014 ktoe,Industry
21,21,0 ktoe,0 ktoe,1511 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,20 ktoe,0 ktoe,1531 ktoe,Transport
22,22,0 ktoe,0 ktoe,555 ktoe,173 ktoe,0 ktoe,0 ktoe,0 ktoe,894 ktoe,245 ktoe,0 ktoe,1868 ktoe,Residential
23,23,0 ktoe,0 ktoe,338 ktoe,46 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,213 ktoe,0 ktoe,597 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,345 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,53 ktoe,0 ktoe,398 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,288 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,288 ktoe,Non-energy use
