,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,531840 ktoe,347602 ktoe,0 ktoe,494788 ktoe,218591 ktoe,22551 ktoe,18971 ktoe,90132 ktoe,0 ktoe,0 ktoe,1724475 ktoe,Production
1,1,11440 ktoe,539779 ktoe,83347 ktoe,86917 ktoe,0 ktoe,0 ktoe,0 ktoe,56 ktoe,3876 ktoe,0 ktoe,725416 ktoe,Imports
2,2,-48240 ktoe,-9302 ktoe,-105623 ktoe,-26153 ktoe,0 ktoe,0 ktoe,0 ktoe,-758 ktoe,-1643 ktoe,0 ktoe,-191720 ktoe,Exports
3,3,0 ktoe,0 ktoe,-26010 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-26010 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-21816 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-21816 ktoe,International aviation bunkers
5,5,7570 ktoe,-1610 ktoe,156 ktoe,524 ktoe,0 ktoe,0 ktoe,0 ktoe,-97 ktoe,0 ktoe,0 ktoe,6543 ktoe,Stock changes
6,6,502610 ktoe,876469 ktoe,-69946 ktoe,556077 ktoe,218591 ktoe,22551 ktoe,18971 ktoe,89333 ktoe,2234 ktoe,0 ktoe,2216888 ktoe,TPES
7,7,0 ktoe,-42967 ktoe,44827 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1860 ktoe,Transfers
8,8,-2783 ktoe,-10303 ktoe,-622 ktoe,2441 ktoe,0 ktoe,0 ktoe,0 ktoe,-1630 ktoe,0 ktoe,0 ktoe,-12897 ktoe,Statistical differences
9,9,-449346 ktoe,0 ktoe,-8576 ktoe,-145034 ktoe,-218591 ktoe,-22551 ktoe,-16816 ktoe,-12453 ktoe,346919 ktoe,0 ktoe,-526447 ktoe,Electricity plants
10,10,-13429 ktoe,0 ktoe,-2268 ktoe,-40053 ktoe,0 ktoe,0 ktoe,0 ktoe,-7249 ktoe,27488 ktoe,12140 ktoe,-23370 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,-1919 ktoe,0 ktoe,0 ktoe,1206 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-713 ktoe,Gas works
13,13,0 ktoe,-819594 ktoe,840747 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,21152 ktoe,Oil refineries
14,14,-6706 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-6706 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,-1574 ktoe,0 ktoe,-45794 ktoe,-53004 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-28463 ktoe,-4046 ktoe,-132880 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-22442 ktoe,-1458 ktoe,-23899 ktoe,Losses
19,19,26854 ktoe,3604 ktoe,758367 ktoe,321633 ktoe,0 ktoe,0 ktoe,2155 ktoe,68000 ktoe,325737 ktoe,6637 ktoe,1512988 ktoe,Total final consumption
20,20,25345 ktoe,60 ktoe,30208 ktoe,109888 ktoe,0 ktoe,0 ktoe,0 ktoe,28622 ktoe,71060 ktoe,5244 ktoe,270429 ktoe,Industry
21,21,0 ktoe,32 ktoe,555511 ktoe,16306 ktoe,0 ktoe,0 ktoe,0 ktoe,23353 ktoe,552 ktoe,0 ktoe,595753 ktoe,Transport
22,22,0 ktoe,555 ktoe,20959 ktoe,110963 ktoe,0 ktoe,0 ktoe,339 ktoe,12993 ktoe,124309 ktoe,0 ktoe,270118 ktoe,Residential
23,23,1509 ktoe,98 ktoe,15292 ktoe,71193 ktoe,0 ktoe,0 ktoe,1816 ktoe,1675 ktoe,114377 ktoe,1393 ktoe,207352 ktoe,Commercial and public services
24,24,0 ktoe,82 ktoe,15613 ktoe,1493 ktoe,0 ktoe,0 ktoe,0 ktoe,1357 ktoe,3301 ktoe,0 ktoe,21846 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,12138 ktoe,0 ktoe,12138 ktoe,Non-specified
27,27,0 ktoe,2777 ktoe,120785 ktoe,11791 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,135352 ktoe,Non-energy use
