,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,466 ktoe,10 ktoe,1393 ktoe,0 ktoe,0 ktoe,1869 ktoe,Production
1,1,2 ktoe,2061 ktoe,1298 ktoe,52 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,64 ktoe,0 ktoe,3478 ktoe,Imports
2,2,0 ktoe,0 ktoe,-115 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-8 ktoe,0 ktoe,-123 ktoe,Exports
3,3,0 ktoe,0 ktoe,-308 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-308 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-96 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-96 ktoe,International aviation bunkers
5,5,0 ktoe,-123 ktoe,-63 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,0 ktoe,0 ktoe,-183 ktoe,Stock changes
6,6,2 ktoe,1939 ktoe,716 ktoe,52 ktoe,0 ktoe,466 ktoe,10 ktoe,1397 ktoe,56 ktoe,0 ktoe,4637 ktoe,TPES
7,7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers
8,8,0 ktoe,12 ktoe,56 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,67 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,-922 ktoe,-2 ktoe,0 ktoe,-466 ktoe,-10 ktoe,-74 ktoe,837 ktoe,0 ktoe,-636 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-94 ktoe,74 ktoe,0 ktoe,-21 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-1949 ktoe,1946 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,0 ktoe,0 ktoe,-112 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-24 ktoe,0 ktoe,-139 ktoe,Energy industry own use
18,18,0 ktoe,-1 ktoe,-10 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-111 ktoe,0 ktoe,-124 ktoe,Losses
19,19,2 ktoe,0 ktoe,1672 ktoe,47 ktoe,0 ktoe,0 ktoe,0 ktoe,1228 ktoe,832 ktoe,0 ktoe,3781 ktoe,Total final consumption
20,20,0 ktoe,0 ktoe,186 ktoe,10 ktoe,0 ktoe,0 ktoe,0 ktoe,849 ktoe,213 ktoe,0 ktoe,1257 ktoe,Industry
21,21,0 ktoe,0 ktoe,1096 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,25 ktoe,0 ktoe,0 ktoe,1121 ktoe,Transport
22,22,0 ktoe,0 ktoe,126 ktoe,21 ktoe,0 ktoe,0 ktoe,0 ktoe,293 ktoe,332 ktoe,0 ktoe,771 ktoe,Residential
23,23,0 ktoe,0 ktoe,40 ktoe,16 ktoe,0 ktoe,0 ktoe,0 ktoe,24 ktoe,250 ktoe,0 ktoe,331 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,157 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,38 ktoe,29 ktoe,0 ktoe,223 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,8 ktoe,0 ktoe,8 ktoe,Non-specified
27,27,2 ktoe,0 ktoe,68 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,70 ktoe,Non-energy use
