,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,1266 ktoe,4983 ktoe,0 ktoe,55058 ktoe,0 ktoe,386 ktoe,0 ktoe,4 ktoe,0 ktoe,0 ktoe,61697 ktoe,Production
1,1,3 ktoe,8 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1020 ktoe,0 ktoe,1031 ktoe,Imports
2,2,-8 ktoe,0 ktoe,-276 ktoe,-12217 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1012 ktoe,0 ktoe,-13512 ktoe,Exports
3,3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International aviation bunkers
5,5,-92 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-92 ktoe,Stock changes
6,6,1169 ktoe,4991 ktoe,-276 ktoe,42841 ktoe,0 ktoe,386 ktoe,0 ktoe,4 ktoe,9 ktoe,0 ktoe,49123 ktoe,TPES
7,7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers
8,8,44 ktoe,0 ktoe,0 ktoe,1957 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2001 ktoe,Statistical differences
9,9,-477 ktoe,0 ktoe,-185 ktoe,-6367 ktoe,0 ktoe,-386 ktoe,0 ktoe,0 ktoe,2526 ktoe,0 ktoe,-4889 ktoe,Electricity plants
10,10,-412 ktoe,0 ktoe,-237 ktoe,-6509 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1792 ktoe,1646 ktoe,-3720 ktoe,CHP plants
11,11,-1 ktoe,0 ktoe,-55 ktoe,-1873 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1628 ktoe,-302 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-4848 ktoe,4341 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-507 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation
17,17,-3 ktoe,-10 ktoe,-186 ktoe,-1741 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-377 ktoe,0 ktoe,-2318 ktoe,Energy industry own use
18,18,-1 ktoe,-51 ktoe,0 ktoe,-1633 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-636 ktoe,0 ktoe,-2322 ktoe,Losses
19,19,318 ktoe,81 ktoe,3402 ktoe,26675 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,3313 ktoe,3274 ktoe,37068 ktoe,Total final consumption
20,20,99 ktoe,0 ktoe,215 ktoe,6486 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1195 ktoe,0 ktoe,7995 ktoe,Industry
21,21,0 ktoe,0 ktoe,1923 ktoe,1425 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,106 ktoe,0 ktoe,3454 ktoe,Transport
22,22,16 ktoe,0 ktoe,34 ktoe,14681 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,521 ktoe,0 ktoe,15251 ktoe,Residential
23,23,0 ktoe,0 ktoe,0 ktoe,2936 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,181 ktoe,0 ktoe,3118 ktoe,Commercial and public services
24,24,5 ktoe,0 ktoe,625 ktoe,157 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1309 ktoe,0 ktoe,2095 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,199 ktoe,0 ktoe,177 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,0 ktoe,3274 ktoe,3654 ktoe,Non-specified
27,27,0 ktoe,81 ktoe,429 ktoe,990 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1500 ktoe,Non-energy use
