,Unnamed: 0,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category
0,0,0 ktoe,20548 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,87 ktoe,0 ktoe,0 ktoe,20635 ktoe,Production
1,1,0 ktoe,0 ktoe,2629 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2629 ktoe,Imports
2,2,0 ktoe,-15082 ktoe,-824 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-15906 ktoe,Exports
3,3,0 ktoe,0 ktoe,-127 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-127 ktoe,International marine bunkers
4,4,0 ktoe,0 ktoe,-109 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-109 ktoe,International aviation bunkers
5,5,0 ktoe,-933 ktoe,-4 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-937 ktoe,Stock changes
6,6,0 ktoe,4533 ktoe,1565 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,87 ktoe,0 ktoe,0 ktoe,6185 ktoe,TPES
7,7,0 ktoe,-670 ktoe,744 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,75 ktoe,Transfers
8,8,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Statistical differences
9,9,0 ktoe,0 ktoe,-1205 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,375 ktoe,0 ktoe,-830 ktoe,Electricity plants
10,10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants
11,11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants
12,12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works
13,13,0 ktoe,-3521 ktoe,3359 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-162 ktoe,Oil refineries
14,14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation
15,15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants
16,16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-45 ktoe,0 ktoe,0 ktoe,-45 ktoe,Other transformation
17,17,0 ktoe,-343 ktoe,-60 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-38 ktoe,0 ktoe,-441 ktoe,Energy industry own use
18,18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-84 ktoe,0 ktoe,-84 ktoe,Losses
19,19,0 ktoe,0 ktoe,4404 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,42 ktoe,253 ktoe,0 ktoe,4698 ktoe,Total final consumption
20,20,0 ktoe,0 ktoe,802 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,23 ktoe,0 ktoe,825 ktoe,Industry
21,21,0 ktoe,0 ktoe,1789 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1789 ktoe,Transport
22,22,0 ktoe,0 ktoe,763 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,180 ktoe,0 ktoe,942 ktoe,Residential
23,23,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,23 ktoe,0 ktoe,23 ktoe,Commercial and public services
24,24,0 ktoe,0 ktoe,713 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,713 ktoe,Agriculture / forestry
25,25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing
26,26,0 ktoe,0 ktoe,238 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,42 ktoe,28 ktoe,0 ktoe,307 ktoe,Non-specified
27,27,0 ktoe,0 ktoe,100 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,100 ktoe,Non-energy use
