,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,87385 ktoe,0 ktoe,70429 ktoe,0 ktoe,22 ktoe,0 ktoe,59 ktoe,0 ktoe,0 ktoe,157894 ktoe,Production,2004
1,785 ktoe,340 ktoe,349 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,18 ktoe,0 ktoe,1493 ktoe,Imports,2004
2,0 ktoe,-57883 ktoe,-18412 ktoe,-51378 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-17 ktoe,0 ktoe,-127690 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-325 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-325 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-382 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-382 ktoe,International aviation bunkers,2004
5,92 ktoe,0 ktoe,55 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,148 ktoe,Stock changes,2004
6,878 ktoe,29842 ktoe,-18714 ktoe,19050 ktoe,0 ktoe,22 ktoe,0 ktoe,59 ktoe,1 ktoe,0 ktoe,31137 ktoe,TPES,2004
7,0 ktoe,-10014 ktoe,10558 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,544 ktoe,Transfers,2004
8,0 ktoe,7 ktoe,-1 ktoe,137 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,143 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,-194 ktoe,-8191 ktoe,0 ktoe,-22 ktoe,0 ktoe,0 ktoe,2687 ktoe,0 ktoe,-5720 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
