,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,189189 ktoe,28534 ktoe,0 ktoe,29792 ktoe,0 ktoe,1385 ktoe,129 ktoe,5170 ktoe,0 ktoe,0 ktoe,254200 ktoe,Production,2004
1,10 ktoe,19307 ktoe,8995 ktoe,19 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,28330 ktoe,Imports,2004
2,-142302 ktoe,-14704 ktoe,-3861 ktoe,-9254 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-170121 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-909 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-909 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-2358 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2358 ktoe,International aviation bunkers,2004
5,3003 ktoe,784 ktoe,-247 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3540 ktoe,Stock changes,2004
6,49900 ktoe,33921 ktoe,1619 ktoe,20557 ktoe,0 ktoe,1385 ktoe,129 ktoe,5170 ktoe,0 ktoe,0 ktoe,112682 ktoe,TPES,2004
7,0 ktoe,467 ktoe,3932 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4398 ktoe,Transfers,2004
8,-22 ktoe,1230 ktoe,-658 ktoe,1064 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,11 ktoe,0 ktoe,1625 ktoe,Statistical differences,2004
9,-42675 ktoe,0 ktoe,-792 ktoe,-4174 ktoe,0 ktoe,-1385 ktoe,-67 ktoe,-426 ktoe,18471 ktoe,0 ktoe,-31048 ktoe,Electricity plants,2004
10,-1632 ktoe,0 ktoe,0 ktoe,-1049 ktoe,0 ktoe,0 ktoe,0 ktoe,-1469 ktoe,1152 ktoe,0 ktoe,-2998 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,110 ktoe,0 ktoe,-26 ktoe,-431 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-347 ktoe,Gas works,2004
13,0 ktoe,-35547 ktoe,35700 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,153 ktoe,Oil refineries,2004
14,-1294 ktoe,0 ktoe,0 ktoe,-58 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1353 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,-770 ktoe,-67 ktoe,-3336 ktoe,-3032 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2354 ktoe,0 ktoe,-9560 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1001 ktoe,0 ktoe,-1001 ktoe,Losses,2004
