,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,95 ktoe,0 ktoe,0 ktoe,0 ktoe,12328 ktoe,27 ktoe,18 ktoe,1279 ktoe,0 ktoe,0 ktoe,13746 ktoe,Production,2004
1,6822 ktoe,38133 ktoe,19544 ktoe,14559 ktoe,0 ktoe,0 ktoe,0 ktoe,206 ktoe,1253 ktoe,0 ktoe,80516 ktoe,Imports,2004
2,-863 ktoe,-3048 ktoe,-22326 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-584 ktoe,0 ktoe,-26821 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-7709 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-7709 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-1219 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1219 ktoe,International aviation bunkers,2004
5,-183 ktoe,4 ktoe,51 ktoe,11 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-117 ktoe,Stock changes,2004
6,5871 ktoe,35089 ktoe,-11660 ktoe,14570 ktoe,12328 ktoe,27 ktoe,18 ktoe,1484 ktoe,669 ktoe,0 ktoe,58396 ktoe,TPES,2004
7,0 ktoe,8375 ktoe,-8007 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,368 ktoe,Transfers,2004
8,-269 ktoe,54 ktoe,-114 ktoe,209 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-120 ktoe,Statistical differences,2004
9,-2224 ktoe,0 ktoe,-329 ktoe,-2850 ktoe,-12328 ktoe,-27 ktoe,-12 ktoe,-392 ktoe,6588 ktoe,0 ktoe,-11574 ktoe,Electricity plants,2004
10,-102 ktoe,0 ktoe,-54 ktoe,-1058 ktoe,0 ktoe,0 ktoe,0 ktoe,-352 ktoe,665 ktoe,556 ktoe,-345 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,-37 ktoe,0 ktoe,4 ktoe,-36 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-43518 ktoe,43423 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-95 ktoe,Oil refineries,2004
14,-1299 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1299 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,-221 ktoe,0 ktoe,-1595 ktoe,-59 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-642 ktoe,0 ktoe,-2518 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,-348 ktoe,-40 ktoe,-388 ktoe,Losses,2004
19,1756 ktoe,0 ktoe,21665 ktoe,10812 ktoe,0 ktoe,0 ktoe,3 ktoe,704 ktoe,6931 ktoe,520 ktoe,42390 ktoe,Total final consumption,2004
20,1428 ktoe,0 ktoe,982 ktoe,4406 ktoe,0 ktoe,0 ktoe,0 ktoe,510 ktoe,3471 ktoe,402 ktoe,11199 ktoe,Industry,2004
21,0 ktoe,0 ktoe,8789 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,130 ktoe,0 ktoe,8919 ktoe,Transport,2004
22,113 ktoe,0 ktoe,3661 ktoe,3765 ktoe,0 ktoe,0 ktoe,2 ktoe,188 ktoe,2282 ktoe,15 ktoe,10027 ktoe,Residential,2004
23,0 ktoe,0 ktoe,1277 ktoe,1768 ktoe,0 ktoe,0 ktoe,0 ktoe,5 ktoe,1026 ktoe,14 ktoe,4089 ktoe,Commercial and public services,2004
24,17 ktoe,0 ktoe,776 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,23 ktoe,0 ktoe,816 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,34 ktoe,0 ktoe,66 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,88 ktoe,187 ktoe,Non-specified,2004
27,165 ktoe,0 ktoe,6115 ktoe,873 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,7152 ktoe,Non-energy use,2004
0,57 ktoe,0 ktoe,0 ktoe,0 ktoe,12401 ktoe,25 ktoe,25 ktoe,1327 ktoe,0 ktoe,69 ktoe,13905 ktoe,Production,2005
1,6011 ktoe,35593 ktoe,22847 ktoe,14817 ktoe,0 ktoe,0 ktoe,0 ktoe,281 ktoe,1232 ktoe,0 ktoe,80781 ktoe,Imports,2005
2,-768 ktoe,-3235 ktoe,-22673 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-690 ktoe,0 ktoe,-27366 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-7630 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-7630 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-1159 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1159 ktoe,International aviation bunkers,2005
5,-127 ktoe,152 ktoe,-403 ktoe,-76 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-454 ktoe,Stock changes,2005
6,5174 ktoe,32510 ktoe,-9019 ktoe,14741 ktoe,12401 ktoe,25 ktoe,25 ktoe,1608 ktoe,542 ktoe,69 ktoe,58077 ktoe,TPES,2005
7,0 ktoe,5022 ktoe,-4797 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,224 ktoe,Transfers,2005
8,24 ktoe,-13 ktoe,133 ktoe,-212 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,-11 ktoe,0 ktoe,-78 ktoe,Statistical differences,2005
9,-2323 ktoe,0 ktoe,-379 ktoe,-2917 ktoe,-12401 ktoe,-25 ktoe,-20 ktoe,-513 ktoe,6721 ktoe,-69 ktoe,-11927 ktoe,Electricity plants,2005
10,-81 ktoe,0 ktoe,-32 ktoe,-1141 ktoe,0 ktoe,0 ktoe,0 ktoe,-308 ktoe,649 ktoe,458 ktoe,-455 ktoe,CHP plants,2005
11,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,-2 ktoe,-24 ktoe,0 ktoe,7 ktoe,-22 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,-37519 ktoe,37284 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-235 ktoe,Oil refineries,2005
14,-1045 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1045 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2005
17,-227 ktoe,0 ktoe,-1459 ktoe,-90 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-647 ktoe,0 ktoe,-2424 ktoe,Energy industry own use,2005
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,-357 ktoe,-36 ktoe,-394 ktoe,Losses,2005
19,1521 ktoe,0 ktoe,21730 ktoe,10377 ktoe,0 ktoe,0 ktoe,3 ktoe,764 ktoe,6896 ktoe,428 ktoe,41720 ktoe,Total final consumption,2005
20,1225 ktoe,0 ktoe,1060 ktoe,3931 ktoe,0 ktoe,0 ktoe,0 ktoe,565 ktoe,3390 ktoe,372 ktoe,10542 ktoe,Industry,2005
