,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,2655 ktoe,0 ktoe,8376 ktoe,0 ktoe,185 ktoe,0 ktoe,707 ktoe,0 ktoe,0 ktoe,11923 ktoe,Production,2004
1,0 ktoe,0 ktoe,244 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,244 ktoe,Imports,2004
2,0 ktoe,-249 ktoe,-375 ktoe,-6633 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-7258 ktoe,Exports,2004
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-44 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-44 ktoe,International aviation bunkers,2004
5,0 ktoe,-41 ktoe,-43 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-84 ktoe,Stock changes,2004
6,0 ktoe,2364 ktoe,-218 ktoe,1742 ktoe,0 ktoe,185 ktoe,0 ktoe,707 ktoe,0 ktoe,0 ktoe,4780 ktoe,TPES,2004
7,0 ktoe,-300 ktoe,328 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,27 ktoe,Transfers,2004
8,0 ktoe,-29 ktoe,-28 ktoe,-480 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,-537 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,-18 ktoe,-548 ktoe,0 ktoe,-185 ktoe,0 ktoe,-32 ktoe,389 ktoe,0 ktoe,-394 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-2035 ktoe,1970 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-65 ktoe,Oil refineries,2004
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,-3 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,-87 ktoe,-238 ktoe,0 ktoe,0 ktoe,0 ktoe,-23 ktoe,-7 ktoe,0 ktoe,-355 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,-87 ktoe,-5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-40 ktoe,0 ktoe,-132 ktoe,Losses,2004
19,0 ktoe,0 ktoe,1859 ktoe,472 ktoe,0 ktoe,0 ktoe,0 ktoe,650 ktoe,342 ktoe,0 ktoe,3323 ktoe,Total final consumption,2004
20,0 ktoe,0 ktoe,56 ktoe,361 ktoe,0 ktoe,0 ktoe,0 ktoe,439 ktoe,101 ktoe,0 ktoe,956 ktoe,Industry,2004
21,0 ktoe,0 ktoe,1059 ktoe,85 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1144 ktoe,Transport,2004
22,0 ktoe,0 ktoe,366 ktoe,14 ktoe,0 ktoe,0 ktoe,0 ktoe,211 ktoe,133 ktoe,0 ktoe,724 ktoe,Residential,2004
23,0 ktoe,0 ktoe,5 ktoe,13 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,78 ktoe,0 ktoe,95 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,250 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,30 ktoe,0 ktoe,280 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,61 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,61 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,62 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,62 ktoe,Non-energy use,2004
0,0 ktoe,2816 ktoe,0 ktoe,10259 ktoe,0 ktoe,169 ktoe,0 ktoe,717 ktoe,0 ktoe,0 ktoe,13962 ktoe,Production,2005
1,0 ktoe,0 ktoe,333 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,333 ktoe,Imports,2005
2,0 ktoe,-225 ktoe,-520 ktoe,-8289 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-9033 ktoe,Exports,2005
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-80 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-80 ktoe,International aviation bunkers,2005
5,0 ktoe,16 ktoe,-16 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Stock changes,2005
6,0 ktoe,2607 ktoe,-283 ktoe,1971 ktoe,0 ktoe,169 ktoe,0 ktoe,717 ktoe,0 ktoe,0 ktoe,5181 ktoe,TPES,2005
7,0 ktoe,-244 ktoe,267 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,22 ktoe,Transfers,2005
8,0 ktoe,-244 ktoe,25 ktoe,-525 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,0 ktoe,-748 ktoe,Statistical differences,2005
9,0 ktoe,0 ktoe,-20 ktoe,-664 ktoe,0 ktoe,-169 ktoe,0 ktoe,-32 ktoe,421 ktoe,0 ktoe,-464 ktoe,Electricity plants,2005
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2005
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,-2119 ktoe,2049 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-70 ktoe,Oil refineries,2005
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,-3 ktoe,Other transformation,2005
17,0 ktoe,0 ktoe,-104 ktoe,-245 ktoe,0 ktoe,0 ktoe,0 ktoe,-23 ktoe,-7 ktoe,0 ktoe,-379 ktoe,Energy industry own use,2005
18,0 ktoe,0 ktoe,-90 ktoe,-5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-43 ktoe,0 ktoe,-138 ktoe,Losses,2005
19,0 ktoe,0 ktoe,1845 ktoe,531 ktoe,0 ktoe,0 ktoe,0 ktoe,659 ktoe,368 ktoe,0 ktoe,3403 ktoe,Total final consumption,2005
20,0 ktoe,0 ktoe,59 ktoe,380 ktoe,0 ktoe,0 ktoe,0 ktoe,445 ktoe,107 ktoe,0 ktoe,991 ktoe,Industry,2005
21,0 ktoe,0 ktoe,1050 ktoe,119 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1169 ktoe,Transport,2005
22,0 ktoe,0 ktoe,380 ktoe,17 ktoe,0 ktoe,0 ktoe,0 ktoe,214 ktoe,142 ktoe,0 ktoe,752 ktoe,Residential,2005
23,0 ktoe,0 ktoe,5 ktoe,15 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,83 ktoe,0 ktoe,102 ktoe,Commercial and public services,2005
24,0 ktoe,0 ktoe,268 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,36 ktoe,0 ktoe,304 ktoe,Agriculture / forestry,2005
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2005
26,0 ktoe,0 ktoe,27 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,27 ktoe,Non-specified,2005
27,0 ktoe,0 ktoe,57 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,57 ktoe,Non-energy use,2005
0,0 ktoe,2748 ktoe,0 ktoe,11055 ktoe,0 ktoe,186 ktoe,0 ktoe,741 ktoe,0 ktoe,0 ktoe,14730 ktoe,Production,2006
1,0 ktoe,0 ktoe,383 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,383 ktoe,Imports,2006
2,0 ktoe,-211 ktoe,-481 ktoe,-7802 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-8494 ktoe,Exports,2006
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2006
4,0 ktoe,0 ktoe,-79 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-79 ktoe,International aviation bunkers,2006
5,0 ktoe,14 ktoe,-68 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-54 ktoe,Stock changes,2006
6,0 ktoe,2551 ktoe,-246 ktoe,3254 ktoe,0 ktoe,186 ktoe,0 ktoe,741 ktoe,0 ktoe,0 ktoe,6486 ktoe,TPES,2006
7,0 ktoe,-275 ktoe,301 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,25 ktoe,Transfers,2006
8,0 ktoe,-26 ktoe,78 ktoe,-1706 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-8 ktoe,0 ktoe,-1662 ktoe,Statistical differences,2006
9,0 ktoe,0 ktoe,-27 ktoe,-705 ktoe,0 ktoe,-186 ktoe,0 ktoe,-34 ktoe,456 ktoe,0 ktoe,-496 ktoe,Electricity plants,2006
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2006
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2006
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2006
13,0 ktoe,-2198 ktoe,2123 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-75 ktoe,Oil refineries,2006
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2006
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2006
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,-3 ktoe,Other transformation,2006
17,0 ktoe,0 ktoe,-105 ktoe,-232 ktoe,0 ktoe,0 ktoe,0 ktoe,-23 ktoe,-7 ktoe,0 ktoe,-368 ktoe,Energy industry own use,2006
18,0 ktoe,-52 ktoe,-90 ktoe,-6 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-46 ktoe,0 ktoe,-194 ktoe,Losses,2006
19,0 ktoe,0 ktoe,2034 ktoe,605 ktoe,0 ktoe,0 ktoe,0 ktoe,681 ktoe,394 ktoe,0 ktoe,3714 ktoe,Total final consumption,2006
20,0 ktoe,0 ktoe,63 ktoe,410 ktoe,0 ktoe,0 ktoe,0 ktoe,460 ktoe,118 ktoe,0 ktoe,1051 ktoe,Industry,2006
21,0 ktoe,0 ktoe,1151 ktoe,159 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1310 ktoe,Transport,2006
22,0 ktoe,0 ktoe,392 ktoe,19 ktoe,0 ktoe,0 ktoe,0 ktoe,221 ktoe,150 ktoe,0 ktoe,782 ktoe,Residential,2006
23,0 ktoe,0 ktoe,6 ktoe,17 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,88 ktoe,0 ktoe,110 ktoe,Commercial and public services,2006
24,0 ktoe,0 ktoe,294 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,38 ktoe,0 ktoe,332 ktoe,Agriculture / forestry,2006
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2006
26,0 ktoe,0 ktoe,63 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,63 ktoe,Non-specified,2006
27,0 ktoe,0 ktoe,65 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,65 ktoe,Non-energy use,2006
0,0 ktoe,2767 ktoe,0 ktoe,11760 ktoe,0 ktoe,199 ktoe,0 ktoe,766 ktoe,0 ktoe,0 ktoe,15492 ktoe,Production,2007
1,0 ktoe,0 ktoe,453 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,453 ktoe,Imports,2007
2,0 ktoe,-144 ktoe,-483 ktoe,-9952 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-10579 ktoe,Exports,2007
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2007
4,0 ktoe,0 ktoe,-68 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-68 ktoe,International aviation bunkers,2007
5,0 ktoe,-5 ktoe,-6 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-11 ktoe,Stock changes,2007
6,0 ktoe,2617 ktoe,-104 ktoe,1807 ktoe,0 ktoe,199 ktoe,0 ktoe,766 ktoe,0 ktoe,0 ktoe,5287 ktoe,TPES,2007
7,0 ktoe,-270 ktoe,295 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,25 ktoe,Transfers,2007
8,0 ktoe,-36 ktoe,29 ktoe,-81 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-9 ktoe,0 ktoe,-97 ktoe,Statistical differences,2007
9,0 ktoe,0 ktoe,-31 ktoe,-779 ktoe,0 ktoe,-199 ktoe,0 ktoe,-41 ktoe,493 ktoe,0 ktoe,-558 ktoe,Electricity plants,2007
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2007
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2007
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2007
13,0 ktoe,-2305 ktoe,2233 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-72 ktoe,Oil refineries,2007
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2007
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2007
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,0 ktoe,-3 ktoe,Other transformation,2007
17,0 ktoe,0 ktoe,-133 ktoe,-237 ktoe,0 ktoe,0 ktoe,0 ktoe,-29 ktoe,-8 ktoe,0 ktoe,-406 ktoe,Energy industry own use,2007
18,0 ktoe,-6 ktoe,-95 ktoe,-7 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-50 ktoe,0 ktoe,-159 ktoe,Losses,2007
19,0 ktoe,0 ktoe,2193 ktoe,703 ktoe,0 ktoe,0 ktoe,0 ktoe,694 ktoe,426 ktoe,0 ktoe,4016 ktoe,Total final consumption,2007
20,0 ktoe,0 ktoe,67 ktoe,450 ktoe,0 ktoe,0 ktoe,0 ktoe,469 ktoe,125 ktoe,0 ktoe,1110 ktoe,Industry,2007
21,0 ktoe,0 ktoe,1276 ktoe,213 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1489 ktoe,Transport,2007
22,0 ktoe,0 ktoe,403 ktoe,22 ktoe,0 ktoe,0 ktoe,0 ktoe,225 ktoe,158 ktoe,0 ktoe,807 ktoe,Residential,2007
23,0 ktoe,0 ktoe,6 ktoe,18 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,92 ktoe,0 ktoe,116 ktoe,Commercial and public services,2007
24,0 ktoe,0 ktoe,315 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,52 ktoe,0 ktoe,367 ktoe,Agriculture / forestry,2007
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2007
26,0 ktoe,0 ktoe,46 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,46 ktoe,Non-specified,2007
27,0 ktoe,0 ktoe,80 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,80 ktoe,Non-energy use,2007
0,0 ktoe,2642 ktoe,0 ktoe,12218 ktoe,0 ktoe,199 ktoe,0 ktoe,797 ktoe,0 ktoe,0 ktoe,15856 ktoe,Production,2008
1,0 ktoe,0 ktoe,410 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,410 ktoe,Imports,2008
2,0 ktoe,0 ktoe,-504 ktoe,-10135 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-10639 ktoe,Exports,2008
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2008
4,0 ktoe,0 ktoe,-68 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-68 ktoe,International aviation bunkers,2008
5,0 ktoe,23 ktoe,44 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,67 ktoe,Stock changes,2008
6,0 ktoe,2665 ktoe,-119 ktoe,2083 ktoe,0 ktoe,199 ktoe,0 ktoe,797 ktoe,0 ktoe,0 ktoe,5625 ktoe,TPES,2008
7,0 ktoe,-263 ktoe,287 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,24 ktoe,Transfers,2008
8,0 ktoe,23 ktoe,89 ktoe,-149 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,37 ktoe,0 ktoe,0 ktoe,Statistical differences,2008
