,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,4538 ktoe,29 ktoe,0 ktoe,267 ktoe,4395 ktoe,272 ktoe,0 ktoe,768 ktoe,0 ktoe,0 ktoe,10270 ktoe,Production,2004
1,2958 ktoe,5827 ktoe,946 ktoe,2389 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,64 ktoe,0 ktoe,12184 ktoe,Imports,2004
2,-33 ktoe,0 ktoe,-2321 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-19 ktoe,-569 ktoe,0 ktoe,-2943 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-117 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-117 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-153 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-153 ktoe,International aviation bunkers,2004
5,-277 ktoe,-34 ktoe,77 ktoe,-163 ktoe,0 ktoe,0 ktoe,0 ktoe,-10 ktoe,0 ktoe,0 ktoe,-406 ktoe,Stock changes,2004
6,7186 ktoe,5823 ktoe,-1568 ktoe,2493 ktoe,4395 ktoe,272 ktoe,0 ktoe,738 ktoe,-506 ktoe,0 ktoe,18835 ktoe,TPES,2004
7,0 ktoe,-59 ktoe,71 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,12 ktoe,Transfers,2004
8,-78 ktoe,-35 ktoe,32 ktoe,5 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,-4 ktoe,0 ktoe,-79 ktoe,Statistical differences,2004
9,-4230 ktoe,0 ktoe,-48 ktoe,-11 ktoe,-4381 ktoe,-272 ktoe,0 ktoe,0 ktoe,3070 ktoe,0 ktoe,-5873 ktoe,Electricity plants,2004
10,-1481 ktoe,0 ktoe,-148 ktoe,-647 ktoe,-14 ktoe,0 ktoe,0 ktoe,-3 ktoe,492 ktoe,953 ktoe,-847 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,-36 ktoe,-238 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,259 ktoe,-16 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-5958 ktoe,5883 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-75 ktoe,Oil refineries,2004
14,-316 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-316 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,233 ktoe,-223 ktoe,-22 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-12 ktoe,Other transformation,2004
17,-191 ktoe,0 ktoe,-179 ktoe,-76 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-473 ktoe,-196 ktoe,-1115 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,-80 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-438 ktoe,-150 ktoe,-667 ktoe,Losses,2004
19,890 ktoe,4 ktoe,3784 ktoe,1423 ktoe,0 ktoe,0 ktoe,0 ktoe,737 ktoe,2142 ktoe,866 ktoe,9846 ktoe,Total final consumption,2004
20,624 ktoe,4 ktoe,814 ktoe,959 ktoe,0 ktoe,0 ktoe,0 ktoe,111 ktoe,835 ktoe,318 ktoe,3665 ktoe,Industry,2004
21,0 ktoe,0 ktoe,2183 ktoe,140 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,43 ktoe,0 ktoe,2366 ktoe,Transport,2004
22,258 ktoe,0 ktoe,25 ktoe,6 ktoe,0 ktoe,0 ktoe,0 ktoe,614 ktoe,754 ktoe,424 ktoe,2082 ktoe,Residential,2004
23,5 ktoe,0 ktoe,37 ktoe,31 ktoe,0 ktoe,0 ktoe,0 ktoe,9 ktoe,496 ktoe,124 ktoe,702 ktoe,Commercial and public services,2004
24,3 ktoe,0 ktoe,233 ktoe,21 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,13 ktoe,0 ktoe,274 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,492 ktoe,265 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,757 ktoe,Non-energy use,2004
0,4178 ktoe,29 ktoe,0 ktoe,384 ktoe,4875 ktoe,373 ktoe,33 ktoe,776 ktoe,0 ktoe,0 ktoe,10648 ktoe,Production,2005
1,2564 ktoe,6466 ktoe,1364 ktoe,2458 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,69 ktoe,0 ktoe,12921 ktoe,Imports,2005
2,-14 ktoe,0 ktoe,-2602 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-26 ktoe,-721 ktoe,0 ktoe,-3363 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-112 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-112 ktoe,International marine bunkers,2005
