,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,126 ktoe,390 ktoe,0 ktoe,1374 ktoe,0 ktoe,1890 ktoe,1 ktoe,4774 ktoe,0 ktoe,0 ktoe,8554 ktoe,Production,2004
1,2608 ktoe,10733 ktoe,2980 ktoe,5718 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,164 ktoe,0 ktoe,22202 ktoe,Imports,2004
2,-26 ktoe,0 ktoe,-1459 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1485 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-930 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-930 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-390 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-390 ktoe,International aviation bunkers,2004
5,-4 ktoe,304 ktoe,-658 ktoe,-79 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-437 ktoe,Stock changes,2004
6,2704 ktoe,11427 ktoe,-457 ktoe,7013 ktoe,0 ktoe,1890 ktoe,1 ktoe,4774 ktoe,164 ktoe,0 ktoe,27514 ktoe,TPES,2004
7,0 ktoe,-211 ktoe,208 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,Transfers,2004
8,15 ktoe,-1 ktoe,-5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,8 ktoe,Statistical differences,2004
9,-1690 ktoe,0 ktoe,-803 ktoe,-2900 ktoe,0 ktoe,-1890 ktoe,-1 ktoe,0 ktoe,4228 ktoe,0 ktoe,-3055 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-413 ktoe,175 ktoe,0 ktoe,-238 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,25 ktoe,0 ktoe,-2 ktoe,-44 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-21 ktoe,Gas works,2004
13,0 ktoe,-11214 ktoe,11142 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-71 ktoe,Oil refineries,2004
14,-248 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-248 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-278 ktoe,0 ktoe,0 ktoe,-278 ktoe,Other transformation,2004
17,-131 ktoe,0 ktoe,-793 ktoe,-464 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-174 ktoe,0 ktoe,-1561 ktoe,Energy industry own use,2004
