,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,35219 ktoe,27607 ktoe,0 ktoe,5833 ktoe,0 ktoe,3446 ktoe,4 ktoe,3209 ktoe,0 ktoe,0 ktoe,75319 ktoe,Production,2004
1,2 ktoe,182 ktoe,134 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,0 ktoe,322 ktoe,Imports,2004
2,-33208 ktoe,-11372 ktoe,-4255 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-145 ktoe,0 ktoe,-48981 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-397 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-397 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-600 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-600 ktoe,International aviation bunkers,2004
5,227 ktoe,0 ktoe,110 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,337 ktoe,Stock changes,2004
6,2240 ktoe,16416 ktoe,-5008 ktoe,5833 ktoe,0 ktoe,3446 ktoe,4 ktoe,3209 ktoe,-140 ktoe,0 ktoe,26000 ktoe,TPES,2004
7,0 ktoe,-69 ktoe,69 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2004
8,289 ktoe,67 ktoe,-138 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-13 ktoe,99 ktoe,0 ktoe,305 ktoe,Statistical differences,2004
9,-523 ktoe,-13 ktoe,-19 ktoe,-1478 ktoe,0 ktoe,-3446 ktoe,-4 ktoe,-128 ktoe,4275 ktoe,0 ktoe,-1336 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-16143 ktoe,16293 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,149 ktoe,Oil refineries,2004
14,-161 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-161 ktoe,Coal transformation,2004
