,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,1099 ktoe,0 ktoe,1796 ktoe,0 ktoe,656 ktoe,2 ktoe,1193 ktoe,0 ktoe,0 ktoe,4746 ktoe,Production,2004
1,754 ktoe,4527 ktoe,1024 ktoe,861 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,456 ktoe,0 ktoe,7621 ktoe,Imports,2004
2,0 ktoe,0 ktoe,-2099 ktoe,-284 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-198 ktoe,0 ktoe,-2581 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-23 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-23 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-69 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-69 ktoe,International aviation bunkers,2004
5,-64 ktoe,1 ktoe,-113 ktoe,86 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-91 ktoe,Stock changes,2004
6,690 ktoe,5627 ktoe,-1280 ktoe,2458 ktoe,0 ktoe,656 ktoe,2 ktoe,1193 ktoe,258 ktoe,0 ktoe,9604 ktoe,TPES,2004
7,0 ktoe,-198 ktoe,199 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,Transfers,2004
8,0 ktoe,0 ktoe,7 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,Statistical differences,2004
9,-494 ktoe,0 ktoe,-243 ktoe,-107 ktoe,0 ktoe,-656 ktoe,0 ktoe,0 ktoe,967 ktoe,0 ktoe,-533 ktoe,Electricity plants,2004
10,-4 ktoe,0 ktoe,-158 ktoe,-545 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,228 ktoe,228 ktoe,-251 ktoe,CHP plants,2004
11,-1 ktoe,0 ktoe,-44 ktoe,-53 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,78 ktoe,-19 ktoe,Heat plants,2004
12,10 ktoe,0 ktoe,-12 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2 ktoe,Gas works,2004
13,0 ktoe,-5429 ktoe,5415 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-14 ktoe,Oil refineries,2004
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,-602 ktoe,-128 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-83 ktoe,-21 ktoe,-833 ktoe,Energy industry own use,2004
18,-1 ktoe,0 ktoe,0 ktoe,-61 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-191 ktoe,-37 ktoe,-290 ktoe,Losses,2004
19,200 ktoe,0 ktoe,3281 ktoe,1565 ktoe,0 ktoe,0 ktoe,2 ktoe,1192 ktoe,1178 ktoe,249 ktoe,7668 ktoe,Total final consumption,2004
20,183 ktoe,0 ktoe,429 ktoe,532 ktoe,0 ktoe,0 ktoe,0 ktoe,68 ktoe,283 ktoe,51 ktoe,1547 ktoe,Industry,2004
21,0 ktoe,0 ktoe,1743 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,21 ktoe,0 ktoe,1764 ktoe,Transport,2004
22,12 ktoe,0 ktoe,366 ktoe,514 ktoe,0 ktoe,0 ktoe,1 ktoe,1124 ktoe,522 ktoe,157 ktoe,2697 ktoe,Residential,2004
23,4 ktoe,0 ktoe,161 ktoe,113 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,347 ktoe,41 ktoe,666 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,184 ktoe,16 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,0 ktoe,206 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,31 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,31 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,367 ktoe,390 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,757 ktoe,Non-energy use,2004
0,0 ktoe,1034 ktoe,0 ktoe,1865 ktoe,0 ktoe,605 ktoe,3 ktoe,1252 ktoe,0 ktoe,0 ktoe,4759 ktoe,Production,2005
1,624 ktoe,4361 ktoe,1184 ktoe,926 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,752 ktoe,0 ktoe,7847 ktoe,Imports,2005
2,0 ktoe,0 ktoe,-1921 ktoe,-365 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-373 ktoe,0 ktoe,-2658 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-24 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-24 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-84 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-84 ktoe,International aviation bunkers,2005
5,59 ktoe,42 ktoe,-135 ktoe,-57 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-91 ktoe,Stock changes,2005
6,684 ktoe,5436 ktoe,-981 ktoe,2370 ktoe,0 ktoe,605 ktoe,3 ktoe,1252 ktoe,379 ktoe,0 ktoe,9748 ktoe,TPES,2005
7,0 ktoe,-194 ktoe,195 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,Transfers,2005
8,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Statistical differences,2005
9,-532 ktoe,0 ktoe,-274 ktoe,-30 ktoe,0 ktoe,-605 ktoe,-1 ktoe,-3 ktoe,918 ktoe,0 ktoe,-528 ktoe,Electricity plants,2005
10,-5 ktoe,0 ktoe,-202 ktoe,-461 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,205 ktoe,235 ktoe,-229 ktoe,CHP plants,2005
11,-1 ktoe,0 ktoe,-44 ktoe,-58 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,83 ktoe,-20 ktoe,Heat plants,2005
12,12 ktoe,0 ktoe,-13 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,Gas works,2005
13,0 ktoe,-5243 ktoe,5222 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-21 ktoe,Oil refineries,2005
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2005
17,0 ktoe,0 ktoe,-569 ktoe,-155 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-79 ktoe,-21 ktoe,-824 ktoe,Energy industry own use,2005
18,-1 ktoe,0 ktoe,0 ktoe,-50 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-183 ktoe,-40 ktoe,-274 ktoe,Losses,2005
19,157 ktoe,0 ktoe,3333 ktoe,1616 ktoe,0 ktoe,0 ktoe,2 ktoe,1247 ktoe,1240 ktoe,257 ktoe,7853 ktoe,Total final consumption,2005
20,138 ktoe,0 ktoe,503 ktoe,528 ktoe,0 ktoe,0 ktoe,0 ktoe,57 ktoe,287 ktoe,54 ktoe,1567 ktoe,Industry,2005
21,0 ktoe,0 ktoe,1802 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,22 ktoe,0 ktoe,1824 ktoe,Transport,2005
22,16 ktoe,0 ktoe,340 ktoe,556 ktoe,0 ktoe,0 ktoe,2 ktoe,1190 ktoe,545 ktoe,164 ktoe,2813 ktoe,Residential,2005
23,3 ktoe,0 ktoe,148 ktoe,122 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,379 ktoe,40 ktoe,692 ktoe,Commercial and public services,2005
24,0 ktoe,0 ktoe,186 ktoe,19 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,0 ktoe,211 ktoe,Agriculture / forestry,2005
25,0 ktoe,0 ktoe,31 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,31 ktoe,Fishing,2005
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified,2005
27,0 ktoe,0 ktoe,325 ktoe,391 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,715 ktoe,Non-energy use,2005
0,0 ktoe,1002 ktoe,0 ktoe,2217 ktoe,0 ktoe,569 ktoe,4 ktoe,1209 ktoe,0 ktoe,0 ktoe,5001 ktoe,Production,2006
1,692 ktoe,4012 ktoe,1443 ktoe,920 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,715 ktoe,0 ktoe,7783 ktoe,Imports,2006
2,0 ktoe,0 ktoe,-1895 ktoe,-732 ktoe,0 ktoe,0 ktoe,0 ktoe,-46 ktoe,-284 ktoe,0 ktoe,-2957 ktoe,Exports,2006
3,0 ktoe,0 ktoe,-20 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-20 ktoe,International marine bunkers,2006
4,0 ktoe,0 ktoe,-86 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-86 ktoe,International aviation bunkers,2006
5,-57 ktoe,93 ktoe,-9 ktoe,-54 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-27 ktoe,Stock changes,2006
6,635 ktoe,5107 ktoe,-566 ktoe,2351 ktoe,0 ktoe,569 ktoe,4 ktoe,1164 ktoe,430 ktoe,0 ktoe,9694 ktoe,TPES,2006
7,0 ktoe,-185 ktoe,186 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,Transfers,2006
8,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Statistical differences,2006
9,-496 ktoe,0 ktoe,-298 ktoe,-96 ktoe,0 ktoe,-569 ktoe,-2 ktoe,-2 ktoe,909 ktoe,0 ktoe,-554 ktoe,Electricity plants,2006
10,-5 ktoe,0 ktoe,-188 ktoe,-439 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,202 ktoe,212 ktoe,-219 ktoe,CHP plants,2006
11,-1 ktoe,0 ktoe,-38 ktoe,-51 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,71 ktoe,-18 ktoe,Heat plants,2006
12,13 ktoe,0 ktoe,-13 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2006
13,0 ktoe,-4923 ktoe,4887 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-36 ktoe,Oil refineries,2006
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2006
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2006
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2006
17,0 ktoe,0 ktoe,-522 ktoe,-140 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-81 ktoe,-18 ktoe,-762 ktoe,Energy industry own use,2006
