,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,3382 ktoe,0 ktoe,559 ktoe,0 ktoe,8 ktoe,0 ktoe,2763 ktoe,0 ktoe,0 ktoe,6712 ktoe,Production,2004
1,23 ktoe,1999 ktoe,2749 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4771 ktoe,Imports,2004
2,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-19 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-19 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-187 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-187 ktoe,International aviation bunkers,2004
5,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Stock changes,2004
6,23 ktoe,5382 ktoe,2544 ktoe,559 ktoe,0 ktoe,8 ktoe,0 ktoe,2763 ktoe,0 ktoe,0 ktoe,11278 ktoe,TPES,2004
7,0 ktoe,-76 ktoe,84 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,8 ktoe,Transfers,2004
8,0 ktoe,0 ktoe,-207 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5 ktoe,0 ktoe,0 ktoe,-212 ktoe,Statistical differences,2004
9,0 ktoe,-2850 ktoe,-1005 ktoe,-402 ktoe,0 ktoe,-8 ktoe,0 ktoe,-411 ktoe,1344 ktoe,0 ktoe,-3332 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,-26 ktoe,23 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,Gas works,2004
13,0 ktoe,-2231 ktoe,2154 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-77 ktoe,Oil refineries,2004
14,-5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-5 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-66 ktoe,0 ktoe,0 ktoe,-66 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,-110 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-82 ktoe,0 ktoe,-192 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-207 ktoe,0 ktoe,-207 ktoe,Losses,2004
19,18 ktoe,225 ktoe,3435 ktoe,180 ktoe,0 ktoe,0 ktoe,0 ktoe,2281 ktoe,1055 ktoe,0 ktoe,7193 ktoe,Total final consumption,2004
20,18 ktoe,225 ktoe,1226 ktoe,111 ktoe,0 ktoe,0 ktoe,0 ktoe,1347 ktoe,275 ktoe,0 ktoe,3202 ktoe,Industry,2004
21,0 ktoe,0 ktoe,660 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,8 ktoe,0 ktoe,668 ktoe,Transport,2004
22,0 ktoe,0 ktoe,538 ktoe,49 ktoe,0 ktoe,0 ktoe,0 ktoe,768 ktoe,431 ktoe,0 ktoe,1785 ktoe,Residential,2004
23,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,27 ktoe,318 ktoe,0 ktoe,344 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,156 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,35 ktoe,23 ktoe,0 ktoe,214 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,589 ktoe,20 ktoe,0 ktoe,0 ktoe,0 ktoe,105 ktoe,0 ktoe,0 ktoe,715 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,266 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,266 ktoe,Non-energy use,2004
0,0 ktoe,3061 ktoe,0 ktoe,590 ktoe,0 ktoe,6 ktoe,0 ktoe,2019 ktoe,0 ktoe,0 ktoe,5676 ktoe,Production,2005
1,19 ktoe,2238 ktoe,2936 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,5194 ktoe,Imports,2005
2,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-21 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-21 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-179 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-179 ktoe,International aviation bunkers,2005
5,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Stock changes,2005
6,19 ktoe,5299 ktoe,2736 ktoe,590 ktoe,0 ktoe,6 ktoe,0 ktoe,2019 ktoe,0 ktoe,0 ktoe,10670 ktoe,TPES,2005
7,0 ktoe,-78 ktoe,86 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,9 ktoe,Transfers,2005
