,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,20258 ktoe,0 ktoe,0 ktoe,0 ktoe,545 ktoe,2 ktoe,828 ktoe,0 ktoe,0 ktoe,21634 ktoe,Production,2004
1,0 ktoe,0 ktoe,742 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,742 ktoe,Imports,2004
2,0 ktoe,-12054 ktoe,-1985 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-14039 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-407 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-407 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-214 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-214 ktoe,International aviation bunkers,2004
5,0 ktoe,703 ktoe,-129 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,574 ktoe,Stock changes,2004
6,0 ktoe,8907 ktoe,-1993 ktoe,0 ktoe,0 ktoe,545 ktoe,2 ktoe,828 ktoe,0 ktoe,0 ktoe,8290 ktoe,TPES,2004
7,0 ktoe,-176 ktoe,193 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,16 ktoe,Transfers,2004
8,0 ktoe,-658 ktoe,1222 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,0 ktoe,568 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,-831 ktoe,0 ktoe,0 ktoe,-545 ktoe,0 ktoe,0 ktoe,803 ktoe,0 ktoe,-573 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-7990 ktoe,7469 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-521 ktoe,Oil refineries,2004
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,0 ktoe,-83 ktoe,-412 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-12 ktoe,0 ktoe,-507 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-187 ktoe,0 ktoe,-187 ktoe,Losses,2004
19,0 ktoe,0 ktoe,5649 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,828 ktoe,607 ktoe,0 ktoe,7086 ktoe,Total final consumption,2004
20,0 ktoe,0 ktoe,958 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,327 ktoe,161 ktoe,0 ktoe,1447 ktoe,Industry,2004
21,0 ktoe,0 ktoe,3317 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3317 ktoe,Transport,2004
22,0 ktoe,0 ktoe,670 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,501 ktoe,249 ktoe,0 ktoe,1420 ktoe,Residential,2004
23,0 ktoe,0 ktoe,9 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,136 ktoe,0 ktoe,147 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,37 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,37 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,9 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,61 ktoe,0 ktoe,70 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,646 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,646 ktoe,Non-energy use,2004
0,0 ktoe,20258 ktoe,0 ktoe,0 ktoe,0 ktoe,545 ktoe,2 ktoe,828 ktoe,0 ktoe,0 ktoe,21634 ktoe,Production,2005
1,0 ktoe,0 ktoe,742 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,742 ktoe,Imports,2005
2,0 ktoe,-12054 ktoe,-1985 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-14039 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-407 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-407 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-214 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-214 ktoe,International aviation bunkers,2005
5,0 ktoe,703 ktoe,-129 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,574 ktoe,Stock changes,2005
6,0 ktoe,8907 ktoe,-1993 ktoe,0 ktoe,0 ktoe,545 ktoe,2 ktoe,828 ktoe,0 ktoe,0 ktoe,8290 ktoe,TPES,2005
7,0 ktoe,-176 ktoe,193 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,16 ktoe,Transfers,2005
8,0 ktoe,-658 ktoe,1222 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,0 ktoe,568 ktoe,Statistical differences,2005
9,0 ktoe,0 ktoe,-831 ktoe,0 ktoe,0 ktoe,-545 ktoe,0 ktoe,0 ktoe,803 ktoe,0 ktoe,-573 ktoe,Electricity plants,2005
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,CHP plants,2005
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,-7990 ktoe,7469 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-521 ktoe,Oil refineries,2005
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2005
17,0 ktoe,-83 ktoe,-412 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-12 ktoe,0 ktoe,-507 ktoe,Energy industry own use,2005
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-187 ktoe,0 ktoe,-187 ktoe,Losses,2005
19,0 ktoe,0 ktoe,5649 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,828 ktoe,607 ktoe,0 ktoe,7086 ktoe,Total final consumption,2005
20,0 ktoe,0 ktoe,958 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,327 ktoe,161 ktoe,0 ktoe,1447 ktoe,Industry,2005
21,0 ktoe,0 ktoe,3317 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3317 ktoe,Transport,2005
22,0 ktoe,0 ktoe,670 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,501 ktoe,249 ktoe,0 ktoe,1420 ktoe,Residential,2005
23,0 ktoe,0 ktoe,9 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,136 ktoe,0 ktoe,147 ktoe,Commercial and public services,2005
24,0 ktoe,0 ktoe,37 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,37 ktoe,Agriculture / forestry,2005
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2005
26,0 ktoe,0 ktoe,9 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,61 ktoe,0 ktoe,70 ktoe,Non-specified,2005
27,0 ktoe,0 ktoe,646 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,646 ktoe,Non-energy use,2005
0,0 ktoe,26487 ktoe,0 ktoe,334 ktoe,0 ktoe,613 ktoe,2 ktoe,662 ktoe,0 ktoe,0 ktoe,28099 ktoe,Production,2006
1,0 ktoe,0 ktoe,3564 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,135 ktoe,0 ktoe,3699 ktoe,Imports,2006
