,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,3352 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,615 ktoe,0 ktoe,0 ktoe,3967 ktoe,Production,2004
1,221 ktoe,0 ktoe,1231 ktoe,642 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,21 ktoe,0 ktoe,2115 ktoe,Imports,2004
2,-49 ktoe,-172 ktoe,-10 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-9 ktoe,-95 ktoe,0 ktoe,-334 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-91 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-91 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-15 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-15 ktoe,International aviation bunkers,2004
5,102 ktoe,0 ktoe,-21 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,0 ktoe,0 ktoe,82 ktoe,Stock changes,2004
6,3626 ktoe,-172 ktoe,1094 ktoe,642 ktoe,0 ktoe,0 ktoe,0 ktoe,607 ktoe,-74 ktoe,0 ktoe,5724 ktoe,TPES,2004
7,0 ktoe,-155 ktoe,160 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,4 ktoe,Transfers,2004
8,-299 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,9 ktoe,-290 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Electricity plants,2004
10,-2414 ktoe,0 ktoe,-72 ktoe,-82 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,782 ktoe,301 ktoe,-1485 ktoe,CHP plants,2004
11,-43 ktoe,0 ktoe,-225 ktoe,-253 ktoe,0 ktoe,0 ktoe,0 ktoe,-63 ktoe,0 ktoe,482 ktoe,-102 ktoe,Heat plants,2004
12,-42 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-42 ktoe,Gas works,2004
13,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Oil refineries,2004
14,-43 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-43 ktoe,Coal transformation,2004
15,-458 ktoe,328 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-130 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,-10 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-135 ktoe,0 ktoe,-145 ktoe,Energy industry own use,2004
18,-22 ktoe,0 ktoe,-3 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-154 ktoe,-166 ktoe,-346 ktoe,Losses,2004
19,306 ktoe,0 ktoe,944 ktoe,306 ktoe,0 ktoe,0 ktoe,0 ktoe,543 ktoe,420 ktoe,625 ktoe,3145 ktoe,Total final consumption,2004
