,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,2216 ktoe,0 ktoe,0 ktoe,0 ktoe,5075 ktoe,1020 ktoe,1 ktoe,5302 ktoe,0 ktoe,0 ktoe,13613 ktoe,Production,2004
1,4552 ktoe,9976 ktoe,4530 ktoe,2967 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,461 ktoe,0 ktoe,22486 ktoe,Imports,2004
2,-12 ktoe,0 ktoe,-4924 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-147 ktoe,0 ktoe,-5083 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-372 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-372 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-312 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-312 ktoe,International aviation bunkers,2004
5,536 ktoe,294 ktoe,-53 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,776 ktoe,Stock changes,2004
6,7291 ktoe,10269 ktoe,-1132 ktoe,2967 ktoe,5075 ktoe,1020 ktoe,1 ktoe,5302 ktoe,315 ktoe,0 ktoe,31108 ktoe,TPES,2004
7,0 ktoe,2045 ktoe,-1955 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,91 ktoe,Transfers,2004
8,-122 ktoe,172 ktoe,-157 ktoe,-1 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-108 ktoe,Statistical differences,2004
9,-2841 ktoe,0 ktoe,-84 ktoe,-353 ktoe,-5075 ktoe,-1020 ktoe,-1 ktoe,-26 ktoe,3949 ktoe,0 ktoe,-5450 ktoe,Electricity plants,2004
10,-2570 ktoe,0 ktoe,-178 ktoe,-1244 ktoe,0 ktoe,0 ktoe,0 ktoe,-1083 ktoe,2016 ktoe,2289 ktoe,-770 ktoe,CHP plants,2004
11,-162 ktoe,0 ktoe,-284 ktoe,-129 ktoe,0 ktoe,0 ktoe,0 ktoe,-127 ktoe,-5 ktoe,687 ktoe,-20 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-12652 ktoe,12859 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,207 ktoe,Oil refineries,2004
14,-463 ktoe,0 ktoe,-170 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-633 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,165 ktoe,-150 ktoe,-27 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-12 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,-627 ktoe,-205 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-323 ktoe,0 ktoe,-1155 ktoe,Energy industry own use,2004
18,-29 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-233 ktoe,-225 ktoe,-488 ktoe,Losses,2004
19,1105 ktoe,0 ktoe,8123 ktoe,1008 ktoe,0 ktoe,0 ktoe,0 ktoe,4066 ktoe,5718 ktoe,2750 ktoe,22771 ktoe,Total final consumption,2004
20,1079 ktoe,0 ktoe,1001 ktoe,926 ktoe,0 ktoe,0 ktoe,0 ktoe,2946 ktoe,3108 ktoe,625 ktoe,9685 ktoe,Industry,2004
21,0 ktoe,0 ktoe,3690 ktoe,14 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,40 ktoe,0 ktoe,3744 ktoe,Transport,2004
22,12 ktoe,0 ktoe,1491 ktoe,18 ktoe,0 ktoe,0 ktoe,0 ktoe,1025 ktoe,1482 ktoe,1327 ktoe,5355 ktoe,Residential,2004
23,2 ktoe,0 ktoe,370 ktoe,26 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1018 ktoe,0 ktoe,1416 ktoe,Commercial and public services,2004
24,12 ktoe,0 ktoe,530 ktoe,17 ktoe,0 ktoe,0 ktoe,0 ktoe,95 ktoe,70 ktoe,0 ktoe,724 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,799 ktoe,799 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,1042 ktoe,7 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1049 ktoe,Non-energy use,2004
0,2138 ktoe,150 ktoe,0 ktoe,0 ktoe,6063 ktoe,1185 ktoe,15 ktoe,7070 ktoe,0 ktoe,88 ktoe,16710 ktoe,Production,2005
1,3365 ktoe,10984 ktoe,5058 ktoe,3607 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1543 ktoe,0 ktoe,24557 ktoe,Imports,2005
2,-48 ktoe,0 ktoe,-5142 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-78 ktoe,-80 ktoe,0 ktoe,-5348 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-498 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-498 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-418 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-418 ktoe,International aviation bunkers,2005
5,-541 ktoe,172 ktoe,-242 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-611 ktoe,Stock changes,2005
6,4914 ktoe,11306 ktoe,-1241 ktoe,3607 ktoe,6063 ktoe,1185 ktoe,15 ktoe,6992 ktoe,1463 ktoe,88 ktoe,34392 ktoe,TPES,2005
7,0 ktoe,1319 ktoe,-1266 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,52 ktoe,Transfers,2005
8,-51 ktoe,295 ktoe,-343 ktoe,8 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-15 ktoe,-27 ktoe,-134 ktoe,Statistical differences,2005
9,-958 ktoe,0 ktoe,-34 ktoe,-59 ktoe,-6063 ktoe,-1185 ktoe,-15 ktoe,-292 ktoe,3721 ktoe,-42 ktoe,-4928 ktoe,Electricity plants,2005
10,-2231 ktoe,0 ktoe,-116 ktoe,-2099 ktoe,0 ktoe,0 ktoe,0 ktoe,-2011 ktoe,2348 ktoe,3066 ktoe,-1043 ktoe,CHP plants,2005
11,-237 ktoe,0 ktoe,-273 ktoe,-338 ktoe,0 ktoe,0 ktoe,0 ktoe,-422 ktoe,-2 ktoe,1127 ktoe,-145 ktoe,Heat plants,2005
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2005
13,0 ktoe,-13159 ktoe,12898 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-260 ktoe,Oil refineries,2005
14,-350 ktoe,0 ktoe,-281 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-631 ktoe,Coal transformation,2005
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2005
16,-33 ktoe,240 ktoe,-230 ktoe,-35 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-58 ktoe,Other transformation,2005
17,-196 ktoe,0 ktoe,-490 ktoe,-232 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-311 ktoe,0 ktoe,-1229 ktoe,Energy industry own use,2005
18,-43 ktoe,0 ktoe,-48 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-261 ktoe,-367 ktoe,-720 ktoe,Losses,2005
19,814 ktoe,0 ktoe,8576 ktoe,852 ktoe,0 ktoe,0 ktoe,0 ktoe,4266 ktoe,6943 ktoe,3845 ktoe,25297 ktoe,Total final consumption,2005
20,771 ktoe,0 ktoe,1511 ktoe,739 ktoe,0 ktoe,0 ktoe,0 ktoe,2963 ktoe,3702 ktoe,1540 ktoe,11226 ktoe,Industry,2005
21,0 ktoe,0 ktoe,4178 ktoe,21 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,56 ktoe,0 ktoe,4254 ktoe,Transport,2005
22,12 ktoe,0 ktoe,694 ktoe,30 ktoe,0 ktoe,0 ktoe,0 ktoe,1106 ktoe,1743 ktoe,1431 ktoe,5016 ktoe,Residential,2005
23,2 ktoe,0 ktoe,311 ktoe,32 ktoe,0 ktoe,0 ktoe,0 ktoe,74 ktoe,1335 ktoe,864 ktoe,2617 ktoe,Commercial and public services,2005
24,29 ktoe,0 ktoe,430 ktoe,13 ktoe,0 ktoe,0 ktoe,0 ktoe,123 ktoe,108 ktoe,11 ktoe,713 ktoe,Agriculture / forestry,2005
25,0 ktoe,0 ktoe,38 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,38 ktoe,Fishing,2005
26,0 ktoe,0 ktoe,274 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,274 ktoe,Non-specified,2005
27,0 ktoe,0 ktoe,1141 ktoe,18 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1159 ktoe,Non-energy use,2005
0,3162 ktoe,152 ktoe,0 ktoe,0 ktoe,5968 ktoe,988 ktoe,14 ktoe,7861 ktoe,0 ktoe,85 ktoe,18231 ktoe,Production,2006
1,4535 ktoe,12607 ktoe,4524 ktoe,3885 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,1214 ktoe,0 ktoe,26767 ktoe,Imports,2006
2,-34 ktoe,0 ktoe,-5663 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-78 ktoe,-234 ktoe,0 ktoe,-6009 ktoe,Exports,2006
3,0 ktoe,0 ktoe,-548 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-548 ktoe,International marine bunkers,2006
4,0 ktoe,0 ktoe,-465 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-465 ktoe,International aviation bunkers,2006
5,-330 ktoe,-187 ktoe,-31 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-549 ktoe,Stock changes,2006
6,7332 ktoe,12572 ktoe,-2184 ktoe,3885 ktoe,5968 ktoe,988 ktoe,14 ktoe,7784 ktoe,980 ktoe,85 ktoe,37426 ktoe,TPES,2006
7,0 ktoe,1494 ktoe,-1452 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,42 ktoe,Transfers,2006
8,184 ktoe,55 ktoe,-267 ktoe,-3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-32 ktoe,-63 ktoe,Statistical differences,2006
9,-3276 ktoe,0 ktoe,-42 ktoe,-378 ktoe,-5968 ktoe,-988 ktoe,-14 ktoe,-391 ktoe,4620 ktoe,-41 ktoe,-6478 ktoe,Electricity plants,2006
10,-2569 ktoe,0 ktoe,-116 ktoe,-1953 ktoe,0 ktoe,0 ktoe,0 ktoe,-2185 ktoe,2458 ktoe,3318 ktoe,-1047 ktoe,CHP plants,2006
11,-248 ktoe,0 ktoe,-314 ktoe,-310 ktoe,0 ktoe,0 ktoe,0 ktoe,-449 ktoe,-2 ktoe,1171 ktoe,-151 ktoe,Heat plants,2006
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2006
13,0 ktoe,-14357 ktoe,13968 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-389 ktoe,Oil refineries,2006
14,-341 ktoe,0 ktoe,-308 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-649 ktoe,Coal transformation,2006
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2006
16,-33 ktoe,236 ktoe,-199 ktoe,-63 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-60 ktoe,Other transformation,2006
17,-198 ktoe,0 ktoe,-505 ktoe,-283 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-395 ktoe,0 ktoe,-1381 ktoe,Energy industry own use,2006
18,-38 ktoe,0 ktoe,-44 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-263 ktoe,-393 ktoe,-739 ktoe,Losses,2006
19,814 ktoe,0 ktoe,8538 ktoe,895 ktoe,0 ktoe,0 ktoe,1 ktoe,4760 ktoe,7398 ktoe,4107 ktoe,26512 ktoe,Total final consumption,2006
20,771 ktoe,0 ktoe,1502 ktoe,785 ktoe,0 ktoe,0 ktoe,0 ktoe,3415 ktoe,4056 ktoe,1736 ktoe,12266 ktoe,Industry,2006
21,0 ktoe,0 ktoe,4235 ktoe,21 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,58 ktoe,0 ktoe,4314 ktoe,Transport,2006
22,12 ktoe,0 ktoe,684 ktoe,36 ktoe,0 ktoe,0 ktoe,1 ktoe,1140 ktoe,1778 ktoe,1469 ktoe,5119 ktoe,Residential,2006
23,2 ktoe,0 ktoe,308 ktoe,30 ktoe,0 ktoe,0 ktoe,0 ktoe,75 ktoe,1370 ktoe,890 ktoe,2676 ktoe,Commercial and public services,2006
24,29 ktoe,0 ktoe,410 ktoe,12 ktoe,0 ktoe,0 ktoe,0 ktoe,129 ktoe,135 ktoe,11 ktoe,726 ktoe,Agriculture / forestry,2006
25,0 ktoe,0 ktoe,40 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,40 ktoe,Fishing,2006
26,0 ktoe,0 ktoe,231 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,231 ktoe,Non-specified,2006
27,0 ktoe,0 ktoe,1129 ktoe,11 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1140 ktoe,Non-energy use,2006
0,1089 ktoe,41 ktoe,0 ktoe,0 ktoe,6103 ktoe,1219 ktoe,17 ktoe,7618 ktoe,0 ktoe,83 ktoe,16169 ktoe,Production,2007
1,4565 ktoe,12570 ktoe,4740 ktoe,3731 ktoe,0 ktoe,0 ktoe,0 ktoe,36 ktoe,1326 ktoe,0 ktoe,26969 ktoe,Imports,2007
2,-48 ktoe,-21 ktoe,-6373 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-134 ktoe,-246 ktoe,0 ktoe,-6822 ktoe,Exports,2007
3,0 ktoe,0 ktoe,-451 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-451 ktoe,International marine bunkers,2007
4,0 ktoe,0 ktoe,-536 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-536 ktoe,International aviation bunkers,2007
5,1599 ktoe,-3 ktoe,-69 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1527 ktoe,Stock changes,2007
6,7206 ktoe,12587 ktoe,-2688 ktoe,3731 ktoe,6103 ktoe,1219 ktoe,17 ktoe,7519 ktoe,1080 ktoe,83 ktoe,36857 ktoe,TPES,2007
7,0 ktoe,1771 ktoe,-1723 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,48 ktoe,Transfers,2007
8,-81 ktoe,277 ktoe,-37 ktoe,-3 ktoe,0 ktoe,0 ktoe,0 ktoe,-11 ktoe,0 ktoe,0 ktoe,144 ktoe,Statistical differences,2007
9,-2819 ktoe,0 ktoe,-39 ktoe,-108 ktoe,-6103 ktoe,-1219 ktoe,-17 ktoe,-275 ktoe,4600 ktoe,-41 ktoe,-6021 ktoe,Electricity plants,2007
10,-2600 ktoe,0 ktoe,-116 ktoe,-1833 ktoe,0 ktoe,0 ktoe,0 ktoe,-1992 ktoe,2386 ktoe,3158 ktoe,-996 ktoe,CHP plants,2007
11,-282 ktoe,0 ktoe,-306 ktoe,-348 ktoe,0 ktoe,0 ktoe,0 ktoe,-445 ktoe,-4 ktoe,1239 ktoe,-146 ktoe,Heat plants,2007
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2007
13,0 ktoe,-14970 ktoe,14753 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-217 ktoe,Oil refineries,2007
14,-369 ktoe,0 ktoe,-263 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-632 ktoe,Coal transformation,2007
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2007
16,-34 ktoe,335 ktoe,-192 ktoe,-187 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-79 ktoe,Other transformation,2007
17,-187 ktoe,0 ktoe,-636 ktoe,-331 ktoe,0 ktoe,0 ktoe,0 ktoe,-5 ktoe,-398 ktoe,-24 ktoe,-1581 ktoe,Energy industry own use,2007
18,-65 ktoe,0 ktoe,-51 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-262 ktoe,-385 ktoe,-764 ktoe,Losses,2007
19,767 ktoe,0 ktoe,8701 ktoe,920 ktoe,0 ktoe,0 ktoe,1 ktoe,4792 ktoe,7402 ktoe,4030 ktoe,26613 ktoe,Total final consumption,2007
20,720 ktoe,0 ktoe,1434 ktoe,808 ktoe,0 ktoe,0 ktoe,0 ktoe,3437 ktoe,4021 ktoe,1520 ktoe,11940 ktoe,Industry,2007
21,0 ktoe,0 ktoe,4348 ktoe,15 ktoe,0 ktoe,0 ktoe,0 ktoe,1 ktoe,62 ktoe,0 ktoe,4427 ktoe,Transport,2007
22,11 ktoe,0 ktoe,655 ktoe,39 ktoe,0 ktoe,0 ktoe,1 ktoe,1150 ktoe,1777 ktoe,1488 ktoe,5121 ktoe,Residential,2007
23,2 ktoe,0 ktoe,294 ktoe,29 ktoe,0 ktoe,0 ktoe,0 ktoe,75 ktoe,1393 ktoe,883 ktoe,2675 ktoe,Commercial and public services,2007
24,34 ktoe,0 ktoe,415 ktoe,11 ktoe,0 ktoe,0 ktoe,0 ktoe,129 ktoe,149 ktoe,11 ktoe,749 ktoe,Agriculture / forestry,2007
25,0 ktoe,0 ktoe,39 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,39 ktoe,Fishing,2007
26,0 ktoe,0 ktoe,274 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,127 ktoe,401 ktoe,Non-specified,2007
27,0 ktoe,0 ktoe,1243 ktoe,18 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1261 ktoe,Non-energy use,2007
0,1052 ktoe,23 ktoe,0 ktoe,0 ktoe,5982 ktoe,1471 ktoe,24 ktoe,7834 ktoe,0 ktoe,145 ktoe,16531 ktoe,Production,2008
1,3870 ktoe,12177 ktoe,5638 ktoe,3862 ktoe,0 ktoe,0 ktoe,0 ktoe,144 ktoe,1385 ktoe,0 ktoe,27077 ktoe,Imports,2008
2,-36 ktoe,-40 ktoe,-6723 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-213 ktoe,-287 ktoe,0 ktoe,-7299 ktoe,Exports,2008
3,0 ktoe,0 ktoe,-395 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-395 ktoe,International marine bunkers,2008
4,0 ktoe,0 ktoe,-580 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-580 ktoe,International aviation bunkers,2008
5,494 ktoe,-204 ktoe,-214 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,75 ktoe,Stock changes,2008
6,5380 ktoe,11957 ktoe,-2275 ktoe,3862 ktoe,5982 ktoe,1471 ktoe,24 ktoe,7764 ktoe,1098 ktoe,145 ktoe,35408 ktoe,TPES,2008
7,0 ktoe,2324 ktoe,-2279 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,45 ktoe,Transfers,2008
8,81 ktoe,648 ktoe,-898 ktoe,-2 ktoe,0 ktoe,0 ktoe,0 ktoe,9 ktoe,0 ktoe,0 ktoe,-162 ktoe,Statistical differences,2008
9,-1544 ktoe,0 ktoe,-36 ktoe,-82 ktoe,-5982 ktoe,-1471 ktoe,-23 ktoe,-391 ktoe,4308 ktoe,-62 ktoe,-5284 ktoe,Electricity plants,2008
10,-2271 ktoe,0 ktoe,-128 ktoe,-1981 ktoe,0 ktoe,0 ktoe,0 ktoe,-1999 ktoe,2350 ktoe,3097 ktoe,-932 ktoe,CHP plants,2008
11,-255 ktoe,0 ktoe,-243 ktoe,-356 ktoe,0 ktoe,0 ktoe,0 ktoe,-565 ktoe,-9 ktoe,1276 ktoe,-151 ktoe,Heat plants,2008
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2008
13,0 ktoe,-15314 ktoe,15196 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-118 ktoe,Oil refineries,2008
14,-358 ktoe,0 ktoe,-272 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-630 ktoe,Coal transformation,2008
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2008
16,-32 ktoe,386 ktoe,-200 ktoe,-239 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-85 ktoe,Other transformation,2008
17,-184 ktoe,0 ktoe,-583 ktoe,-356 ktoe,0 ktoe,0 ktoe,0 ktoe,-12 ktoe,-362 ktoe,-27 ktoe,-1524 ktoe,Energy industry own use,2008
18,-66 ktoe,0 ktoe,-57 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-287 ktoe,-430 ktoe,-839 ktoe,Losses,2008
19,751 ktoe,0 ktoe,8224 ktoe,847 ktoe,0 ktoe,0 ktoe,1 ktoe,4805 ktoe,7099 ktoe,4000 ktoe,25727 ktoe,Total final consumption,2008
20,702 ktoe,0 ktoe,1394 ktoe,738 ktoe,0 ktoe,0 ktoe,0 ktoe,3267 ktoe,3715 ktoe,1509 ktoe,11324 ktoe,Industry,2008
21,0 ktoe,0 ktoe,4138 ktoe,14 ktoe,0 ktoe,0 ktoe,0 ktoe,73 ktoe,63 ktoe,0 ktoe,4287 ktoe,Transport,2008
22,7 ktoe,0 ktoe,499 ktoe,38 ktoe,0 ktoe,0 ktoe,1 ktoe,1263 ktoe,1754 ktoe,1477 ktoe,5039 ktoe,Residential,2008
23,2 ktoe,0 ktoe,241 ktoe,28 ktoe,0 ktoe,0 ktoe,0 ktoe,75 ktoe,1423 ktoe,901 ktoe,2670 ktoe,Commercial and public services,2008
24,40 ktoe,0 ktoe,405 ktoe,8 ktoe,0 ktoe,0 ktoe,0 ktoe,125 ktoe,144 ktoe,11 ktoe,733 ktoe,Agriculture / forestry,2008
25,0 ktoe,0 ktoe,38 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,38 ktoe,Fishing,2008
26,0 ktoe,0 ktoe,271 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,3 ktoe,0 ktoe,103 ktoe,377 ktoe,Non-specified,2008
27,0 ktoe,0 ktoe,1240 ktoe,20 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,1260 ktoe,Non-energy use,2008
