,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,5274 ktoe,2595 ktoe,0 ktoe,2407 ktoe,103531 ktoe,5679 ktoe,196 ktoe,12098 ktoe,0 ktoe,0 ktoe,131779 ktoe,Production,2004
1,10966 ktoe,84234 ktoe,23305 ktoe,30313 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,311 ktoe,0 ktoe,149129 ktoe,Imports,2004
2,-450 ktoe,-1005 ktoe,-17551 ktoe,-697 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-6228 ktoe,0 ktoe,-25931 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-2219 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2219 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-4118 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4118 ktoe,International aviation bunkers,2004
5,635 ktoe,-232 ktoe,591 ktoe,664 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,0 ktoe,1659 ktoe,Stock changes,2004
6,16426 ktoe,85592 ktoe,7 ktoe,32687 ktoe,103531 ktoe,5679 ktoe,196 ktoe,12100 ktoe,-5917 ktoe,0 ktoe,250298 ktoe,TPES,2004
7,0 ktoe,-550 ktoe,750 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,200 ktoe,Transfers,2004
8,-1 ktoe,-458 ktoe,510 ktoe,-753 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-4 ktoe,0 ktoe,-705 ktoe,Statistical differences,2004
9,-7408 ktoe,0 ktoe,-1263 ktoe,-615 ktoe,-103531 ktoe,-5679 ktoe,-43 ktoe,-107 ktoe,43592 ktoe,0 ktoe,-75052 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-1071 ktoe,188 ktoe,439 ktoe,-444 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-387 ktoe,0 ktoe,157 ktoe,-230 ktoe,Heat plants,2004
