,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,8547 ktoe,122 ktoe,0 ktoe,29 ktoe,0 ktoe,402 ktoe,217 ktoe,987 ktoe,0 ktoe,0 ktoe,10303 ktoe,Production,2004
1,501 ktoe,21443 ktoe,5792 ktoe,2174 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,417 ktoe,0 ktoe,30327 ktoe,Imports,2004
2,-37 ktoe,-806 ktoe,-4891 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-175 ktoe,0 ktoe,-5908 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-3215 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3215 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-805 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-805 ktoe,International aviation bunkers,2004
5,90 ktoe,-1026 ktoe,-87 ktoe,26 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-997 ktoe,Stock changes,2004
6,9101 ktoe,19733 ktoe,-3206 ktoe,2229 ktoe,0 ktoe,402 ktoe,217 ktoe,987 ktoe,242 ktoe,0 ktoe,29705 ktoe,TPES,2004
7,0 ktoe,1146 ktoe,-1128 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,18 ktoe,Transfers,2004
8,192 ktoe,-113 ktoe,40 ktoe,5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,123 ktoe,Statistical differences,2004
9,-7505 ktoe,0 ktoe,-1791 ktoe,-1586 ktoe,0 ktoe,-402 ktoe,-96 ktoe,-28 ktoe,4547 ktoe,0 ktoe,-6862 ktoe,Electricity plants,2004
10,-1192 ktoe,0 ktoe,-128 ktoe,-13 ktoe,0 ktoe,0 ktoe,0 ktoe,-39 ktoe,510 ktoe,43 ktoe,-819 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,-20766 ktoe,21123 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,357 ktoe,Oil refineries,2004
14,-36 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-36 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,-1033 ktoe,-36 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-576 ktoe,0 ktoe,-1645 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,-5 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-447 ktoe,0 ktoe,-452 ktoe,Losses,2004
19,559 ktoe,0 ktoe,13876 ktoe,594 ktoe,0 ktoe,0 ktoe,120 ktoe,921 ktoe,4277 ktoe,43 ktoe,20390 ktoe,Total final consumption,2004
20,553 ktoe,0 ktoe,1718 ktoe,373 ktoe,0 ktoe,0 ktoe,0 ktoe,207 ktoe,1203 ktoe,0 ktoe,4054 ktoe,Industry,2004
21,0 ktoe,0 ktoe,7141 ktoe,12 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,20 ktoe,0 ktoe,7173 ktoe,Transport,2004
22,5 ktoe,0 ktoe,3050 ktoe,35 ktoe,0 ktoe,0 ktoe,106 ktoe,702 ktoe,1449 ktoe,43 ktoe,5390 ktoe,Residential,2004
23,0 ktoe,0 ktoe,365 ktoe,44 ktoe,0 ktoe,0 ktoe,6 ktoe,4 ktoe,1365 ktoe,0 ktoe,1783 ktoe,Commercial and public services,2004
24,0 ktoe,0 ktoe,854 ktoe,0 ktoe,0 ktoe,0 ktoe,6 ktoe,8 ktoe,240 ktoe,0 ktoe,1108 ktoe,Agriculture / forestry,2004
25,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,0 ktoe,0 ktoe,0 ktoe,2 ktoe,Fishing,2004
26,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Non-specified,2004
27,0 ktoe,0 ktoe,748 ktoe,131 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,879 ktoe,Non-energy use,2004
0,8538 ktoe,92 ktoe,0 ktoe,18 ktoe,0 ktoe,431 ktoe,222 ktoe,1015 ktoe,0 ktoe,0 ktoe,10317 ktoe,Production,2005
1,398 ktoe,20053 ktoe,5970 ktoe,2332 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,483 ktoe,0 ktoe,29236 ktoe,Imports,2005
2,-27 ktoe,-918 ktoe,-4994 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-158 ktoe,0 ktoe,-6096 ktoe,Exports,2005
3,0 ktoe,0 ktoe,-2842 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2842 ktoe,International marine bunkers,2005
4,0 ktoe,0 ktoe,-777 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-777 ktoe,International aviation bunkers,2005
5,42 ktoe,774 ktoe,-407 ktoe,3 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,413 ktoe,Stock changes,2005
6,8952 ktoe,20001 ktoe,-3050 ktoe,2354 ktoe,0 ktoe,431 ktoe,222 ktoe,1015 ktoe,325 ktoe,0 ktoe,30249 ktoe,TPES,2005
7,0 ktoe,1158 ktoe,-1138 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,19 ktoe,Transfers,2005
8,214 ktoe,-124 ktoe,118 ktoe,2 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,211 ktoe,Statistical differences,2005
9,-7006 ktoe,0 ktoe,-1955 ktoe,-1588 ktoe,0 ktoe,-431 ktoe,-109 ktoe,-24 ktoe,4410 ktoe,0 ktoe,-6703 ktoe,Electricity plants,2005
10,-1688 ktoe,0 ktoe,-104 ktoe,-18 ktoe,0 ktoe,0 ktoe,0 ktoe,-29 ktoe,700 ktoe,49 ktoe,-1090 ktoe,CHP plants,2005
