,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,2182 ktoe,1591 ktoe,0 ktoe,2367 ktoe,3120 ktoe,18 ktoe,88 ktoe,871 ktoe,0 ktoe,0 ktoe,10236 ktoe,Production,2004
1,1206 ktoe,5699 ktoe,2116 ktoe,9278 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,905 ktoe,0 ktoe,19204 ktoe,Imports,2004
2,-110 ktoe,-151 ktoe,-2624 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-263 ktoe,0 ktoe,-3148 ktoe,Exports,2004
3,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-232 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-232 ktoe,International aviation bunkers,2004
5,102 ktoe,-158 ktoe,1 ktoe,67 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,13 ktoe,Stock changes,2004
6,3379 ktoe,6981 ktoe,-739 ktoe,11712 ktoe,3120 ktoe,18 ktoe,88 ktoe,871 ktoe,642 ktoe,0 ktoe,26072 ktoe,TPES,2004
7,0 ktoe,91 ktoe,-79 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,12 ktoe,Transfers,2004
8,64 ktoe,-10 ktoe,0 ktoe,-79 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-25 ktoe,Statistical differences,2004
9,-2174 ktoe,0 ktoe,-141 ktoe,-1089 ktoe,0 ktoe,-18 ktoe,-1 ktoe,-196 ktoe,1209 ktoe,0 ktoe,-2409 ktoe,Electricity plants,2004
10,-299 ktoe,0 ktoe,-65 ktoe,-1754 ktoe,-3120 ktoe,0 ktoe,0 ktoe,-37 ktoe,1690 ktoe,975 ktoe,-2608 ktoe,CHP plants,2004
11,-107 ktoe,0 ktoe,-12 ktoe,-483 ktoe,0 ktoe,0 ktoe,-6 ktoe,-4 ktoe,0 ktoe,518 ktoe,-94 ktoe,Heat plants,2004
