,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,613 ktoe,1718 ktoe,2 ktoe,0 ktoe,0 ktoe,2334 ktoe,Production,2004
1,103 ktoe,0 ktoe,858 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,961 ktoe,Imports,2004
2,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-71 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-71 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-118 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-118 ktoe,International aviation bunkers,2004
5,0 ktoe,0 ktoe,-31 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-31 ktoe,Stock changes,2004
6,103 ktoe,0 ktoe,638 ktoe,0 ktoe,0 ktoe,613 ktoe,1718 ktoe,2 ktoe,0 ktoe,0 ktoe,3074 ktoe,TPES,2004
7,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Transfers,2004
8,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-9 ktoe,0 ktoe,0 ktoe,0 ktoe,-9 ktoe,Statistical differences,2004
9,0 ktoe,0 ktoe,-1 ktoe,0 ktoe,0 ktoe,-613 ktoe,-404 ktoe,-1 ktoe,650 ktoe,0 ktoe,-369 ktoe,Electricity plants,2004
10,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-845 ktoe,0 ktoe,91 ktoe,126 ktoe,-627 ktoe,CHP plants,2004
11,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-361 ktoe,-2 ktoe,-15 ktoe,336 ktoe,-41 ktoe,Heat plants,2004
12,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Gas works,2004
13,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Oil refineries,2004
14,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Coal transformation,2004
15,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Liquefication plants,2004
16,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,Other transformation,2004
17,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-26 ktoe,0 ktoe,-26 ktoe,Energy industry own use,2004
18,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-8 ktoe,0 ktoe,-33 ktoe,-51 ktoe,-91 ktoe,Losses,2004
19,103 ktoe,0 ktoe,637 ktoe,0 ktoe,0 ktoe,0 ktoe,92 ktoe,0 ktoe,667 ktoe,412 ktoe,1910 ktoe,Total final consumption,2004
20,103 ktoe,0 ktoe,131 ktoe,0 ktoe,0 ktoe,0 ktoe,10 ktoe,0 ktoe,509 ktoe,0 ktoe,753 ktoe,Industry,2004
