,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,"Wind, solar, etc",Biofuels and waste,Electricity,Heat,Total,Category,Year
0,155077 ktoe,39150 ktoe,0 ktoe,25483 ktoe,4432 ktoe,7798 ktoe,451 ktoe,160547 ktoe,0 ktoe,0 ktoe,392937 ktoe,Production,2004
1,20274 ktoe,97976 ktoe,9213 ktoe,2900 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,149 ktoe,0 ktoe,130511 ktoe,Imports,2004
2,-661 ktoe,0 ktoe,-21049 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-3 ktoe,0 ktoe,-21714 ktoe,Exports,2004
3,0 ktoe,0 ktoe,-863 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-863 ktoe,International marine bunkers,2004
4,0 ktoe,0 ktoe,-2096 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-2096 ktoe,International aviation bunkers,2004
5,360 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,360 ktoe,Stock changes,2004
6,175049 ktoe,137126 ktoe,-14796 ktoe,28383 ktoe,4432 ktoe,7798 ktoe,451 ktoe,160547 ktoe,146 ktoe,0 ktoe,499135 ktoe,TPES,2004
7,0 ktoe,-1728 ktoe,1981 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,253 ktoe,Transfers,2004
8,-1613 ktoe,-5367 ktoe,3052 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,0 ktoe,-369 ktoe,0 ktoe,-4297 ktoe,Statistical differences,2004
9,-123368 ktoe,0 ktoe,-8371 ktoe,-14021 ktoe,-4432 ktoe,-7798 ktoe,-386 ktoe,-2344 ktoe,58828 ktoe,0 ktoe,-101893 ktoe,Electricity plants,2004
